problem,updates,verified,sameInitialWeights,sameNativeRNGTrace,baselineObjectiveGap,mismatchObjectiveGap,baselineDirectionError,mismatchDirectionError,baselineEndpointRMSE,mismatchEndpointRMSE,offlineFullFE
LIRCMOP7_BC,2000,1,1,1,0.139030187304406,0.218625365950866,8.73796780848384,8.77609027204328,0.119136679055682,0.149427740316495,600
LIRCMOP8_BC,2000,1,1,1,0.0688847259840578,0.0774871929624815,3.40655279526256,4.61230612954874,0.0749235818696701,0.0776960590716358,600
