arm,problem,reset,updates,deduplicatedRows,fractionDirectionsChanged,realMinusFakeScore,realMinusWrongDirectionScore,correctDirectionPreference,realMinusFlippedSideScore,correctSidePreference,realMinusNearbyDirectionScore,realMinusModerateDirectionScore,nearbyDirectionChangeDegrees,moderateDirectionChangeDegrees,farDirectionChangeDegrees
original,LIRCMOP7_BC,0,0,178,1,0.476226688770766,-1.22522817702776,0.449438202247191,-0.0102632956558399,0.50561797752809,-0.00557190112853318,-0.00315167662802707,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP7_BC,1,2000,178,1,0.290752156145787,2.35239150224442,0.550561797752809,-0.00448956742380442,0.47752808988764,0.025763453978501,0.197642249002885,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP8_BC,0,0,184,1,0.19991672233395,-2.69763225543758,0.103260869565217,-0.0063910406568776,0.505434782608696,-0.00798832527969194,-0.101496329126151,0.997665895211538,4.92192252721087,49.5025752055998
original,LIRCMOP8_BC,1,2000,184,1,-0.278132094313269,4.39327818098599,0.532608695652174,0.00442893195735372,0.510869565217391,0.00522691618813121,0.133450516540071,0.997665895211538,4.92192252721087,49.5025752055998
