problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10159,48,8,1,0.08,8,0,0.00315809434706626,0.00474265052208028,8,7,3,0.000418782390200492,100,1.05741410479826,1.31266526395514,0,0,7,7,0,0.875,0.107144201464174,0.109494244375118,0,0.109496317615476,46.7008085205347,0.857142857142857,0.107393582739716,0,0.107282746158459,0.109565683789873,0
DASCMOP1_BC,1,30000,30026,142,20,1,0.2,20,0,0.00670249922985292,0.015606960059134,20,20,3,0.00104695597550123,100,0.452011111442034,0.585369504047868,0,20,0,20,19,1,0.0308560193565268,0.0465768597114459,0,0.0956152758569703,27.048142108158,0.9,0.0880222631099769,0.2,0.0628983675956892,0.102437816313168,0.95
DASCMOP1_BC,1,50000,50046,233,28,1,0.28,28,0,0.00156856323051638,0.00616612301074783,28,20,3,0.00146573836570172,100,0.464266195709912,0.613840580033308,0,20,0,20,0,0.714285714285714,0.0142050608106369,0.0194534978780155,0,0.0210944635881239,6.56709757397371,1,0.0318681153257503,0,0.0267415146008805,0.0382669020465348,0
DASCMOP1_BC,1,70000,70066,324,29,1,0.29,29,0,0.00108901849676094,0.00423993493800909,29,20,3,0.00151808616447678,100,0.41699977264055,0.642339315921503,0,20,0,20,2,0.689655172413793,0.0188089738131123,0.0629602368690155,0,0.0629925440130483,23.3974426711751,0.05,-0.0489298722926933,0.0689655172413793,0.0202714214461639,0.0639761162456053,0.1
DASCMOP1_BC,1,100000,100206,461,25,1,0.25,25,0,0.000810997358730803,0.00448685275648385,25,20,3,0.00130869496937654,100,0.41699977264055,0.649218912536237,0,20,0,20,1,0.8,0.0130853035694498,0.0739120313267243,0,0.0739120313267243,25.5632875728872,0.05,-0.0526571714959578,0.08,0.0162572467233921,0.0744963417677172,0.05
DASCMOP1_BC,2,10000,10103,47,13,1,0.13,13,0,0.00494216019573346,0.00962996205434116,13,12,3,0.0006805213840758,100,0.904486925709537,1.20479249717376,0,0,12,12,10,0.923076923076923,0.0270403971019046,0.0431296564500236,0,0.0462056769003887,22.0602851926053,0.75,0.0607396672042278,0.846153846153846,0.031141367419353,0.0464646392579186,0.833333333333333
DASCMOP1_BC,2,30000,30193,140,25,1,0.25,25,0,0.0032216236072142,0.0104915338490789,25,20,3,0.00130869496937654,100,0.453834209277503,0.69660698976435,0,20,0,20,1,0.8,0.137097172992532,0.280293359527046,0,0.280293359527046,85.3756470796291,0.7,0.0469853376649019,0.08,0.139205014709757,0.280767278386541,0.05
DASCMOP1_BC,2,50000,50213,231,27,1,0.27,27,0,0.00110946882233833,0.00518334423842325,27,20,3,0.00141339056692666,100,0.432244981976713,0.739510329183785,0,20,0,20,2,0.740740740740741,0.155180195130194,0.21802391675392,0,0.218194618051581,74.121429060343,0.9,0.0225175267305046,0.0740740740740741,0.155632082151087,0.219213206251858,0.1
DASCMOP1_BC,2,70000,70013,321,30,1,0.3,30,0,0.00165855707947677,0.00996787430520362,30,20,3,0.00157043396325185,100,0.50039719885151,0.72795318162868,0,20,0,20,3,0.666666666666667,0.0345387050285054,0.121641167138032,0,0.123091516697374,43.184360189115,0.85,0.331532647271029,0.0666666666666667,0.0346179057162944,0.123840203227489,0.15
DASCMOP1_BC,2,100000,100153,458,28,1,0.28,28,0,0.00102272346267129,0.00535021120530439,28,20,3,0.00146573836570172,100,0.508431371556727,0.620457736635283,0,20,0,20,3,0.714285714285714,0.0656368322101653,0.133211828719538,0,0.133211828719538,45.6037714884409,0.9,0.24612158174585,0.0714285714285714,0.0661289060590182,0.134171849109868,0.15
