problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,active_layer_candidate_count,active_layer_component_count,active_layer_selected_size,active_layer_selected_ref_count,active_layer_rejected_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10190,48,random_all_w,97,65,61,107,5,99,30,8,30,1,10.5016758729208,21.2277441350678,0,1,355,45
LIRCMOP5_BC,1,1,30000,30080,138,random_all_w,44,46,39,65,8,47,11,18,30,0.2,0.526144630565432,4.83327752691181,0.666666666666667,1,311,89
LIRCMOP5_BC,1,1,50000,50000,231,random_all_w,62,56,61,100,5,62,14,38,30,0.166666666666667,1.3679797605955,4.39947937407796,0.333333333333333,1,273,127
LIRCMOP5_BC,1,1,70000,70120,322,random_all_w,38,39,37,110,14,38,8,72,30,0.3,4.34995164225864,32.9219667044166,0.166666666666667,1,210,190
LIRCMOP5_BC,1,1,100000,100190,468,random_all_w,19,12,6,36,4,19,8,17,0,NaN,NaN,NaN,NaN,NaN,268,132
LIRCMOP6_BC,1,1,10000,10090,49,random_all_w,43,36,35,54,2,46,14,8,30,1,65.2500505212482,82.6711399926151,0,0.766666666666667,385,15
LIRCMOP6_BC,1,1,30000,30080,138,random_all_w,67,59,63,105,11,67,17,38,30,0.0666666666666667,1.47877663954953,4.99524079177766,0.4,1,337,63
LIRCMOP6_BC,1,1,50000,50190,227,random_all_w,14,59,0,108,9,15,10,93,0,NaN,NaN,NaN,NaN,NaN,279,121
LIRCMOP6_BC,1,1,70000,70100,315,random_all_w,50,116,42,117,9,50,10,67,30,0.333333333333333,3.6366048709382,7.78677739489196,0.166666666666667,1,281,119
LIRCMOP6_BC,1,1,100000,100090,451,random_all_w,25,22,16,56,9,25,5,31,0,NaN,NaN,NaN,NaN,NaN,256,144
LIRCMOP7_BC,1,1,10000,10170,47,random_all_w,66,66,55,90,8,66,21,24,30,0.366666666666667,3.16967754295984,11.2143004425493,0.233333333333333,1,330,70
LIRCMOP7_BC,1,1,30000,30120,140,random_all_w,32,21,15,53,5,33,7,20,30,0.166666666666667,0.237786072454159,2.65470654149888,0.666666666666667,1,291,109
LIRCMOP7_BC,1,1,50000,50010,236,random_all_w,40,29,15,100,13,40,12,60,30,0.166666666666667,2.41026212874549,17.5119444768726,0.166666666666667,1,205,195
LIRCMOP7_BC,1,1,70000,70080,326,random_all_w,36,47,10,101,11,36,15,65,30,0.133333333333333,4.71798153751428,11.8362170937564,0.133333333333333,1,168,232
LIRCMOP7_BC,1,1,100000,100170,464,random_all_w,33,38,23,125,16,33,9,92,30,0.0666666666666667,6.81688625966144,28.2493031655237,0.2,1,138,262
LIRCMOP8_BC,1,1,10000,10050,47,random_all_w,92,102,84,123,6,101,24,22,30,0.9,1.34288046948743,4.04417823328739,0.333333333333333,1,356,44
LIRCMOP8_BC,1,1,30000,30220,136,random_all_w,40,66,28,79,5,46,12,33,30,0.333333333333333,1.56400776669915,6.09797123443275,0.3,1,326,74
LIRCMOP8_BC,1,1,50000,50180,225,random_all_w,37,32,30,88,11,44,13,44,30,0.2,7.25946521728636,23.0084394139373,0.0666666666666667,1,274,126
LIRCMOP8_BC,1,1,70000,70210,316,random_all_w,40,66,36,115,15,41,11,74,30,0.133333333333333,3.54551480912868,30.357361123785,0.266666666666667,1,229,171
LIRCMOP8_BC,1,1,100000,100200,452,random_all_w,40,59,26,103,8,41,16,62,30,0.1,3.14980672572731,6.5830279207252,0.166666666666667,1,166,234
LIRCMOP9_BC,1,1,10000,10000,49,random_all_w,17,15,0,31,6,17,4,14,0,NaN,NaN,NaN,NaN,NaN,235,165
LIRCMOP9_BC,1,1,30000,30060,149,random_all_w,25,30,0,28,4,25,5,3,0,NaN,NaN,NaN,NaN,NaN,280,120
LIRCMOP9_BC,1,1,50000,50180,249,random_all_w,8,8,0,17,5,8,2,9,0,NaN,NaN,NaN,NaN,NaN,246,154
LIRCMOP9_BC,1,1,70000,70110,347,random_all_w,15,25,3,35,6,15,3,20,0,NaN,NaN,NaN,NaN,NaN,220,180
LIRCMOP9_BC,1,1,100000,100190,495,random_all_w,9,13,0,46,13,9,2,37,0,NaN,NaN,NaN,NaN,NaN,197,203
LIRCMOP10_BC,1,1,10000,10000,49,random_all_w,10,18,4,18,5,10,2,8,0,NaN,NaN,NaN,NaN,NaN,304,96
LIRCMOP10_BC,1,1,30000,30090,149,random_all_w,20,15,0,63,10,20,4,43,0,NaN,NaN,NaN,NaN,NaN,272,128
LIRCMOP10_BC,1,1,50000,50090,249,random_all_w,14,15,14,74,13,14,3,60,0,NaN,NaN,NaN,NaN,NaN,265,135
LIRCMOP10_BC,1,1,70000,70090,349,random_all_w,23,15,0,79,14,23,6,56,0,NaN,NaN,NaN,NaN,NaN,248,152
LIRCMOP10_BC,1,1,100000,100090,499,random_all_w,11,12,0,83,15,11,3,72,0,NaN,NaN,NaN,NaN,NaN,241,159
