problem,stage,GroupCount,mean_labelAccuracy,mean_directionError,mean_trainingFrameDirectionError,mean_jointRate,mean_rawUseful,mean_survivedP1,mean_knownFraction
LIRCMOP5_BC,FE010000,3,0.535333333333333,9.72032802966986,9.72032802966986,0.204,0.016,0.666666666666667,0.316
LIRCMOP5_BC,FE030000,3,0.508,11.3947731645078,11.3947731645078,0.0626666666666667,0.0153333333333333,0.333333333333333,0.378666666666667
LIRCMOP5_BC,FE050000,3,0.530666666666667,15.5702456385628,14.5493107476196,0.0386666666666667,0,0,0.101333333333333
LIRCMOP5_BC,FE070000,3,0.524,15.4772107718281,14.6998161272201,0,0,0,0.072
LIRCMOP5_BC,FE100000,3,0.483333333333333,22.3911022963727,19.9729180681448,0,0,0,0.0566666666666667
LIRCMOP5_BC,first_true_use,3,0.602,12.8140233847607,12.8140233847607,0.116666666666667,0.169333333333333,4.66666666666667,0.088
LIRCMOP6_BC,FE010000,3,0.506,14.3048463203896,14.3048463203896,0.084,0.0246666666666667,1.33333333333333,0.264666666666667
LIRCMOP6_BC,FE030000,2,0.502,6.27429238385634,6.27429238385634,0.193,0.007,0,0.454
LIRCMOP6_BC,FE050000,3,0.494,13.7046689130675,13.353107969946,0,0,0,0.102
LIRCMOP6_BC,FE070000,3,0.482666666666667,23.5932610589849,19.0144562763748,0,0,0,0.0706666666666667
LIRCMOP6_BC,FE100000,1,0.478,26.2718502681435,24.7708821789687,0,0,0,0.046
LIRCMOP6_BC,first_true_use,3,0.485333333333333,19.7020144831473,19.7020144831473,0.0753333333333333,0.128666666666667,4.66666666666667,0.0806666666666667
LIRCMOP7_BC,FE010000,3,0.552,13.832609134838,13.832609134838,0.0813333333333333,0.0486666666666667,0.666666666666667,0.233333333333333
LIRCMOP7_BC,FE030000,3,0.504666666666667,11.9725404265659,11.9725404265659,0.152666666666667,0.0113333333333333,0.666666666666667,0.542
LIRCMOP7_BC,FE050000,3,0.524,9.05555019050619,9.05555019050619,0.175333333333333,0.0113333333333333,0,0.716666666666667
LIRCMOP7_BC,FE070000,3,0.506666666666667,11.3608740118566,11.3608740118566,0.202666666666667,0.00666666666666667,0,0.708666666666667
LIRCMOP7_BC,FE100000,3,0.546666666666667,9.57971258998933,9.57971258998933,0.192,0.00266666666666667,0,0.770666666666667
LIRCMOP7_BC,first_true_use,3,0.506,18.3359452439988,18.3359452439988,0.07,0.146666666666667,2.66666666666667,0.1
LIRCMOP8_BC,FE010000,3,0.528666666666667,5.74238673797733,5.74238673797733,0.222,0.0193333333333333,0.333333333333333,0.320666666666667
LIRCMOP8_BC,FE030000,3,0.526,6.55212429937314,6.55212429937314,0.248,0.012,0.333333333333333,0.640666666666667
LIRCMOP8_BC,FE050000,3,0.442,6.93779756499204,6.93779756499204,0.207333333333333,0.024,0,0.68
LIRCMOP8_BC,FE070000,3,0.522,5.52950394817628,5.52950394817628,0.235333333333333,0.008,0,0.740666666666667
LIRCMOP8_BC,FE100000,3,0.516666666666667,5.72399544304617,5.72399544304617,0.235333333333333,0.00733333333333333,0,0.776
LIRCMOP8_BC,first_true_use,3,0.621333333333333,11.6668453195783,11.6668453195783,0.168666666666667,0.166666666666667,3.66666666666667,0.0906666666666667
