problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,1,10000,10160,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE010000_region_boundary.png
LIRCMOP5_BC,1,30000,30170,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE030000_region_boundary.png
LIRCMOP5_BC,1,50000,50200,223,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE050000_region_boundary.png
LIRCMOP5_BC,1,70000,70110,311,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE070000_region_boundary.png
LIRCMOP5_BC,1,100000,100060,460,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE100000_region_boundary.png
LIRCMOP6_BC,1,10000,10030,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE010000_region_boundary.png
LIRCMOP6_BC,1,30000,30120,140,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE030000_region_boundary.png
LIRCMOP6_BC,1,50000,50130,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE050000_region_boundary.png
LIRCMOP6_BC,1,70000,70140,314,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE070000_region_boundary.png
LIRCMOP6_BC,1,100000,100020,449,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE100000_region_boundary.png
LIRCMOP7_BC,1,10000,10030,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE010000_region_boundary.png
LIRCMOP7_BC,1,30000,30210,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE030000_region_boundary.png
LIRCMOP7_BC,1,50000,50160,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE050000_region_boundary.png
LIRCMOP7_BC,1,70000,70170,311,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE070000_region_boundary.png
LIRCMOP7_BC,1,100000,100070,441,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE100000_region_boundary.png
LIRCMOP8_BC,1,10000,10050,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min32_LIR5_10_runs1_20260626_193916/CBS_RegionWGAN_GP/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_FE010000_region_boundary.png
