problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10160,48,random_all_w,80,30,1,8.39288708151572,13.036300148294,0,1,345,55
LIRCMOP5_BC,1,1,30000,30170,135,random_all_w,37,30,0.533333333333333,0.776654448506888,2.48722770795597,0.566666666666667,1,310,90
LIRCMOP5_BC,1,1,50000,50200,223,random_all_w,77,30,0.366666666666667,1.72161069877693,4.91788204396087,0.233333333333333,1,262,138
LIRCMOP5_BC,1,1,70000,70110,311,random_all_w,30,0,NaN,NaN,NaN,NaN,NaN,279,121
LIRCMOP5_BC,1,1,100000,100060,460,random_all_w,15,0,NaN,NaN,NaN,NaN,NaN,262,138
LIRCMOP6_BC,1,1,10000,10030,49,random_all_w,34,30,1,27.3357839239754,35.4866198167883,0,1,381,19
LIRCMOP6_BC,1,1,30000,30120,140,random_all_w,65,30,0.133333333333333,2.61287475779232,8.72319195853787,0.366666666666667,1,317,83
LIRCMOP6_BC,1,1,50000,50130,227,random_all_w,62,30,0.4,1.28072589233524,3.22875119708893,0.466666666666667,1,263,137
LIRCMOP6_BC,1,1,70000,70140,314,random_all_w,69,30,0.2,1.02973126974077,1.98864111585317,0.466666666666667,1,260,140
LIRCMOP6_BC,1,1,100000,100020,449,random_all_w,12,0,NaN,NaN,NaN,NaN,NaN,276,124
LIRCMOP7_BC,1,1,10000,10030,46,random_all_w,41,30,0.333333333333333,3.57920858616132,8.18620655584025,0.2,1,331,69
LIRCMOP7_BC,1,1,30000,30210,134,random_all_w,47,30,0.566666666666667,1.55870758355167,10.3284888188972,0.4,1,291,109
LIRCMOP7_BC,1,1,50000,50160,224,random_all_w,85,30,0.133333333333333,2.80237391701664,8.78579977679566,0.133333333333333,1,174,226
LIRCMOP7_BC,1,1,70000,70170,311,random_all_w,92,30,0.0666666666666667,1.58150956065031,34.9791458162857,0.366666666666667,1,159,241
LIRCMOP7_BC,1,1,100000,100070,441,random_all_w,80,30,0.233333333333333,3.10673730668458,6.61175307252538,0.3,1,137,263
LIRCMOP8_BC,1,1,10000,10050,47,random_all_w,62,30,0.833333333333333,1.292202258663,6.27396828687618,0.4,1,356,44
LIRCMOP8_BC,1,1,30000,30130,136,random_all_w,40,30,0.166666666666667,1.1242727942011,7.80593700414668,0.466666666666667,1,328,72
LIRCMOP8_BC,1,1,50000,50080,226,random_all_w,61,30,0.133333333333333,1.58818236038929,9.72625576619363,0.4,1,275,125
LIRCMOP8_BC,1,1,70000,70090,313,random_all_w,60,30,0.233333333333333,0.473279199176564,2.18971418304911,0.8,1,247,153
LIRCMOP8_BC,1,1,100000,100220,444,random_all_w,51,30,0.2,0.457116986859442,1.78060624189355,0.7,1,236,164
LIRCMOP9_BC,1,1,10000,10190,48,random_all_w,15,0,NaN,NaN,NaN,NaN,NaN,236,164
LIRCMOP9_BC,1,1,30000,30130,142,random_all_w,37,30,0.4,1.28530382347916,9.60096201321602,0.466666666666667,1,282,118
LIRCMOP9_BC,1,1,50000,50180,231,random_all_w,52,30,0.533333333333333,11.292799743182,201.434575972129,0.266666666666667,0.966666666666667,250,150
LIRCMOP9_BC,1,1,70000,70050,320,random_all_w,42,30,0.9,24.0557757610806,57.8712192285275,0.2,1,230,170
LIRCMOP9_BC,1,1,100000,100220,453,random_all_w,49,30,0.733333333333333,15.3862038404318,216.318768301702,0.4,0.966666666666667,213,187
LIRCMOP10_BC,1,1,10000,10060,49,random_all_w,32,30,1,73.1604661824672,130.757339986467,0,0.966666666666667,284,116
LIRCMOP10_BC,1,1,30000,30060,137,random_all_w,66,30,0.433333333333333,7.58164647441488,16.3854841181816,0.166666666666667,1,286,114
LIRCMOP10_BC,1,1,50000,50070,224,random_all_w,57,30,0.4,3.39340361446079,32.4711169778327,0.333333333333333,1,274,126
LIRCMOP10_BC,1,1,70000,70080,311,random_all_w,58,30,0.333333333333333,1.53019249480328,27.1059545987219,0.4,1,255,145
LIRCMOP10_BC,1,1,100000,100210,442,random_all_w,88,30,0.466666666666667,0.347830638259953,9.92325945503117,0.733333333333333,1,254,146
