sigma,armCount,decisionWithinRefRMSMedian,objectiveWithinRefRMSMedian,decisionWithinRefRatioMedian,objectiveWithinRefRatioMedian,rawBoundaryMarginMedian,rawInfeasibleRateMedian,candidateValidRateMedian,referenceMatchRateMedian,uniqueRateMedian,assignedCoverageMedian,entropyMedian,fullQuotaRate,guidedCountMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedUsefulPerQuotaMedian
1,12,0.530591168054145,0.361637987781031,0.938322712395801,0.962698939023167,2.59745501296707,0.123,0.991,0.034,1,0.7,0.823263094112954,1,20,0.8,0.947002351157926,0
0.5,12,0.322140920496458,0.186581375068747,0.843949416324154,0.870473392550718,3.1945140550978,0.135,1,0.025,1,0.58,0.76547501169761,1,20,0.825,1.00158489730373,0
