problem,sigma,armCount,decisionWithinRefRMSMedian,objectiveWithinRefRMSMedian,decisionWithinRefRatioMedian,objectiveWithinRefRatioMedian,rawBoundaryMarginMedian,rawInfeasibleRateMedian,candidateValidRateMedian,referenceMatchRateMedian,uniqueRateMedian,assignedCoverageMedian,entropyMedian,fullQuotaRate,guidedCountMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedUsefulPerQuotaMedian
LIRCMOP5_BC,1,2,0.44309737846876,0.225848717669834,0.860544356504746,0.935252820352813,0.84675658318459,0.197,1,0.027,1,0.73,0.782551931325469,1,20,0.775,1.32590364074891,0
LIRCMOP5_BC,0.5,2,0.284382696697177,0.0971627640667147,0.726714331732851,0.755700546844959,0.416833624809227,0.271,1,0.024,1,0.68,0.789851886130617,1,20,0.625,5.50388034000068,0
LIRCMOP7_BC,1,2,0.547944252291077,0.228170466954182,0.964138217105224,0.974711456657506,0.990582908118038,0.113,0.981,0.041,1,0.64,0.840662643979421,1,20,0.775,0.40593286433184,0.05
LIRCMOP7_BC,0.5,2,0.322140920496458,0.128921075247307,0.921114840782285,0.912315063878446,0.300371129431583,0.185,0.998,0.021,1,0.59,0.834362995585131,1,20,0.675,0.272813008403696,0.075
LIRCMOP8_BC,1,2,0.422376326316414,0.193261833199262,0.969009328262534,0.977055137317323,0.377213372744643,0.211,0.999,0.024,1,0.67,0.841843194771259,1,20,0.725,0.207670069322111,0
LIRCMOP8_BC,0.5,2,0.254795022055517,0.170325894688217,0.942571308590729,0.972462340175295,0.506667852773421,0.139,1,0.024,1,0.58,0.7448547114226,1,20,0.55,0.216387857257524,0.05
LIRCMOP10_BC,1,2,1.3135746077657,2.34377487066747,0.940456953343966,0.973873556239675,4.12182760496139,0.054,0.8,0.042,1,0.86,0.899405852389225,1,20,0.95,1.98479754939579,0
LIRCMOP10_BC,0.5,2,0.915296014726855,1.73975197355107,0.84084484328491,0.919074065107768,5.98901754908252,0.018,0.792,0.04,1,0.7,0.770982958557507,1,20,0.975,0.875908499355927,0.025
LIRCMOP12_BC,1,2,0.99052857537893,3.15502508948487,0.92374870804296,0.923383246217452,11.3919820217622,0,0.338,0.011,1,0.82,0.781362688071704,1,20,0.825,1.4094773004149,0
LIRCMOP12_BC,0.5,2,0.625906229232668,1.9066201456461,0.790169696007377,0.79049583832242,12.0947314680988,0,0.341,0.018,1,0.39,0.614898221657431,1,20,0.95,2.67380694282431,0
LIRCMOP14_BC,1,2,0.407802645998358,0.427329156882137,0.881570799226454,0.8830084917688,39.0514550245651,0.243,0.997,0.045,1,0.5,0.712348857549994,1,20,0.75,14.969133444705,0
LIRCMOP14_BC,0.5,2,0.214494301044297,0.15386374176525,0.713690290327081,0.683611527856956,5.85541698926267,0.673,1,0.034,1,0.333333333333333,0.563122441538784,1,20,0.3,4.24064251851728,0.025
