problem,calibratorVariant,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP5_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
