problem,calibratorVariant,run,updateCount,auditReadyUpdateCount,boundaryStarted,meanECE,meanCoreNearGap,TWS,TGP,finalCalibrator,dominantCalibrator
DASCMOP1_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP1_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP2_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP2_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP3_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP3_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP4_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP4_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP5_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP5_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP6_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP6_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP7_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP7_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP8_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP8_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP9_BC,raw,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
DASCMOP9_BC,beta,1,5,0,0,NaN,NaN,NaN,NaN,raw,raw
