calibratorVariant,runCount,meanECE,meanCoreNearGap,TWS,TGP,auditReadyUpdateCount
raw,1,0.393399479045509,0.394060498287417,0,0,13
beta,1,0.393399479045509,0.394060498287417,0,0,13
