problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10160,48,random_all_w,61,30,1,7.8110730420278,14.8563759602303,0,1,360,40
LIRCMOP5_BC,1,1,30000,30070,139,random_all_w,47,30,0.666666666666667,4.82765223921534,18.6637396379162,0,1,345,55
LIRCMOP5_BC,1,1,50000,50160,227,random_all_w,34,30,0.366666666666667,3.52492593247574,65.246730725642,0.2,0.833333333333333,265,135
LIRCMOP5_BC,1,1,70000,70100,321,random_all_w,25,0,NaN,NaN,NaN,NaN,NaN,256,144
LIRCMOP5_BC,1,1,100000,100110,470,random_all_w,25,0,NaN,NaN,NaN,NaN,NaN,268,132
LIRCMOP6_BC,1,1,10000,10030,49,random_all_w,34,30,1,27.8586115030481,32.0889710852402,0,1,381,19
LIRCMOP6_BC,1,1,30000,30000,140,random_all_w,64,30,0.466666666666667,2.19378839140219,5.91718604229186,0.333333333333333,1,326,74
LIRCMOP6_BC,1,1,50000,50010,227,random_all_w,44,30,0.3,1.3375499624874,7.31734856883941,0.333333333333333,1,293,107
LIRCMOP6_BC,1,1,70000,70040,318,random_all_w,18,0,NaN,NaN,NaN,NaN,NaN,248,152
LIRCMOP6_BC,1,1,100000,100090,466,random_all_w,24,0,NaN,NaN,NaN,NaN,NaN,223,177
LIRCMOP7_BC,1,1,10000,10060,46,random_all_w,50,30,0.666666666666667,6.62198345476977,20.2601181019291,0,1,326,74
LIRCMOP7_BC,1,1,30000,30180,134,random_all_w,40,30,0.633333333333333,4.0174861218957,10.6251203714123,0,1,317,83
LIRCMOP7_BC,1,1,50000,50090,222,random_all_w,83,30,0.166666666666667,7.41726920814822,24.1491690079087,0.133333333333333,1,190,210
LIRCMOP7_BC,1,1,70000,70100,309,random_all_w,103,30,0.0666666666666667,3.7946255379878,17.009768556849,0.233333333333333,1,178,222
LIRCMOP7_BC,1,1,100000,100000,439,random_all_w,85,30,0.166666666666667,1.37691079351973,3.76618380059724,0.433333333333333,1,129,271
LIRCMOP8_BC,1,1,10000,10050,47,random_all_w,60,30,1,4.09159606998382,10.0447817373525,0.0333333333333333,1,354,46
LIRCMOP8_BC,1,1,30000,30050,138,random_all_w,47,30,0.466666666666667,5.02123860813814,12.8876224516444,0,1,307,93
LIRCMOP8_BC,1,1,50000,50060,225,random_all_w,50,30,0.0333333333333333,3.73995259870286,6.55691522708112,0.1,1,235,165
LIRCMOP8_BC,1,1,70000,70070,312,random_all_w,83,30,0.2,8.21996653028354,38.1237391782839,0.1,1,186,214
LIRCMOP8_BC,1,1,100000,100200,443,random_all_w,82,30,0.266666666666667,3.06770527338563,14.435470400054,0.266666666666667,1,152,248
LIRCMOP9_BC,1,1,10000,10190,48,random_all_w,32,30,1,73.9942188222836,108.099946390088,0,1,217,183
LIRCMOP9_BC,1,1,30000,30150,143,random_all_w,28,0,NaN,NaN,NaN,NaN,NaN,298,102
LIRCMOP9_BC,1,1,50000,50070,233,random_all_w,37,30,0.466666666666667,0.591752704373558,6.16179169519467,0.566666666666667,1,237,163
LIRCMOP9_BC,1,1,70000,70090,322,random_all_w,37,30,0.5,10.267225140809,62.6249018333808,0.266666666666667,1,226,174
LIRCMOP9_BC,1,1,100000,100190,456,random_all_w,46,30,0.766666666666667,23.5396930106521,52.1984478399778,0.0333333333333333,1,204,196
LIRCMOP10_BC,1,1,10000,10030,49,random_all_w,22,0,NaN,NaN,NaN,NaN,NaN,325,75
LIRCMOP10_BC,1,1,30000,30110,138,random_all_w,65,30,0.166666666666667,3.14371518747604,7.44387518628705,0.0333333333333333,1,272,128
LIRCMOP10_BC,1,1,50000,50120,225,random_all_w,76,30,0.4,5.52895626297933,53.5804312184881,0.366666666666667,1,266,134
LIRCMOP10_BC,1,1,70000,70130,312,random_all_w,82,30,0.366666666666667,1.8338799131742,10.1795841877544,0.366666666666667,1,247,153
LIRCMOP10_BC,1,1,100000,100030,442,random_all_w,93,30,0.3,2.88477667908843,11.1563615574585,0.3,1,241,159
