problem,run,passed,failure_reason,bufferSeparationPass,updateAuditComplete,candidateAuditComplete,seedAuditComplete,boundaryLineageComplete,archiveEventComplete,runLevelSummaryPass,updateAuditCount,updateAuditMismatchCount,candidateAuditMismatchCount,seedAuditMismatchCount,boundaryLineageMismatchCount,archiveEventMismatchCount,totalCandidateRows,totalSeedRows,totalLineageRows,totalArchiveEventRows,maxTrainCalOverlap,maxTrainTestOverlap,maxCalTestOverlap,boundaryStarted
DASCMOP1_BC,1,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1399,617,617,10,0,0,0,1
DASCMOP1_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,992,558,558,4,0,0,0,1
DASCMOP1_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,831,525,525,4,0,0,0,1
DASCMOP2_BC,1,1,,1,1,1,1,1,1,1,92,0,0,0,0,0,995,563,563,10,0,0,0,1
DASCMOP2_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1051,590,590,12,0,0,0,1
DASCMOP2_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,852,528,528,17,0,0,0,1
DASCMOP3_BC,1,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,391,285,285,8,0,0,0,1
DASCMOP3_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,614,450,450,4,0,0,0,1
DASCMOP3_BC,3,1,,1,1,1,1,1,1,1,87,0,0,0,0,0,630,431,431,8,0,0,0,1
DASCMOP4_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP4_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP4_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP5_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP5_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP5_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP6_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP6_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP6_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP7_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP7_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP7_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP8_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP8_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP8_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP9_BC,1,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1111,601,601,30,0,0,0,1
DASCMOP9_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,588,408,408,15,0,0,0,1
DASCMOP9_BC,3,1,,1,1,1,1,1,1,1,91,0,0,0,0,0,357,242,242,15,0,0,0,1
LIRCMOP1_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP1_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,44,16,16,0,0,0,0,1
LIRCMOP1_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,18,4,4,0,0,0,0,1
LIRCMOP2_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,27,4,4,0,0,0,0,1
LIRCMOP2_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,17,9,9,0,0,0,0,1
LIRCMOP2_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,56,19,19,0,0,0,0,1
LIRCMOP3_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP3_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP3_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP4_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,27,4,4,0,0,0,0,1
LIRCMOP4_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP4_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP5_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1577,418,418,29,0,0,0,1
LIRCMOP5_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1362,394,394,28,0,0,0,1
LIRCMOP5_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1630,440,440,39,0,0,0,1
LIRCMOP6_BC,1,1,,1,1,1,1,1,1,1,95,0,0,0,0,0,1789,423,423,21,0,0,0,1
LIRCMOP6_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1633,403,403,30,0,0,0,1
LIRCMOP6_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1200,385,385,36,0,0,0,1
LIRCMOP7_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,2108,501,501,47,0,0,0,1
LIRCMOP7_BC,2,1,,1,1,1,1,1,1,1,92,0,0,0,0,0,1149,464,464,48,0,0,0,1
LIRCMOP7_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1282,489,489,35,0,0,0,1
LIRCMOP8_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,2073,478,478,30,0,0,0,1
LIRCMOP8_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1626,445,445,40,0,0,0,1
LIRCMOP8_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1333,441,441,45,0,0,0,1
LIRCMOP9_BC,1,1,,1,1,1,1,1,1,1,78,0,0,0,0,0,463,334,334,1,0,0,0,1
LIRCMOP9_BC,2,1,,1,1,1,1,1,1,1,73,0,0,0,0,0,293,276,276,0,0,0,0,1
LIRCMOP9_BC,3,1,,1,1,1,1,1,1,1,78,0,0,0,0,0,304,281,281,7,0,0,0,1
LIRCMOP10_BC,1,1,,1,1,1,1,1,1,1,92,0,0,0,0,0,629,299,299,16,0,0,0,1
LIRCMOP10_BC,2,1,,1,1,1,1,1,1,1,95,0,0,0,0,0,451,330,330,8,0,0,0,1
LIRCMOP10_BC,3,1,,1,1,1,1,1,1,1,92,0,0,0,0,0,851,311,311,5,0,0,0,1
LIRCMOP11_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1073,385,385,21,0,0,0,1
LIRCMOP11_BC,2,1,,1,1,1,1,1,1,1,84,0,0,0,0,0,725,383,383,12,0,0,0,1
LIRCMOP11_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,639,356,356,13,0,0,0,1
LIRCMOP12_BC,1,1,,1,1,1,1,1,1,1,91,0,0,0,0,0,253,230,230,2,0,0,0,1
LIRCMOP12_BC,2,1,,1,1,1,1,1,1,1,81,0,0,0,0,0,291,270,270,5,0,0,0,1
LIRCMOP12_BC,3,1,,1,1,1,1,1,1,1,85,0,0,0,0,0,493,371,371,4,0,0,0,1
LIRCMOP13_BC,1,1,,1,1,1,1,1,1,1,91,0,0,0,0,0,1191,360,360,55,0,0,0,1
LIRCMOP13_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1303,395,395,31,0,0,0,1
LIRCMOP13_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1485,386,386,17,0,0,0,1
LIRCMOP14_BC,1,1,,1,1,1,1,1,1,1,91,0,0,0,0,0,1191,360,360,55,0,0,0,1
LIRCMOP14_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1303,395,395,31,0,0,0,1
LIRCMOP14_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1485,386,386,17,0,0,0,1
MW1_BC,1,1,,1,1,1,1,1,1,1,99,0,0,0,0,0,173,90,90,21,0,0,0,1
MW1_BC,2,1,,1,1,1,1,1,1,1,99,0,0,0,0,0,145,77,77,11,0,0,0,1
MW1_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,193,122,122,23,0,0,0,1
MW2_BC,1,1,,1,1,1,1,1,1,1,86,0,0,0,0,0,282,217,217,55,0,0,0,1
MW2_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,354,220,220,11,0,0,0,1
MW2_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,197,158,158,11,0,0,0,1
MW3_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1664,528,528,21,0,0,0,1
MW3_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1476,495,495,29,0,0,0,1
MW3_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1697,506,506,23,0,0,0,1
MW4_BC,1,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,44,15,15,5,0,0,0,1
MW4_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,69,23,23,8,0,0,0,1
MW4_BC,3,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,28,11,11,3,0,0,0,1
MW5_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,312,171,171,16,0,0,0,1
MW5_BC,2,1,,1,1,1,1,1,1,1,97,0,0,0,0,0,387,147,147,16,0,0,0,1
MW5_BC,3,1,,1,1,1,1,1,1,1,98,0,0,0,0,0,232,122,122,8,0,0,0,1
MW6_BC,1,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,73,56,56,3,0,0,0,1
MW6_BC,2,1,,1,1,1,1,1,1,1,77,0,0,0,0,0,84,68,68,0,0,0,0,1
MW6_BC,3,1,,1,1,1,1,1,1,1,91,0,0,0,0,0,61,42,42,2,0,0,0,1
MW7_BC,1,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1705,497,497,10,0,0,0,1
MW7_BC,2,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1844,520,520,16,0,0,0,1
MW7_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,1840,529,529,20,0,0,0,1
MW8_BC,1,1,,1,1,1,1,1,1,1,98,0,0,0,0,0,170,121,121,8,0,0,0,1
MW8_BC,2,1,,1,1,1,1,1,1,1,90,0,0,0,0,0,72,56,56,21,0,0,0,1
MW8_BC,3,1,,1,1,1,1,1,1,1,94,0,0,0,0,0,105,73,73,9,0,0,0,1
MW9_BC,1,1,,1,1,1,1,1,1,1,98,0,0,0,0,0,646,157,157,20,0,0,0,1
MW9_BC,2,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,776,195,195,32,0,0,0,1
MW9_BC,3,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,812,222,222,30,0,0,0,1
MW10_BC,1,1,,1,1,1,1,1,1,1,99,0,0,0,0,0,170,52,52,6,0,0,0,1
MW10_BC,2,1,,1,1,1,1,1,1,1,100,0,0,0,0,0,60,29,29,2,0,0,0,1
MW10_BC,3,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,19,13,13,0,0,0,0,1
MW11_BC,1,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1978,547,547,12,0,0,0,1
MW11_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,1987,548,548,8,0,0,0,1
MW11_BC,3,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,2108,578,578,17,0,0,0,1
MW12_BC,1,1,,1,1,1,1,1,1,1,96,0,0,0,0,0,898,284,284,40,0,0,0,1
MW12_BC,2,1,,1,1,1,1,1,1,1,98,0,0,0,0,0,394,181,181,26,0,0,0,1
MW12_BC,3,1,,1,1,1,1,1,1,1,98,0,0,0,0,0,658,209,209,26,0,0,0,1
MW13_BC,1,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,712,426,426,5,0,0,0,1
MW13_BC,2,1,,1,1,1,1,1,1,1,93,0,0,0,0,0,659,426,426,9,0,0,0,1
MW13_BC,3,1,,1,1,1,1,1,1,1,88,0,0,0,0,0,598,320,320,7,0,0,0,1
MW14_BC,1,1,,1,1,1,1,1,1,1,77,0,0,0,0,0,43,27,27,49,0,0,0,1
MW14_BC,2,1,,1,1,1,1,1,1,1,79,0,0,0,0,0,76,46,46,53,0,0,0,1
MW14_BC,3,1,,1,1,1,1,1,1,1,80,0,0,0,0,0,27,25,25,34,0,0,0,1
