problem,family,run,seed,seedIndex,generation,FE,source,seedFeasible,prob,absProbHalf,queryScore,disagreement,paretoValue,reliability,boundaryTrust,utility,localEvalCount,feasibleForwardSuccess,ubySuccess,frrSuccess,initialBracketGap,bracketGap,shrinkSuccess,tightSuccess,hardNegativeConfirmed,tightenBracket,tightBracket,m2Success,m3Success,m3Downstream,m4Success,m4Tight,m4Recover
MW1_BC,MW_BC,1,1703,1,63,12802,1,0,0.5,0,1,0,0,1,1,1,1,0,0,0,0.02,0.000666561473049822,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,2,66,13404,1,0,0.5,0,1,0,0,1,1,1,1,0,0,0,0.02,0.00217373261928061,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,3,71,14405,1,1,0.5,0,1,0,0,1,1,1,0,0,1,0,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0
MW1_BC,MW_BC,1,1703,4,74,15009,1,0,0.5,0,1,0,0,1,1,1,1,0,0,0,0.02,0.00758759722963809,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,5,74,15009,1,0,0.5,0,1,0,0,1,1,1,1,0,0,0,0.02,0.00921985452901129,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,6,75,15213,1,0,0.5,0,1,0,0,1,1,1,1,0,0,1,0.02,0.000586643435521265,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,7,75,15213,1,0,0.5,0,1,0,0,1,1,1,1,0,0,0,0.02,0.00262049245571859,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,8,76,15417,1,0,0.508103146570565,0.00810314657056488,0.98379370685887,0.00389120603743549,0,1,0.98379370685887,0.98379370685887,1,0,0,1,0.02,0.000727425995536192,1,1,1,1,1,1,0,0,1,1,1
MW1_BC,MW_BC,1,1703,9,76,15417,1,0,0.486536427203631,0.0134635727963691,0.973072854407262,0.000444058874477085,0,1,0.973072854407262,0.973072854407262,1,0,0,0,0.02,0.00213884774125049,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,10,77,15622,1,1,0.506724982043115,0.00672498204311467,0.986550035913771,0.00794746994976417,0,1,0.986550035913771,0.986550035913771,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
MW1_BC,MW_BC,1,1703,11,77,15622,1,0,0.490308466262553,0.00969153373744708,0.980616932525106,0.00723848796197777,0,1,0.980616932525106,0.980616932525106,1,0,0,0,0.02,0.00250378936894902,1,1,1,1,1,1,0,0,1,1,0
MW1_BC,MW_BC,1,1703,12,77,15622,1,0,0.485352953441849,0.0146470465581505,0.970705906883699,7.96209142460392e-05,0,1,0.970705906883699,0.970705906883699,1,0,0,0,0.02,0.00637129302308445,1,1,1,1,1,1,0,0,1,1,0
