problem,family,run,seed,updateIndex,generation,FE,reason,calibrator,valid,auditReady,auditPhase,boundaryCount,eceBd,gapBd,trainCount,calCount,testCount,strictSeparation,trainCalOverlap,trainTestOverlap,calTestOverlap
MW1_BC,MW_BC,1,1703,1,0,200,initial_train,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,2,1,400,missing_model,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,3,5,1200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,4,10,2200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,5,15,3200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,6,20,4200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,7,25,5200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,8,30,6200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,9,35,7200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,10,40,8200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,11,45,9200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,12,50,10200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,13,55,11200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,14,60,12200,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
MW1_BC,MW_BC,1,1703,15,65,13202,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,1,2,0,1,0,0,0
MW1_BC,MW_BC,1,1703,16,70,14204,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,2,3,0,1,0,0,0
MW1_BC,MW_BC,1,1703,17,75,15214,periodic,raw,1,1,boundary_auditable,3,0.169512058569444,0.169512058569444,7,5,3,1,0,0,0
MW1_BC,MW_BC,1,1703,18,76,15418,calibration_drift,raw,1,1,boundary_auditable,4,0.254897533455931,0.254897533455931,10,6,4,1,0,0,0
