problem,variant,run,sharedSectorCount,activeSectorCount,gatePassedPairCount,positiveMarginPairCount,candidateCount,selectedCount,feasibleDescendantSeedCount,FSG,boundaryStarted,SAR,GPR,FDR,oracleCount,meanSelectedOracleDB,medianSelectedOracleDB,qpTauSelectedOracleDB
DASCMOP6_BC,TopKPair,2,3025,2661,2661,2707,2661,2657,1,386,1,0.879669421487603,0.983007018840044,0.000376364320662401,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,3,3005,2700,2700,2826,2700,2696,2,424,1,0.898502495840266,0.955414012738854,0.000741839762611276,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,3,3870,3387,3387,3481,3387,3377,1,426,1,0.875193798449612,0.972996265440965,0.000296120817293456,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,3,2608,2492,2492,2544,2492,2485,1,424,1,0.955521472392638,0.979559748427673,0.000402414486921529,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,4,4638,3086,3086,3236,3086,3081,2,352,1,0.665373005605865,0.953646477132262,0.000649139889646219,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,4,4199,3411,3411,3463,3411,3408,1,322,1,0.812336270540605,0.984984117816922,0.000293427230046948,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,4,4581,3409,3409,3489,3409,3406,3,349,1,0.744160663610565,0.97707079392376,0.000880798590722255,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,5,5106,3434,3434,3537,3434,3428,1,402,1,0.672542107324716,0.970879276222788,0.00029171528588098,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,5,4870,3708,3708,3819,3708,3703,5,374,1,0.761396303901437,0.970934799685782,0.00135025654874426,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,5,4609,3276,3276,3325,3276,3272,4,402,1,0.710783250162725,0.985263157894737,0.00122249388753056,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,6,3587,3248,3248,3353,3248,3244,1,350,1,0.905492054641762,0.968684759916493,0.00030826140567201,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,6,3304,3000,3000,3063,3000,2995,2,367,1,0.907990314769976,0.979431929480901,0.000667779632721202,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,6,3666,3428,3428,3508,3428,3426,1,350,1,0.935079105291871,0.977194982896237,0.000291885580852306,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,7,2855,2453,2453,2559,2453,2451,2,339,1,0.859194395796848,0.958577569363032,0.000815993472052224,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,7,3529,3256,3256,3338,3256,3252,1,384,1,0.922640974780391,0.975434391851408,0.00030750307503075,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,7,4081,3837,3837,3901,3837,3831,1,337,1,0.940210732663563,0.983593950269162,0.000261028452101279,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,8,3794,3224,3224,3322,3224,3219,0,336,1,0.849762783342119,0.97049969897652,0,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,8,3934,3407,3407,3435,3407,3403,2,336,1,0.866039654295882,0.991848617176128,0.000587716720540699,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,8,4108,3860,3860,3895,3860,3853,5,336,1,0.939629990262902,0.991014120667522,0.00129769011160135,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,9,3468,3181,3181,3255,3181,3178,5,338,1,0.91724336793541,0.97726574500768,0.00157331655129012,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,9,3457,3291,3291,3332,3291,3286,1,361,1,0.951981486838299,0.987695078031212,0.000304321363359708,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,9,3440,3241,3241,3312,3241,3237,5,338,1,0.942151162790698,0.978562801932367,0.00154464009885697,0,NaN,NaN,NaN
DASCMOP6_BC,MainBridge,10,3873,3411,3411,3517,3411,3405,3,406,1,0.880712625871418,0.969860676713108,0.000881057268722467,0,NaN,NaN,NaN
DASCMOP6_BC,RandSectorPair,10,3583,2690,2690,2810,2690,2682,6,393,1,0.750767513257047,0.95729537366548,0.00223713646532438,0,NaN,NaN,NaN
DASCMOP6_BC,TopKPair,10,3571,3241,3241,3335,3241,3237,3,406,1,0.90758891066928,0.971814092953523,0.00092678405931418,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,1,3119,3119,3119,3119,3119,3111,0,165,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,1,740,740,740,740,740,739,0,165,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,1,3004,3004,3004,3004,3004,2997,0,165,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,2,712,712,712,712,712,711,0,39,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,2,2279,2279,2279,2279,2279,2273,0,39,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,2,712,712,712,712,712,711,0,39,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,3,5761,5761,5761,5761,5761,5748,0,81,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,3,3201,3201,3201,3201,3201,3194,0,81,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,3,7655,7655,7655,7655,7655,7639,0,81,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,4,4343,4334,4334,4334,4334,4327,0,32,1,0.997927699746719,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,4,7215,7213,7213,7213,7213,7200,0,19,1,0.9997227997228,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,4,4143,4134,4134,4134,4134,4128,0,32,1,0.997827661115134,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,5,1470,1470,1470,1470,1470,1467,0,328,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,RandSectorPair,5,1417,1417,1417,1417,1417,1413,0,328,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,TopKPair,5,1470,1470,1470,1470,1470,1467,0,328,1,1,1,0,0,NaN,NaN,NaN
LIRCMOP1_BC,MainBridge,6,5801,5801,5801,5801,5801,5784,0,32,1,1,1,0,0,NaN,NaN,NaN
