problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP1_BC,MainBridge,RandSectorPair,FDR,5,0,0,0,1
DASCMOP1_BC,MainBridge,RandSectorPair,FSG,5,12,13,0,1
DASCMOP1_BC,MainBridge,RandSectorPair,SAR,5,0.997579750579851,0.997569734121658,0.000199370296090295,0.8125
DASCMOP1_BC,MainBridge,RandSectorPair,GPR,5,1,1,0,0.5
DASCMOP1_BC,MainBridge,TopKPair,FDR,5,0,0,0,1
DASCMOP1_BC,MainBridge,TopKPair,FSG,5,12,12,0,1
DASCMOP1_BC,MainBridge,TopKPair,SAR,5,0.997579750579851,0.997661697774437,1.73473184008621e-05,0.625
DASCMOP1_BC,MainBridge,TopKPair,GPR,5,1,1,0,0.5
DASCMOP2_BC,MainBridge,RandSectorPair,FDR,5,0.00123181604880338,0.00394117647058824,-0.00292302300943754,0.0625
DASCMOP2_BC,MainBridge,RandSectorPair,FSG,5,9,11,-2,0.25
DASCMOP2_BC,MainBridge,RandSectorPair,SAR,5,0.996048861408536,0.996514604731501,-0.000255344598761642,0.4375
DASCMOP2_BC,MainBridge,RandSectorPair,GPR,5,1,0.99996869129618,1.02861297934798e-06,0.375
DASCMOP2_BC,MainBridge,TopKPair,FDR,5,0.00123181604880338,0.00625180897250362,-0.00506274833041087,0.0625
DASCMOP2_BC,MainBridge,TopKPair,FSG,5,9,9,0,1
DASCMOP2_BC,MainBridge,TopKPair,SAR,5,0.996048861408536,0.997380484610347,-0.00118078447487902,0.0625
DASCMOP2_BC,MainBridge,TopKPair,GPR,5,1,1,0,0.5
DASCMOP3_BC,MainBridge,RandSectorPair,FDR,5,0.00404448938321537,0.00363372093023256,0.000410768452982811,1
DASCMOP3_BC,MainBridge,RandSectorPair,FSG,5,10,12,-2,0.25
DASCMOP3_BC,MainBridge,RandSectorPair,SAR,5,0.976156413924654,0.984095427435388,-0.00922190298344838,0.3125
DASCMOP3_BC,MainBridge,RandSectorPair,GPR,5,0.99909338168631,0.998941574936494,0.00015180674981552,1
DASCMOP3_BC,MainBridge,TopKPair,FDR,5,0.00404448938321537,0.00415486307837583,-0.000404663159157512,0.625
DASCMOP3_BC,MainBridge,TopKPair,FSG,5,10,10,0,1
DASCMOP3_BC,MainBridge,TopKPair,SAR,5,0.976156413924654,0.986362711174435,-0.00659642260505233,0.0625
DASCMOP3_BC,MainBridge,TopKPair,GPR,5,0.99909338168631,0.999622997172479,-0.000529615486168811,0.125
DASCMOP4_BC,MainBridge,RandSectorPair,FDR,5,0,0.00014427932477276,-6.30147092904718e-06,0.875
