problem,variant,run,sharedSectorCount,activeSectorCount,gatePassedPairCount,positiveMarginPairCount,candidateCount,selectedCount,feasibleDescendantSeedCount,FSG,boundaryStarted,SAR,GPR,FDR,oracleCount,meanSelectedOracleDB,medianSelectedOracleDB,qpTauSelectedOracleDB
DASCMOP3_BC,RandSectorPair,2,4701,4605,4605,4614,4605,4600,14,12,1,0.979578813018507,0.998049414824447,0.00304347826086957,0,NaN,NaN,NaN
DASCMOP3_BC,TopKPair,2,4659,4596,4596,4597,4596,4584,17,10,1,0.986477784932389,0.999782466826191,0.00370855148342059,0,NaN,NaN,NaN
DASCMOP3_BC,MainBridge,3,5930,5781,5781,5787,5781,5768,24,10,1,0.974873524451939,0.998963193364438,0.00416088765603329,0,NaN,NaN,NaN
DASCMOP3_BC,RandSectorPair,3,4527,4455,4455,4461,4455,4448,22,10,1,0.984095427435388,0.998655010087424,0.00494604316546763,0,NaN,NaN,NaN
DASCMOP3_BC,TopKPair,3,6422,6303,6303,6312,6303,6294,20,10,1,0.981469947056992,0.998574144486692,0.00317762948840165,0,NaN,NaN,NaN
DASCMOP3_BC,MainBridge,4,4194,4094,4094,4100,4094,4086,18,10,1,0.976156413924654,0.998536585365854,0.00440528634361234,0,NaN,NaN,NaN
DASCMOP3_BC,RandSectorPair,4,4451,4404,4404,4407,4404,4399,15,12,1,0.989440575151651,0.99931926480599,0.00340986587860877,0,NaN,NaN,NaN
DASCMOP3_BC,TopKPair,4,4913,4846,4846,4849,4846,4837,26,10,1,0.986362711174435,0.999381315735203,0.00537523258217904,0,NaN,NaN,NaN
DASCMOP3_BC,MainBridge,5,4064,3960,3960,3963,3960,3956,16,11,1,0.974409448818898,0.999242997728993,0.00404448938321537,0,NaN,NaN,NaN
DASCMOP3_BC,RandSectorPair,5,4193,4133,4133,4133,4133,4128,15,11,1,0.985690436441689,1,0.00363372093023256,0,NaN,NaN,NaN
DASCMOP3_BC,TopKPair,5,4761,4727,4727,4727,4727,4720,21,11,1,0.992858643142197,1,0.00444915254237288,0,NaN,NaN,NaN
DASCMOP4_BC,MainBridge,1,6707,5123,5123,5198,5123,5107,8,452,1,0.763828835544953,0.985571373605233,0.00156647738398277,0,NaN,NaN,NaN
DASCMOP4_BC,RandSectorPair,1,7768,6456,6456,6501,6456,6433,2,431,1,0.831101956745623,0.993077988001846,0.000310896937665164,0,NaN,NaN,NaN
DASCMOP4_BC,TopKPair,1,7509,6070,6070,6131,6070,6024,0,426,1,0.808363297376482,0.990050562714076,0,0,NaN,NaN,NaN
DASCMOP4_BC,MainBridge,2,7809,7613,7613,7671,7613,7585,1,348,1,0.974900755538481,0.992439056185634,0.0001318391562294,0,NaN,NaN,NaN
