variant,maxCandidatePairsPerRef,problem,stage_count,train_count_med,train_count_p90,train_count_max,ref_cov_med,param_ratio_med,sample_reuse_med,raw_generated_med,feasible_rate_med,boundary_dist90_med,pair_margin50_med,missing_ref_query_total,large_gap_query_total,figure_count
pair3,3,DASCMOP1_BC,15,81,87,87,0.27,0.00424017170077998,39.5061728395062,20,0.1,0.11078354257577,0.0451724218147118,242,58,0
pair3,3,DASCMOP2_BC,15,126,141.6,146,0.42,0.00659582264565775,25.3968253968254,20,0.25,0.0716594569787201,0.0237043357016136,71,229,0
pair3,3,DASCMOP4_BC,15,54,72.8,99,0.2,0.00282678113385332,53.3333333333333,20,0,1.65645881555654,5.22641160369819e-05,249,5,0
pair3,3,DASCMOP5_BC,15,0,36,66,0.21,0,50.9090909090909,0,0,2.14668512866769,-0.00051087630853859,40,0,0
pair3,3,LIRCMOP5_BC,15,81,133.2,153,0.27,0.00424017170077998,39.5061728395062,20,0.2,0.0150721424109441,0.0536730970741472,257,24,0
pair3,3,LIRCMOP6_BC,15,102,162.6,207,0.355,0.00533947547505627,30.3651735923727,20,0.45,0.0283474008199407,0.0196725930174124,269,11,0
pair3,3,LIRCMOP7_BC,15,132,210.4,249,0.44,0.00690990943830812,24.2424242424242,20,0.2,0.0136044755136407,0.0161664399757455,289,11,0
pair3,3,LIRCMOP8_BC,15,120,219.6,246,0.44,0.00628173585300738,24.4444444444444,20,0.125,0.0239576248039952,0.0180317654832003,277,3,0
pair3,3,LIRCMOP9_BC,15,57,91.2,104,0.19,0.00298382453017851,56.140350877193,20,0.4,0.00119309470579279,0.00482277625737491,300,0,0
pair3,3,LIRCMOP10_BC,15,93,124.8,147,0.31,0.00486834528608072,34.4086021505376,20,0.25,0.000563409790658787,0.00751482292549359,295,5,0
pair5,5,DASCMOP1_BC,15,135,145.6,150,0.27,0.0070669528346333,23.7037037037037,20,0.15,0.0356702371631016,0.086836158628788,242,58,0
pair5,5,DASCMOP2_BC,15,210,233,240,0.42,0.0109930377427629,15.2380952380952,20,0.35,0.0607778366296158,0.0281434741995912,60,240,0
pair5,5,DASCMOP4_BC,15,105,143.4,154,0.23,0.00549651887138146,27.8260869565217,20,0,1.56248136467183,-7.11653240605126e-05,237,7,0
pair5,5,DASCMOP5_BC,15,0,71.4,189,0.31,0,21.9109866168689,0,0,2.25288737249755,0.00905827984836056,40,0,0
pair5,5,LIRCMOP5_BC,15,125,215,225,0.25,0.00654347484688269,25.6,20,0.5,0.0211468642074835,0.0470154374012581,275,6,0
pair5,5,LIRCMOP6_BC,15,169,266.6,355,0.34,0.0088467779929854,18.8792203271842,20,0.325,0.0149877167138558,0.0193910977117427,262,18,0
pair5,5,LIRCMOP7_BC,15,230,375,425,0.46,0.0120399937182641,13.9130434782609,20,0.2,0.0344123956039321,0.0116360750758119,286,14,0
pair5,5,LIRCMOP8_BC,15,210,361.2,410,0.43,0.0109930377427629,14.8917748917749,20,0.3,0.029079311619745,0.0111304535251473,272,8,0
pair5,5,LIRCMOP9_BC,15,105,149.6,155,0.21,0.00549651887138146,30.4761904761905,20,0.3,0.00240665166164153,0.00517107186488769,300,0,0
pair5,5,LIRCMOP10_BC,15,155,208.8,225,0.31,0.00811390881013453,20.6451612903226,20,0.25,0.000954171699969625,0.00442604235483604,300,0,0
