problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,3,10000,10000,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE010000_region_boundary.png
LIRCMOP5_BC,3,30000,30150,137,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE030000_region_boundary.png
LIRCMOP5_BC,3,50000,50160,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE050000_region_boundary.png
LIRCMOP5_BC,3,70000,70170,311,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE070000_region_boundary.png
LIRCMOP5_BC,3,100000,100020,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE100000_region_boundary.png
LIRCMOP6_BC,3,10000,10160,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE010000_region_boundary.png
LIRCMOP6_BC,3,30000,30170,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE030000_region_boundary.png
LIRCMOP6_BC,3,50000,50180,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE050000_region_boundary.png
LIRCMOP6_BC,3,70000,70200,311,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE070000_region_boundary.png
LIRCMOP6_BC,3,100000,100200,449,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE100000_region_boundary.png
LIRCMOP7_BC,3,10000,10080,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE010000_region_boundary.png
LIRCMOP7_BC,3,30000,30090,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE030000_region_boundary.png
LIRCMOP7_BC,3,50000,50100,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE050000_region_boundary.png
LIRCMOP7_BC,3,70000,70110,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE070000_region_boundary.png
LIRCMOP7_BC,3,100000,100010,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE100000_region_boundary.png
LIRCMOP8_BC,3,10000,10090,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE010000_region_boundary.png
LIRCMOP8_BC,3,30000,30100,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE030000_region_boundary.png
LIRCMOP8_BC,3,50000,50110,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE050000_region_boundary.png
LIRCMOP8_BC,3,70000,70120,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE070000_region_boundary.png
LIRCMOP8_BC,3,100000,100020,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE100000_region_boundary.png
LIRCMOP9_BC,3,10000,10100,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE010000_region_boundary.png
LIRCMOP9_BC,3,30000,30210,140,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE030000_region_boundary.png
LIRCMOP9_BC,3,50000,50100,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE050000_region_boundary.png
LIRCMOP9_BC,3,70000,70020,314,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE070000_region_boundary.png
LIRCMOP9_BC,3,100000,100090,445,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE100000_region_boundary.png
LIRCMOP10_BC,3,10000,10070,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE010000_region_boundary.png
LIRCMOP10_BC,3,30000,30220,139,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE030000_region_boundary.png
LIRCMOP10_BC,3,50000,50000,225,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE050000_region_boundary.png
LIRCMOP10_BC,3,70000,70010,312,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE070000_region_boundary.png
LIRCMOP10_BC,3,100000,100140,443,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/z_zero_sample/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE100000_region_boundary.png
