problem,target_FE,default_train_count,endpoint_train_count,default_condition_dim,endpoint_condition_dim,default_train_y_rec90,endpoint_train_y_rec90,endpoint_condition_mode,endpoint_boundaryTargetMode
LIRCMOP5_BC,10000,111,112,3,4,0.618040927384516,0.698901232291893,ref_y,feasible_endpoint
LIRCMOP5_BC,30000,39,45,3,4,0.673820956184403,0.987984884672886,ref_y,feasible_endpoint
LIRCMOP5_BC,50000,132,128,3,4,1.02091571502874,1.21490339240795,ref_y,feasible_endpoint
LIRCMOP5_BC,70000,59,81,3,4,0.690332869098691,0.88863413841812,ref_y,feasible_endpoint
LIRCMOP5_BC,100000,53,92,3,4,0.114421058046997,0.151477296537049,ref_y,feasible_endpoint
LIRCMOP6_BC,10000,51,38,3,4,3.06839722812857,1.55964491968026,ref_y,feasible_endpoint
LIRCMOP6_BC,30000,102,129,3,4,0.411231850203687,0.503423838823966,ref_y,feasible_endpoint
LIRCMOP6_BC,50000,177,198,3,4,1.11355662720074,0.912015508378285,ref_y,feasible_endpoint
LIRCMOP6_BC,70000,75,204,3,4,1.07395082110239,1.87301256402733,ref_y,feasible_endpoint
LIRCMOP6_BC,100000,87,99,3,4,1.10513483762201,0.59836224419872,ref_y,feasible_endpoint
LIRCMOP7_BC,10000,72,90,3,4,0.756213422105795,0.591703479219894,ref_y,feasible_endpoint
LIRCMOP7_BC,30000,120,121,3,4,0.25338808351307,0.624304572045747,ref_y,feasible_endpoint
LIRCMOP7_BC,50000,114,42,3,4,1.04673224595662,3.50406763990683,ref_y,feasible_endpoint
LIRCMOP7_BC,70000,117,183,3,4,1.06636319372544,0.907074571848891,ref_y,feasible_endpoint
LIRCMOP7_BC,100000,143,195,3,4,0.54033141038357,1.28156948878044,ref_y,feasible_endpoint
LIRCMOP8_BC,10000,51,124,3,4,1.11054067036352,1.45315089471441,ref_y,feasible_endpoint
LIRCMOP8_BC,30000,45,168,3,4,1.39846029867793,1.23358906730628,ref_y,feasible_endpoint
LIRCMOP8_BC,50000,126,168,3,4,0.758782668431851,0.652930976368761,ref_y,feasible_endpoint
LIRCMOP8_BC,70000,216,165,3,4,0.459738069876204,0.628652077144052,ref_y,feasible_endpoint
LIRCMOP8_BC,100000,246,206,3,4,0.866017486219569,0.831799707762489,ref_y,feasible_endpoint
LIRCMOP9_BC,10000,36,60,3,4,0.461116229531827,3.80340603928706,ref_y,feasible_endpoint
LIRCMOP9_BC,30000,61,39,3,4,0.0464713473252779,0.470215116969874,ref_y,feasible_endpoint
LIRCMOP9_BC,50000,72,39,3,4,0.029707736360105,0.480445630416348,ref_y,feasible_endpoint
LIRCMOP9_BC,70000,51,60,3,4,0.181380933039991,0.353407825358276,ref_y,feasible_endpoint
LIRCMOP9_BC,100000,90,75,3,4,0.250868352021244,0.297404563339625,ref_y,feasible_endpoint
LIRCMOP10_BC,10000,27,36,3,4,1.29109163525773,2.88216895331242,ref_y,feasible_endpoint
LIRCMOP10_BC,30000,75,87,3,4,0.226249124464956,0.248772216539114,ref_y,feasible_endpoint
LIRCMOP10_BC,50000,94,111,3,4,0.190288710078618,0.0705070296288153,ref_y,feasible_endpoint
LIRCMOP10_BC,70000,111,114,3,4,0.105909280961196,0.0613934448277927,ref_y,feasible_endpoint
LIRCMOP10_BC,100000,120,138,3,4,0.0701188434055393,0.0534821278280202,ref_y,feasible_endpoint
