problem,snapshot_run,gan_seed,variant,variant_description,condition_mode,snapshot_file,train_count,query_count,condition_dim,D,advWeight,reconstructionWeight,pairMarginWeight,useMismatchD,runtime,status,error_message,train_x_rec50,train_x_rec90,train_y_rec50,train_y_rec90,query_y_err50,query_y_err90,boundary_dist50,boundary_dist90,pair_violation_rate,pair_margin50,pair_margin90,side_rate,feasible_rate,segment_width90,coverage_by_ref,outlier_rate,collapse_rate,z_sensitivity
LIRCMOP5_BC,1,2,V3_Adv_Pair,"Adversarial plus pair-margin",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,1,0,1,1,3.44984745833333,ok,,1.69692960651028,2.04196464187083,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0600437948118033,-0.0319206763854851,0,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,3,V3_Adv_Pair,"Adversarial plus pair-margin",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,1,0,1,1,3.57157391666667,ok,,1.63396962478171,2.03658385450359,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0654083753873622,-0.0367408547184673,0,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,1,V4_Full_current,"Adversarial plus Huber plus pair-margin",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,1,1,1,1,4.57052925,ok,,1.59677160973622,1.96009214112248,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0673218544531071,-0.037853692928584,0,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,2,V4_Full_current,"Adversarial plus Huber plus pair-margin",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,1,1,1,1,5.01367225,ok,,1.67070417317138,2.01860694431309,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.060482567067708,-0.0322328645517675,0,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,3,V4_Full_current,"Adversarial plus Huber plus pair-margin",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,1,1,1,1,6.70320220833333,ok,,1.61601056912182,2.02216649408352,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0657926964810733,-0.0369340674197418,0,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,1,V5_Huber_Pair_no_adv,"Huber plus pair-margin, no adversarial",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,0,1,1,0,1.621349375,ok,,1.69230692981206,2.13406338213533,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.053062711132008,-0.0256523266280519,0.05,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,2,V5_Huber_Pair_no_adv,"Huber plus pair-margin, no adversarial",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,0,1,1,0,1.71925441666667,ok,,1.64073915397495,2.1016385141553,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0534419852211447,-0.0252510390220544,0.05,1,0.0274161401006213,1,0,0,0
LIRCMOP5_BC,1,3,V5_Huber_Pair_no_adv,"Huber plus pair-margin, no adversarial",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP5_BC_run1_snapshot.mat,78,20,4,30,0,1,1,0,2.99591170833333,ok,,1.63885198291781,2.10918183286379,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0620267375775831,-0.0325875418401129,0,1,0.0274161401006213,1,0,0,0
LIRCMOP6_BC,1,1,V0_Pure_CGAN,"D real/fake, G adversarial only",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP6_BC_run1_snapshot.mat,69,20,4,30,1,0,0,0,4.32876795833333,ok,,1.50731422870572,1.6534024884533,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,0.000311486857055177,0.0118067361046434,0.5,1,0.0523993904496647,0.75,0,0,0
LIRCMOP6_BC,1,2,V0_Pure_CGAN,"D real/fake, G adversarial only",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP6_BC_run1_snapshot.mat,69,20,4,30,1,0,0,0,5.74761620833333,ok,,1.55316955524444,1.68711398252972,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,-0.000574395112170278,0.0175441417432645,0.5,1,0.0523993904496647,0.75,0,0,0
LIRCMOP6_BC,1,3,V0_Pure_CGAN,"D real/fake, G adversarial only",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP6_BC_run1_snapshot.mat,69,20,4,30,1,0,0,0,3.33425375,ok,,1.47271042270436,1.59124054763171,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,-0.00436147504592854,0.00703236886238623,0.4,1,0.0523993904496647,0.75,0,0,0
LIRCMOP6_BC,1,1,V1_CGAN_mismatchD,"D real/fake/mismatch, G adversarial only",ref_y,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/loss_ablation_lir_offline_20260623_155831/snapshots/LIRCMOP6_BC_run1_snapshot.mat,69,20,4,30,1,0,0,1,3.61969816666667,ok,,1.56978991340415,1.68378809985018,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,0.0012612686508503,0.0136211712564633,0.55,1,0.0523993904496647,0.75,0,0,0
