variant,problem,GroupCount,median_train_x_rec50,median_train_x_rec90,median_train_y_rec50,median_train_y_rec90,median_query_y_err50,median_query_y_err90,median_boundary_dist50,median_boundary_dist90,median_pair_violation_rate,median_pair_margin50,median_pair_margin90,median_side_rate,median_feasible_rate,median_segment_width90,median_coverage_by_ref,median_outlier_rate,median_collapse_rate,median_z_sensitivity
V0_Pure_CGAN,LIRCMOP10_BC,3,2.36204837963526,2.70357903324148,0.011581571186075,0.0176927028721069,0.0120622511754749,0.0127319221867261,0.0100833989214159,0.0100833989214159,1,0.0140893931714683,0.0234855816769546,1,1,0.0109482210917791,1,0,0,0
V0_Pure_CGAN,LIRCMOP5_BC,3,1.54077320247284,1.89732508233702,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.068610060493278,-0.0402486125887217,0,1,0.0274161401006213,1,0,0,0
V0_Pure_CGAN,LIRCMOP6_BC,3,1.50731422870572,1.6534024884533,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,-0.000574395112170278,0.0118067361046434,0.5,1,0.0523993904496647,0.75,0,0,0
V0_Pure_CGAN,LIRCMOP7_BC,3,1.55075337579211,2.48190420436358,0.043798191476494,0.0490487866666064,0.0490393794751668,0.0720861381864744,0.0377462029254217,0.0377462029254217,0.8,0.0157025683883169,0.180680496587812,0.75,1,0.0502107745201207,0.833333333333333,0,0.1,0
V0_Pure_CGAN,LIRCMOP8_BC,3,1.64158727223453,2.65377523522363,0.0427655685859877,0.0487214668910906,0.0484810232195962,0.049859153685982,0.0378335906180871,0.0378335906180871,0.85,-0.0704071636016755,0.0585515204014846,0.3,1,0.0496057344191204,0.923076923076923,0,0.25,0
V0_Pure_CGAN,LIRCMOP9_BC,3,2.51619747027203,2.67378875058786,0.0124104671514634,0.0281185273421172,0.0129665996700108,0.0138722417110595,0.0122046059787821,0.0122046059787821,1,0.00216793243993996,0.00671512759625958,0.75,1,0.012427992358462,1,0,0,0
V1_CGAN_mismatchD,LIRCMOP10_BC,3,2.3810322062311,2.73349510267665,0.011581571186075,0.0176927028721069,0.0120622511754749,0.0127319221867261,0.0100833989214159,0.0100833989214159,1,0.0139626983031333,0.0232523599701706,1,1,0.0109482210917791,1,0,0,0
V1_CGAN_mismatchD,LIRCMOP5_BC,3,1.60958630288864,1.99864583445518,0.0318600503573576,0.0536099626500399,0.0275256776643958,0.0288473569820904,0.0274161401006213,0.0274161401006213,1,-0.0664503192786832,-0.0374151050232228,0,1,0.0274161401006213,1,0,0,0
V1_CGAN_mismatchD,LIRCMOP6_BC,3,1.59679170117184,1.70177910020991,0.0345918842534,0.0526954712288086,0.0437072973917957,0.0524277598140356,0.0342806706827685,0.0342806706827685,0.95,-1.46529644283744e-05,0.0136211712564633,0.5,1,0.0523993904496647,0.75,0,0,0
V1_CGAN_mismatchD,LIRCMOP7_BC,3,1.64343510252679,2.47012381750846,0.043798191476494,0.0490487866666064,0.0490393794751668,0.0720861381864744,0.0377462029254217,0.0377462029254217,0.8,0.0125171106304753,0.175720138285314,0.75,1,0.0502107745201207,0.833333333333333,0,0.1,0
V1_CGAN_mismatchD,LIRCMOP8_BC,3,1.7245703109367,2.63259319532013,0.0427655685859877,0.0487214668910906,0.0484810232195962,0.049859153685982,0.0378335906180871,0.0378335906180871,0.85,-0.0726102435830231,0.056899302080563,0.3,1,0.0496057344191204,0.923076923076923,0,0.25,0
V1_CGAN_mismatchD,LIRCMOP9_BC,3,2.54193543786932,2.70058587310842,0.0124104671514634,0.0281185273421172,0.0129665996700108,0.0138722417110595,0.0122046059787821,0.0122046059787821,1,0.00217038708586492,0.0074185628264607,0.75,1,0.012427992358462,1,0,0,0
V2_Adv_Huber,LIRCMOP10_BC,3,2.36350640629479,2.71062939880299,0.011581571186075,0.0176927028721069,0.0120622511754749,0.0127319221867261,0.0100833989214159,0.0100833989214159,1,0.0139560570805957,0.0233316548788638,1,1,0.0109482210917791,1,0,0,0
