scope,name,family,problemCount,runCount,candidateCount_mean,candidateCount_median,selectedSeedCount_mean,selectedSeedCount_median,M1_mean,M1_median,M1_eligible_mean,M1_selected_mean,M2_mean,M2_median,M3_mean,M3_median,M3_downstream_mean,M4_mean,M4_median,M4_tight_mean,M4_recover_mean,M5_boundaryEce_mean,M5_boundaryEce_median,M5_boundaryGap_mean,M5_boundaryGap_median,M5_validRunCount,auditReadyRunCount,validUpdateCount_mean,auditReadyUpdateCount_mean,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
pooled,ALL_37_BC,ALL_BC,9,45,14312.2666666667,12561,4531.33333333333,4297,0.0395279105826219,0.0348513375100481,0.040714363751878,0.0288001967775327,0.979533622244054,0.997815401419989,0.0372727655905648,0,0.22270711639925,1,1,0.537236909317944,0.0285655624415488,0.340279139461859,0.366194974158918,0.3367859020424,0.361575451239523,44,44,684.888888888889,684.888888888889,boundarycore_beta,"BoundaryCore mainline with beta calibrator",beta,224.627456416667
pooled,ALL_37_BC,ALL_BC,9,45,14214.7333333333,12699,4528.62222222222,4297,0.018134306290479,0.0168384850834972,0.0181245011659949,0.00970034348398306,0.990361244284918,0.998111563044741,0.0389956001876709,0,0.228453212578087,1,1,0.434661995692152,0.0181657413666163,0.409303764128451,0.455875956719159,0.409198351291986,0.455875956719159,44,44,717.222222222222,717.222222222222,boundarycore_raw,"BoundaryCore mainline with raw calibrator",raw,172.14713575
pooled,ALL_37_BC,ALL_BC,9,45,14284.8888888889,12001,4381.13333333333,4041,0.0397440150435812,0.035151895871509,0.0417211807308769,0.0294435320302242,0.995042850147247,0.999217527386541,0.0335873689043545,0,0.424705634816467,1,1,0.488949130743762,0.00884825032967909,0.41355723573618,0.427698351942054,0.41355723573618,0.427698351942054,45,45,709.977777777778,709.977777777778,bridge_topk_1,"Bridge ablation with BridgeTopK = 1",beta,170.709496166667
pooled,ALL_37_BC,ALL_BC,9,45,14182.6444444444,13209,4438.8,4136,0.0467624494438591,0.0469825900888288,0.0478579085720738,0.0345884897303999,0.986856983915359,0.998122472559214,0.0358710834794183,0,0.256265735705221,1,1,0.537054624259846,0.0182000633839111,0.378632110083486,0.441628878074327,0.375487503050834,0.441628878074327,44,44,701.622222222222,701.622222222222,bridge_topk_3,"Bridge ablation with BridgeTopK = 3",beta,183.261025625
pooled,ALL_37_BC,ALL_BC,9,45,14478.4888888889,13507,4617.48888888889,4300,0.0402483069403822,0.0322847250885426,0.0410878925999176,0.0292036593925705,0.980356109751461,0.997171145685997,0.0508740055255713,0,0.222721657226099,1,1,0.545193714497496,0.0290038561045809,0.338265504126059,0.353692791613212,0.335593901620464,0.353692791613212,45,45,683.533333333333,683.533333333333,bridge_gap_0,"Bridge ablation with BridgeActivationGap = 0",beta,172.191544583333
pooled,ALL_37_BC,ALL_BC,9,45,14265.1333333333,12663,4524.68888888889,4217,0.0404746883625817,0.034674121202394,0.0413234652772269,0.0291652062623858,0.978339274469008,0.997122499314881,0.022779644141819,0,0.221515634838544,1,1,0.525709698604003,0.0279321924330274,0.332614067254255,0.360520851119286,0.328285516577131,0.360520851119286,40,40,673.088888888889,673.088888888889,bridge_gap_0p02,"Bridge ablation with BridgeActivationGap = 0.02",beta,184.560311291667
pooled,ALL_37_BC,ALL_BC,9,45,14433.3333333333,13436,4557.42222222222,4233,0.0485416619603889,0.0376233948983335,0.0503263191160477,0.0347682712513126,0.997964299572941,0.999425039528532,0,0,0.415249146422927,1,1,0.323022211665131,0.0360756881441567,0.449542384720534,0.481007774469626,0.448982967955001,0.481007774469626,44,44,693.777777777778,693.777777777778,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
pooled,ALL_37_BC,ALL_BC,9,45,14315.8,12561,4531.33333333333,4297,0.0394222532251408,0.0362371687705935,0.0406050265353174,0.0287340688655669,0.98032624129587,0.997815401419989,0.0373861367641341,0,0.222975360512995,1,1,0.53616678182398,0.0287632829188691,0.339997144834319,0.366194974158918,0.335898104265418,0.361575451239523,44,44,685.666666666667,685.666666666667,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
pooled,ALL_37_BC,ALL_BC,9,45,14349.1555555556,12772,4440.62222222222,4247,0.0404446756328492,0.040555153783401,0.0410661445794053,0.0292749852466847,0.972848453000096,0.990256653992395,0.160155958498802,0.0291931068806769,0.122012074339036,1,1,0.59133048398654,0.0599701634430591,0.283533178834945,0.261800167688766,0.279608722455082,0.259354778908281,44,44,627.333333333333,627.333333333333,boundarycore_no_trust,"Trust ablation: disable trust but force placement refine",beta,185.895081083333
pooled,ALL_37_BC,ALL_BC,9,45,14196,12939,4551.93333333333,4289,0.0415058956907528,0.0452511714847649,0.0407524282189503,0.0389739193314009,0.988417933942166,0.998321020819342,0.027111483817641,0,0.239039121860296,1,1,0.482595831120724,0.0150881203224902,0.365286412612247,0.422587173137651,0.363804886850748,0.422587173137651,44,44,701.866666666667,701.866666666667,selector_pareto_only,"Selector ablation: Pareto-only ordering",beta,176.017307625
pooled,ALL_37_BC,ALL_BC,9,45,14303.0222222222,12533,4531.66666666667,4297,0.0406409351717905,0.0362371687705935,0.042106313517245,0.0292934752675839,0.980485236210244,0.997917148808146,0.0349612067276505,0,0.232378175952079,1,1,0.537493512801197,0.0273976711166152,0.339177055037713,0.353245632186108,0.334725707339411,0.353245632186108,44,44,689.8,689.8,selector_boundary_only,"Selector ablation: boundary-only ordering",beta,178.409096958333
pooled,ALL_37_BC,ALL_BC,9,45,14266.2222222222,12402,4551.84444444444,4251,0.0427353276614917,0.0430279301215314,0.0422037123068204,0.040766939089544,0.985385424835117,0.99718666479111,0.0337777949313154,0,0.19232459268807,1,1,0.469095346638785,0.0203722462145262,0.340534050050467,0.361656963501943,0.338494782348755,0.361656963501943,43,43,696.533333333333,696.533333333333,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
pooled,ALL_37_BC,ALL_BC,9,45,14225.8,12284,4523.46666666667,4297,0.0402599211692186,0.0362371687705935,0.0414844372006542,0.0289467491570094,0.979772685942154,0.997618480590617,0,0,0.215532272815349,1,1,0.535819998217888,0.0296450368834191,0.338536403479493,0.361380246300067,0.332867038703775,0.353123725502069,42,42,679.044444444444,679.044444444444,feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,177.015360458333
