problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP2_BC,2,1,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,2,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,3,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,4,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,5,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,6,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,7,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP2_BC,2,8,4,1,0.04,4,0,0.0139605290008335,0.0270495854969713,4,17,3,0.000209391195100246,100,0.874760057143788,0.903256634772525,0,14,3,17,2,4.25,0.104688810901158,0.127590692148305,0,0.127701165373259,28.6028021849733,0.529411764705882,0.0134952123906112,0.5,0.105773030953368,0.127908169946306,0.117647058823529
DASCMOP2_BC,2,9,6,1,0.06,6,0,0.0175841715141514,0.0432534905389768,6,20,3,0.000314086792650369,100,0.711045772185361,1.07309118776903,0,18,2,20,3,3.33333333333333,0.0458450350339961,0.0573184233446702,0,0.0580986983591402,13.0260218232411,0.8,0.0290948209926568,0.666666666666667,0.0486132839845542,0.058532129845935,0.15
DASCMOP2_BC,2,10,8,1,0.08,8,0,0.0124333271700997,0.0163030887343736,8,20,3,0.000418782390200492,100,0.768984316589631,1.12282569653138,0,15,5,20,0,2.5,0.0161054613002074,0.0210080281950401,0,0.0224554749866197,7.75577521472048,1,0.0162974080480111,0,0.0168478900714973,0.0230944119750673,0
DASCMOP2_BC,2,11,9,1,0.09,9,0,0.00942726350253568,0.0130850363537164,9,19,3,0.000471130188975554,100,0.736370221178178,0.971125970606179,0,11,8,19,0,2.11111111111111,0.031794902452096,0.0339561944330451,0,0.0350678833716188,17.4967064935237,0.894736842105263,0.134845209899645,0,0.0328825140334751,0.0353533140062654,0
DASCMOP2_BC,2,12,10,1,0.1,10,0,0.00673891558372359,0.0178791434071679,10,18,3,0.000523477987750615,100,0.798688211458134,0.960443184225947,0,9,9,18,9,1.8,0.0806224070273087,0.105784079250491,0,0.10691590615121,67.1364655492319,1,0.0974526632961238,0.9,0.0826884339481364,0.107187975099463,0.5
DASCMOP2_BC,2,13,10,1,0.1,10,0,0.00778148876784088,0.0206351693890922,10,18,3,0.000523477987750615,100,0.798688211458134,0.960443184225947,0,9,9,18,17,1.8,0.0205056459658927,0.025771280257023,0,0.029524214703957,18.5393501743043,1,0.0817529957607112,1,0.0261826050431623,0.0301764964690791,0.944444444444444
DASCMOP2_BC,2,14,10,1,0.1,10,0,0.00673203731530452,0.0183799233456094,10,19,3,0.000523477987750615,100,0.674099405387128,0.960443184225947,0,10,9,19,0,1.9,0.51612300470544,0.549092501253454,0,0.550853742989025,345.901509608349,0.736842105263158,0.0514119385554332,0,0.518073387273298,0.551160214837752,0
DASCMOP2_BC,2,15,12,1,0.12,12,0,0.00273321680226688,0.0066765559199934,12,17,3,0.000628173585300738,100,0.677886564459473,0.939077611465482,0,6,11,17,2,1.41666666666667,0.0600196556609877,0.0668753718227757,0,0.067353712427276,55.0921111428497,0.588235294117647,0.0269132801676747,0.166666666666667,0.0610464103806017,0.0679787917830946,0.117647058823529
DASCMOP2_BC,2,16,9,1,0.09,9,0,0.0054895848408738,0.0100427513760259,9,16,3,0.000471130188975554,100,0.547834832639257,0.971125970606179,0,8,8,16,0,1.77777777777778,0.363207234608017,0.383403057372592,0,0.384485229210661,244.697234860302,0.0625,-0.0790164269643825,0,0.364853830429901,0.384712270744332,0
DASCMOP2_BC,2,17,11,1,0.11,11,0,0.00566859388319405,0.0108218987553718,11,16,3,0.000575825786525677,100,0.571983004669015,0.949760397845714,0,6,10,16,0,1.45454545454545,0.293543353497496,0.308265770880838,0,0.309195443522729,254.914692392794,0.5625,0.0202006686040239,0,0.295860361013169,0.309480177938034,0
DASCMOP2_BC,2,18,13,1,0.13,13,0,0.00549065017053815,0.013898704133682,13,17,3,0.0006805213840758,100,0.567133840814146,0.928394825085249,0,5,12,17,0,1.30769230769231,0.182305493183947,0.19491753696431,0,0.195544065360835,166.395356993777,0.588235294117647,0.0315564693595607,0,0.18314340034257,0.195907381881195,0
DASCMOP2_BC,2,19,11,1,0.11,11,0,0.00570115257526266,0.00959816161831882,11,16,3,0.000575825786525677,100,0.544868282811873,0.949760397845714,0,6,10,16,2,1.45454545454545,0.0916810750503796,0.107045134390911,0,0.107772602025075,91.7075164363555,0.75,0.0233476397300673,0.181818181818182,0.0939418027214973,0.108272711693454,0.125
DASCMOP2_BC,2,20,13,1,0.13,13,0,0.00590185343172874,0.00973431683669889,13,17,3,0.0006805213840758,100,0.567133840814146,1.00454186061186,0,5,12,17,0,1.30769230769231,0.14535806282609,0.162340605008428,0,0.166367776401654,141.568221441706,0.470588235294118,-0.0275457662032033,0,0.149647031513911,0.166673685667863,0
DASCMOP2_BC,2,21,11,1,0.11,11,0,0.00208065355747929,0.0036355660408692,11,17,3,0.000575825786525677,100,0.791043930391644,1.00687067449067,0,7,10,17,0,1.54545454545455,0.121052406262628,0.128426808274183,0,0.130935025244405,80.0573424460084,0.764705882352941,0.058535210251609,0,0.123518236733586,0.131238316943109,0
