problem,mode,stage,GroupCount,std_actualFE,std_IGD,std_HV,std_activePairs,std_eligiblePairs,std_archivePairs,std_p1Feasible,std_p2Feasible,std_gapMedian,std_trainingEvents,std_generatorUpdates,std_lastTrainingEndpointRMSE,std_selectedFeasibleRate,std_cumulativeGuided
LIRCMOP5_BC,cgan,FE010000,3,0,0.00320953212621825,0,10.0166528008778,13.6503968196288,13.6503968196288,0,11.0151410945722,0.0245219528860258,0,0,0.00746092154928204,0.0577350269189626,23.094010767585
LIRCMOP5_BC,cgan,FE030000,3,0,0.52450923520014,0.0908634354417514,30.6648550189518,193.479542415557,193.479542415557,0,13.4288247189891,0.0741281961728416,7.50555349946514,150.111069989303,0.00304439056760355,0.1,23.094010767585
LIRCMOP5_BC,cgan,FE050000,3,0,0.183141234203033,0.0831800425838079,7.76745346515403,41.8847625435949,41.8847625435949,0,33.4713808100791,0.061539909607507,59.9249530663145,1198.49906132629,0.00272088104998772,0.115470053837925,23.094010767585
LIRCMOP5_BC,cgan,FE070000,3,0,0.0590060335846261,0.0393328608285522,1.15470053837925,1.73205080756888,1.73205080756888,0,3.05505046330389,0.0460370874470338,86.2612311528186,1725.22462305637,0.00624370948948899,0.0288675134594813,23.094010767585
LIRCMOP5_BC,cgan,FE100000,3,0,0.0018792809624285,0.000701585222338678,1.52752523165195,7.09459888459759,7.09459888459759,0,4.04145188432738,0.0746941014520387,103.493961176486,2069.87922352972,0.0131182388563245,0.321455025366432,23.094010767585
LIRCMOP5_BC,cgan,first_true_use,3,230.94010767585,0.680324370832126,0,6.557438524302,8,8,0,8.50490054811538,0.17943625120076,0.577350269189626,11.5470053837925,0.0171133405580785,0.1,0
LIRCMOP5_BC,fallback_only,FE010000,3,0,0.0100164099560322,0,9,13.5030860670194,13.5030860670194,0,10.9696551146029,0.055330482083053,0,0,NaN,NaN,0
LIRCMOP5_BC,fallback_only,FE030000,3,0,0.588788133088607,0.132725608867664,30.6431068920891,189.410488973904,189.410488973904,0,28.360771028541,0.0371900731340675,0,0,NaN,NaN,0
LIRCMOP5_BC,fallback_only,FE050000,3,0,0.0709859665637169,0.0487376177332834,5.56776436283002,10.816653826392,10.816653826392,0,43.0929228528305,0.0571958785335306,0,0,NaN,NaN,0
LIRCMOP5_BC,fallback_only,FE070000,3,0,0.017588802350099,0.00588939261203899,1.15470053837925,5.03322295684717,5.03322295684717,0,9.8657657246325,0.101911683562529,0,0,NaN,NaN,0
LIRCMOP5_BC,fallback_only,FE100000,3,0,0.0121210534821173,0.00524632925904599,1,7,7,0,7.02376916856849,0.0221171545375955,0,0,NaN,NaN,0
LIRCMOP5_BC,fallback_only,first_true_use,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0
LIRCMOP5_BC,pair_only,FE010000,3,0,0.00858138546552499,0,5.56776436283002,36.85557397916,36.85557397916,0,19.6044212700435,0.0032761327648398,0,0,NaN,0.13228756555323,34.6987031457949
LIRCMOP5_BC,pair_only,FE030000,3,0,0.561515441300878,0.107708803005241,31.005375877956,267.320656391034,267.320656391034,0,15.0996688705415,0.0279370646493283,0,0,NaN,0.152752523165195,287.527389999631
LIRCMOP5_BC,pair_only,FE050000,3,0,0.572373423837946,0.119350232125227,15.5349069303081,233.025749650119,233.025749650119,0,38.6566078870525,0.0268120662502136,0,0,NaN,0.104083299973307,563.712692778866
LIRCMOP5_BC,pair_only,FE070000,3,0,0.00743005437162048,0.00288815758622683,1,185.426535317899,185.426535317899,0,6,0.0112728166892278,0,0,NaN,0.0833333333333335,583.808473159934
LIRCMOP5_BC,pair_only,FE100000,3,0,0.00122599614179895,0.00102371017520345,2.3094010767585,51.4328040586291,51.4328040586291,0,4.61880215351701,0.0237296709123542,0,0,NaN,0.353553390593274,344.400929150895
LIRCMOP5_BC,pair_only,first_true_use,3,305.505046330389,0.0588954175798649,0,0.577350269189626,1.15470053837925,1.15470053837925,0,1.73205080756888,0.0643576637332892,0,0,NaN,0,0
LIRCMOP6_BC,cgan,FE010000,3,0,0.00289895289506207,0,1.52752523165195,6.50640709864771,6.50640709864771,0,2.08166599946613,0.0560755442081325,7,140,0.0315173845164846,0.175594229214212,57.7350269189626
LIRCMOP6_BC,cgan,FE030000,3,0,0.607273407139067,0.0806605024484758,37.0045042303411,222.491198327784,222.491198327784,0,38.1881307912987,0.0401931798629924,43.3128156554154,866.256313108309,0.0127335493599864,0.0707106781186548,484.974226119286
LIRCMOP6_BC,cgan,FE050000,3,0,0.037094825533633,0.00471636179128152,1.15470053837925,0.577350269189626,0.577350269189626,0,16.0934769394311,0.0746814641138461,72.7461339178928,1454.92267835786,0.0202794135591278,0.144337567297406,819.837382249269
LIRCMOP6_BC,cgan,FE070000,3,0,0.00846177822579338,0.000894815137938777,7.37111479583199,12.7671453348037,12.7671453348037,0,3.46410161513775,0.144980768123711,87.848354186822,1756.96708373644,0.00643209869822831,0.340342964277702,819.837382249269
LIRCMOP6_BC,cgan,FE100000,3,0,0.000814555451773659,0.000380439214132613,1.73205080756888,3.46410161513775,3.46410161513775,0,0.577350269189626,0,91.215861193837,1824.31722387674,0.00609643817843456,0,790.274214012664
LIRCMOP6_BC,cgan,first_true_use,3,577.350269189626,0.0509365458527303,0,1.15470053837925,1.52752523165195,1.52752523165195,0,5,0.101978744881534,0,0,0.0107790540300253,0.144337567297406,0
LIRCMOP6_BC,fallback_only,FE010000,3,0,0.00608762140817881,0,2.64575131106459,3.60555127546399,3.60555127546399,0,14.047538337137,0.0993451189775971,0,0,NaN,NaN,0
LIRCMOP6_BC,fallback_only,FE030000,3,0,0.416215506039988,0.0689407970778945,12.5033328890074,82.6135582092915,82.6135582092915,0,39.8036849215413,0.0791492589184119,0,0,NaN,NaN,0
LIRCMOP6_BC,fallback_only,FE050000,3,0,0.0197597188964869,0.00825726273010271,3.05505046330389,5.56776436283002,5.56776436283002,0,8.14452781524708,0.0580305807250587,0,0,NaN,NaN,0
LIRCMOP6_BC,fallback_only,FE070000,3,0,0.00405462061319741,0.00206875153002288,7.50555349946513,13.5277492584687,13.5277492584687,0,4.93288286231625,0.0323771780031815,0,0,NaN,NaN,0
LIRCMOP6_BC,fallback_only,FE100000,3,0,0.00170104725958579,0.000954924518131338,1.73205080756888,4.04145188432738,4.04145188432738,0,0.577350269189626,0,0,0,NaN,NaN,0
LIRCMOP6_BC,fallback_only,first_true_use,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0
LIRCMOP6_BC,pair_only,FE010000,3,0,0.00346452587435184,0,10.5987420637231,57.4659319365251,57.4659319365251,0,11.8462370959446,0.0172495488288223,0,0,NaN,0.104083299973307,62.0107517559119
LIRCMOP6_BC,pair_only,FE030000,3,0,0.593204394535896,0.0726739897511863,40.5010287935175,270.739727413618,270.739727413618,0,22.5018517756502,0.00111945961066142,0,0,NaN,0.106066017177982,500.884550903033
LIRCMOP6_BC,pair_only,FE050000,3,0,0.152552628285049,0.0720713149729303,1.52752523165195,10.1488915650922,10.1488915650922,0,34.5976877840124,0.029225622522764,0,0,NaN,0,1226.58319462372
LIRCMOP6_BC,pair_only,FE070000,3,0,0.0143408809046176,0.00339694519908681,6.557438524302,177.733883470016,177.733883470016,0,4.61880215351701,0.00903191915208542,0,0,NaN,0,1806.20126231824
