problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10164,48,9,1,0.09,9,0,0.003198294183717,0.00661020532106622,9,8,3,0.000471130188975554,100,0.864850997187306,1.24542024781451,0,0,8,8,0,0.888888888888889,0.0390714728750695,0.0402646362762798,0,0.0403870677958933,18.3809816565692,0.75,0.0446340405505922,0,0.0397330130989356,0.0404136143408403,0
DASCMOP1_BC,1,30000,30136,142,21,1,0.21,21,0,0.00606661457964522,0.0165571246519958,21,20,3,0.00109930377427629,100,0.443567394687451,0.776259908158626,0,20,0,20,0,0.952380952380952,0.0689453550127246,0.0704258581528531,0,0.0765905084253845,19.6982480176793,0.35,-0.134441655738123,0,0.103886375288791,0.127951733990971,0
DASCMOP1_BC,1,50000,50156,233,27,1,0.27,27,0,0.00130831823671019,0.00405443854313789,27,20,3,0.00141339056692666,100,0.392729419269395,0.635075589740404,0,20,0,20,3,0.740740740740741,0.0237498672614785,0.0359969072536519,0,0.0359969072536519,11.3076045839077,0.45,-0.0105813277474017,0.148148148148148,0.0265862991126804,0.0363083398924614,0.15
DASCMOP1_BC,1,70000,70176,324,28,1,0.28,28,0,0.001296036080182,0.00474083006673644,28,20,3,0.00146573836570172,100,0.397145661163221,0.583942558793046,0,20,0,20,4,0.714285714285714,0.0673601060154812,0.139532488545021,0,0.139532488545021,46.7939433069013,0.65,0.0573946140287249,0.142857142857143,0.0681904213177594,0.140770075075418,0.2
DASCMOP1_BC,1,100000,100096,460,26,1,0.26,26,0,0.000739722524861852,0.00330218543950064,26,20,3,0.0013610427681516,100,0.487303996301129,0.678348247021739,0,20,0,20,1,0.769230769230769,0.0923680345434887,0.230670644487931,0,0.231423758329568,70.8937098765938,0.9,0.341939473530613,0.0769230769230769,0.0926194296333221,0.233272599157231,0.05
DASCMOP2_BC,1,10000,10048,46,15,1,0.15,15,0,0.00760384641140373,0.0146279445051772,15,16,3,0.000785216981625923,100,0.675541396068104,1.00113714472037,0,2,14,16,0,1.06666666666667,0.168129884801115,0.176308103051176,0,0.177009552500517,129.026780945773,0.75,0.104112254861435,0,0.169297839161354,0.177334231252083,0
DASCMOP2_BC,1,30000,30049,139,32,1,0.32,32,0,0.00770666298153694,0.0196609651282409,32,20,3,0.00167512956080197,100,0.515107324262617,0.866955199984836,0,13,7,20,11,0.625,0.0187586447261159,0.0584592304180923,0,0.0584592304180923,20.5121861858541,0.8,0.0299452138731188,0.25,0.0245254161658039,0.0610183422007922,0.55
DASCMOP2_BC,1,50000,50069,230,42,1,0.42,42,0,0.00277603181498451,0.00781285751851758,42,20,3,0.00219860754855258,76.1904761904762,0.717429899022186,0.965615719469644,0,6,14,20,12,0.476190476190476,0.00405512362427449,0.0438926883637782,0,0.0457088522701524,16.1339744163198,0.8,0.0659817129769753,0.404761904761905,0.0111597510273789,0.0459835411088205,0.6
DASCMOP2_BC,1,70000,70089,321,47,1,0.47,47,0,0.00257410456286653,0.00766844563280339,47,20,3,0.00246034654242789,68.0851063829787,0.639624051367455,0.934305689372354,0,3,17,20,9,0.425531914893617,0.0709927405290219,0.164845453381552,0,0.175713665371615,67.3591934099583,0.75,0.0400974081127436,0.340425531914894,0.0732044446019043,0.176499857337962,0.45
DASCMOP2_BC,1,100000,100009,457,47,1,0.47,47,0,0.00235305388194158,0.0104524414815238,47,20,3,0.00246034654242789,68.0851063829787,0.727004971960048,1.03944560948763,0,3,17,20,8,0.425531914893617,0.0224987795659953,0.063371734791745,0,0.0759844461441196,28.8277164056833,0.5,0.0105929089569274,0.340425531914894,0.0238794254756328,0.0767323118868169,0.4
DASCMOP4_BC,1,10000,10079,48,10,1,0.1,10,0,0.00322695251467739,0.00581331377972773,10,20,3,0.000523477987750615,100,0.046745696975109,0.256191556579565,0,20,0,20,0,2,2.21756817676061,2.36178785473066,0,2.36855443541377,370.474690178405,0.85,0.0100358240639092,0,2.22740836586009,2.37382044358773,0
DASCMOP4_BC,1,30000,30099,139,19,1,0.19,19,0,0.000149231392395202,0.000550127217930858,19,20,3,0.000994608176726169,100,0.00245004403515393,0.0635148581696295,0,20,0,20,0,1.05263157894737,1.10208155718229,2.45268146580313,0,2.45268146580313,2422.79506994715,0.55,0.00034423143965609,0,1.10672426149263,2.45340422959482,0
DASCMOP4_BC,1,50000,50119,230,23,1,0.23,23,0,0.000120813222295867,0.000591613230804847,23,20,3,0.00120399937182641,100,0.00215782280996387,0.00710696127123473,0,20,0,20,0,0.869565217391304,1.62506601750115,1.81734499395616,0,1.81992286213031,1690.15828771497,0.35,-0.000483651948627879,0,1.62576629091372,1.82136429118184,0
DASCMOP4_BC,1,70000,70139,321,21,1,0.21,21,0,0.000177496738429643,0.000541541804646877,21,20,3,0.00109930377427629,100,0.00203923772622755,0.0029300232336973,0,20,0,20,0,0.952380952380952,0.981310047575744,2.27126692499319,0,2.27126692499319,1744.30572283778,0.6,0.0008911497953598,0,0.987222404972733,2.27236799898903,0
DASCMOP4_BC,1,100000,100059,457,16,1,0.16,16,0,6.24402150017189e-05,0.00019724879897388,16,20,3,0.000837564780400984,100,0.00202585075043456,0.00351316451304679,0,20,0,20,0,1.25,0.64059194192172,0.93179607947921,0,0.93179607947921,530.796400223886,0,-0.000364328365792504,0,0.642015990812232,0.93333924100499,0
DASCMOP5_BC,1,10000,10000,49,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70193,346,30,1,0.3,30,0,0.000953846856144994,0.00245797664123514,30,20,3,0.00157043396325185,100,0.00756171763157599,0.139877521799528,0,20,0,20,0,0.666666666666667,1.31380312586691,1.96614941378097,0,1.97163277844646,1871.97314714297,0.5,3.7689138616355e-05,0,1.31870777434444,1.97195252881965,0
DASCMOP5_BC,1,100000,100113,482,29,1,0.29,29,0,0.000324476969299267,0.00147747862670149,29,20,3,0.00151808616447678,100,0.00894507143877871,0.139825563345574,0,20,0,20,0,0.689655172413793,1.33951418550222,1.63330485417884,0,1.63568529947918,1598.20859547789,0.45,-0.000207135746768922,0,1.34040971808683,1.63586745001323,0
LIRCMOP5_BC,1,10000,10099,48,33,1,0.33,33,0,0.00567896952615273,0.014654286525032,33,20,3,0.00172747735957703,96.969696969697,0.257426684408242,0.450293938758845,0,20,0,20,20,0.606060606060606,0.0296550131152819,0.0347584227118066,0,0.0605498991020215,34.4926387580997,0.15,-0.00606701088864559,0.0909090909090909,0.057786554028774,0.0677394341732003,1
LIRCMOP5_BC,1,30000,30119,139,27,1,0.27,27,0,0.00147197456033644,0.00545253276724959,27,20,3,0.00141339056692666,100,0.255429093728375,0.438226936785423,0,20,0,20,14,0.740740740740741,0.0239105153724048,0.038850141758674,0,0.0388505079931272,27.5650121857381,0.95,0.0447800453902749,0.111111111111111,0.0271716239553092,0.0421391339817356,0.7
LIRCMOP5_BC,1,50000,50139,230,47,1,0.47,47,0,0.00307589259489814,0.0104306840802073,47,20,3,0.00246034654242789,68.0851063829787,0.446079331132415,0.666988961356324,0,20,0,20,0,0.425531914893617,0.0042496914913116,0.00933510306002757,0,0.0223451742146946,27.6165196293928,0.85,0.0427594369197438,0,0.0226589298909441,0.0288111366588474,0
LIRCMOP5_BC,1,70000,70159,321,21,1,0.21,21,0,0.0024511167474726,0.00940628844706388,21,20,3,0.00109930377427629,100,0.473599128331887,0.65473154867793,0,20,0,20,11,0.952380952380952,0.0299107279746055,0.0507273788294209,0,0.0507273788294209,80.0505755983237,1,0.216488380999761,0.0952380952380952,0.043105083076502,0.0538880999898843,0.55
LIRCMOP5_BC,1,100000,100079,457,32,1,0.32,32,0,0.00583269678291972,0.014045838220083,32,20,3,0.00167512956080197,100,0.131593387372536,0.2406185802045,0,20,0,20,16,0.625,0.000817929881054867,0.00149315634674931,0,0.00175221362661462,3.99613838379324,1,0.194122401703227,0.0625,0.00286354016322008,0.00316117012703223,0.8
LIRCMOP6_BC,1,10000,10152,49,20,1,0.2,20,0,0.00644600225752737,0.0182230224728786,20,20,3,0.00104695597550123,100,0.36749076507318,0.461261212132377,0,17,3,20,20,1,0.0360375189482795,0.0404239490179469,0,0.0594858379466318,22.6608160581571,0.7,0.0236845762980264,0.8,0.0452049793331659,0.0609585486840925,1
LIRCMOP6_BC,1,30000,30172,140,45,1,0.45,45,0,0.0031431301762372,0.008955067465372,45,20,3,0.00235565094487777,71.1111111111111,0.339120109557833,0.464829688012177,0,20,0,20,20,0.444444444444444,0.0275695788042368,0.0347192278414713,0,0.0538542005997035,51.0100597203502,0.65,0.0231258137800451,0.444444444444444,0.0409824862616265,0.0539724534699009,1
LIRCMOP6_BC,1,50000,50192,231,67,1,0.67,67,0,0.00196386653979984,0.0051594187908349,67,20,3,0.00350730251792912,47.7611940298507,0.371469678183058,0.55953051464917,0,20,0,20,20,0.298507462686567,0.0426893595895692,0.0874245862038729,0,0.0895462434149303,104.510246062921,0.45,-0.00691239732801979,0.522388059701492,0.0443259338547268,0.0896181436637819,1
LIRCMOP6_BC,1,70000,70212,322,60,1,0.6,60,0,0.000573054591865833,0.00245603001421757,60,20,3,0.00314086792650369,53.3333333333333,0.375085627568205,0.797893305573816,0,20,0,20,1,0.333333333333333,0.0101753576981376,0.0179307255560867,0,0.0193170804841254,19.7773476938185,0.4,-0.005416810075169,0.0333333333333333,0.0109215695586617,0.0195679631242049,0.05
LIRCMOP6_BC,1,100000,100132,458,33,1,0.33,33,0,0.00334875127340657,0.01621859891026,33,20,3,0.00172747735957703,96.969696969697,0.134519339456189,0.708950137948192,0,20,0,20,8,0.606060606060606,0.0269154602808077,0.0377368192952089,0,0.0377368192952089,58.0941762368574,0.65,0.0148867721837882,0.121212121212121,0.0286481928861527,0.0452015500081138,0.4
LIRCMOP7_BC,1,10000,10109,47,24,1,0.24,24,0,0.00504495878268642,0.0111910046946743,24,20,3,0.00125634717060148,100,0.287935963767535,0.418002615540208,0,20,0,20,15,0.833333333333333,0.0111347053796596,0.0255111863999326,0,0.0255111863999326,13.129194222212,1,0.0294407363126329,0.125,0.015100072604327,0.0259577992362477,0.75
LIRCMOP7_BC,1,30000,30129,138,35,1,0.35,35,0,0.00124292793599361,0.00542122922903809,35,20,3,0.00183217295712715,91.4285714285714,0.209933824878059,0.339942770994343,0,20,0,20,13,0.571428571428571,0.0117241847917636,0.0255463936212561,0,0.0288124238782414,45.6112604832218,0.3,-0.000985929176979483,0.142857142857143,0.0187254981196034,0.0352916412185284,0.65
