problem,gens,train_active_rate,train_count_med,train_count_p90,train_count_max,ref_cov_med,ref_cov_max,reuse_med,reuse_p90,param_ratio_med,param_ratio_max,feasible_rate_med,boundary_dist90_med,segment_ratio_med,side_rate_med,pair_margin50_med,missing_ref_total,large_gap_total
DASCMOP1_BC,460,0.991304347826087,25,28.9,31,0.25,0.31,100,100,0.00130869496937654,0.00162278176202691,0.05,0.0511746794352465,16.9890873455405,0.555555555555556,0.0179119885869869,6900,996
DASCMOP2_BC,457,0.989059080962801,42,47,50,0.42,0.5,76.1904761904762,100,0.00219860754855258,0.00261738993875308,0.3,0.0750081801188125,33.2758082014514,0.65,0.034386260451165,2092,6317
DASCMOP4_BC,457,0.925601750547046,20,23,26,0.2,0.26,100,100,0.00104695597550123,0.0013610427681516,0,1.95553325294857,1656.74258815254,0.35,-0.000201863626011628,8356,103
DASCMOP5_BC,482,0.369294605809129,30,34.7,38,0.3,0.38,100,100,0.00157043396325185,0.00198921635345234,0,1.89392535511248,1935.40650284703,0.45,-0.000118217360131651,3506,7
LIRCMOP5_BC,457,0.927789934354486,35,52,59,0.35,0.59,91.4285714285714,100,0.00183217295712715,0.00308852012772863,0.45,0.0312825345121197,40.9992835571086,0.7,0.0175078309653988,8197,282
LIRCMOP6_BC,458,0.914847161572052,54,72,78,0.54,0.78,59.2592592592593,100,0.00282678113385332,0.0040831283044548,0.35,0.0269842423960866,33.5071035206494,0.6,0.0102796896083543,7759,573
LIRCMOP7_BC,456,0.953947368421053,51,75,85,0.51,0.85,62.7450980392157,100,0.00266973773752814,0.00444956289588023,0.2,0.0253655237874816,41.0727730458447,0.65,0.0152050821703416,8446,243
LIRCMOP8_BC,457,0.936542669584245,51,62,66,0.51,0.66,62.7450980392157,100,0.00266973773752814,0.00345495471915406,0.2,0.0281049982087346,47.7525975779987,0.7,0.0206297702535621,8281,254
LIRCMOP9_BC,457,0.962800875273523,16,24,31,0.16,0.31,100,100,0.000837564780400984,0.00162278176202691,0.5,0.0675686786143899,193.630530488311,0.75,0.00396564975553215,8253,172
LIRCMOP10_BC,456,0.960526315789474,34,45,50,0.34,0.5,94.1176470588235,100,0.00177982515835209,0.00261738993875308,0.45,0.000355060870341285,3.86345180085534,0.85,0.00586544538430346,8697,45
