variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_Segment_Dist50,mean_GAN_to_Segment_Dist90,mean_GAN_to_Decision_Segment_Dist50,mean_GAN_to_Decision_Segment_Dist90,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_PairCover_epsilon,mean_PairCoverEpsilon,mean_LargestClusterRate_epsilon,mean_EffectiveClusterCount_epsilon,mean_ClusterEpsilon,mean_RawGANOutsideStandardRangeCount,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,10000,3,1,56,56,0.095,0.0661524769117592,0.373333333333333,0,2.19112231490973,7.12151715964935,0.104289816876702,0.144766588631373,7.12320749991349,0.164483024691358,0.05,0.237592592592593,0.05,0.115,122.895199786696,0.05,42.3333333333333,0.191666666666667,NaN,3.05822557944849,2.21007709021516,7.12320749991349,0.11657022968644,0.114358662226663,0.152065794536784,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,30000,3,1,114.333333333333,114.333333333333,0.108333333333333,0.00456263229097243,0.506666666666667,0,0.730266621249373,1.71851732585127,0.0519249806122682,0.079813403931367,1.73246845393007,0.359713217385338,0.05,0.410297439029923,0.05,0.378333333333333,56.5077952359786,0.05,22.3333333333333,0.29,NaN,0.914871945409718,0.740502897080911,1.73246845393007,0.0610435390175845,0.0589077693606413,0.0862669242267219,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,50000,3,1,180,180,0.173333333333333,0.00581213118845035,0.583333333333333,0,0.0783778472690993,0.199074913808647,0.0352970271750916,0.0564555390279838,0.201046948449185,0.680337678597732,0.05,0.69860251878038,0.05,0.678333333333333,2.43282261000988,0.05,26,0.323333333333333,NaN,0.101257453242891,0.0813489024698926,0.201046948449185,0.0433867481943821,0.0410188017844343,0.0621339079631477,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,70000,3,1,211.666666666667,211.666666666667,0.151666666666667,0.00276769932912125,0.616666666666667,0,0.0545990393607456,0.155240594780716,0.0331462933677891,0.0475424150826733,0.163274894242736,0.670975656790352,0.05,0.674466058186513,0.05,0.8,1.6247953526366,0.05,14.3333333333333,0.336666666666667,NaN,0.0731417266541509,0.0563749350965278,0.163274894242736,0.0388950009139608,0.0374860483452962,0.0514302052899428,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,100000,3,1,231.333333333333,231.333333333333,0.0916666666666667,0.000742537298871831,0.65,0,0.0615915313311432,0.159859956728882,0.0305049375356916,0.0441840104300257,0.163154511203861,0.726815493874317,0.05,0.742996350055174,0.05,0.738333333333333,2.02535015448789,0.05,11.6666666666667,0.325,NaN,0.0829844909246015,0.0627299265778644,0.163154511203861,0.0357264249396234,0.0339903254134047,0.0471464930063128,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,10000,3,1,67,67,0.118333333333333,0.0770052725979782,0.463333333333333,0,4.71846080809873,10.1679532088997,0.0865381539162871,0.136270832679526,10.1679532088997,0.315796652022856,0.05,0.343026483284042,0.05,0.196666666666667,71.2980736640394,0.05,73.6666666666667,0.303333333333333,NaN,4.92591725231456,4.73235775230959,10.1679532088997,0.10164168000791,0.0958445738446199,0.141382969351777,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,30000,3,1,103,103,0.0833333333333333,0.00101129331622534,0.67,0,0.211041532943146,0.469946529022847,0.061550291442776,0.0894582645654986,0.477405897138624,0.67971922780847,0.05,0.74022587989522,0.05,0.365,8.97714596097073,0.05,45.6666666666667,0.266666666666667,NaN,0.251455250081225,0.217486012579248,0.477405897138624,0.0707418487201124,0.0694886915597964,0.100561485853266,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,50000,3,1,148.333333333333,148.333333333333,0.0766666666666667,0.000732912494859499,0.72,0,0.181738119807025,0.523638960650587,0.056159589810052,0.0838947840692466,0.527485089627314,0.614058966998836,0.05,0.642929427671309,0.05,0.225,18.4331356630064,0.05,48,0.325,NaN,0.250547431466846,0.186129333561377,0.527485089627314,0.0667523881387138,0.0653032124553457,0.0915118793812919,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,70000,3,1,178.666666666667,178.666666666667,0.118333333333333,0.000842427162461358,0.71,0,0.139022443384934,0.397308579373064,0.049605288047854,0.0707230624330193,0.400415524548913,0.680392173369701,0.05,0.704408886993157,0.05,0.298333333333333,10.7479100266089,0.05,46,0.371666666666667,NaN,0.182018656938606,0.144257629712607,0.400415524548913,0.0592715747362167,0.0573862100472611,0.0817936920290068,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,100000,3,1,209.333333333333,209.333333333333,0.0833333333333333,0.000184864272451055,0.723333333333333,0,0.139979742486476,0.356520626922365,0.0478747591790182,0.0689826159225358,0.361807706857458,0.668049994620795,0.05,0.687130179665443,0.05,0.278333333333333,12.5872186353382,0.05,50.6666666666667,0.341666666666667,NaN,0.169982655427504,0.144206760996097,0.361807706857458,0.0559745000775677,0.0538435068501852,0.0778639806016451,0
