variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,10000,10100,41,1,50,50,0.085,0.0211097224033565,0.37,0,1.97557418132615,7.62603245748937,0.107829535889694,0.153711196577006,7.62603245748937,0.06,0.05,0.06,0.05,0.015,170.940170940171,0.05,37,0.19,NaN,3.00266099266199,2.00151875051111,7.62603245748937,0.123376424304806,0.120736834181914,0.159954184054208,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,30000,30100,121,1,123,123,0.11,0.00275646690643957,0.71,0,0.139778499463264,0.287528351530124,0.0470130009143461,0.0813914862181178,0.29365037029536,0.471544715447154,0.05,0.504065040650406,0.05,0.265,9.41619585687382,0.05,47,0.265,NaN,0.160141851128556,0.150575235949808,0.29365037029536,0.0585414346509645,0.0542795037305911,0.085146980413896,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,50000,50100,201,1,186,186,0.125,0.00237858652796333,0.63,0,0.0702595772873468,0.205501828064417,0.0344151765050192,0.0496217235170986,0.205501828064417,0.709677419354839,0.05,0.709677419354839,0.05,0.535,3.07455803228286,0.05,16,0.335,NaN,0.107744246347595,0.0742522013295905,0.205501828064417,0.0412705001490644,0.0404493824336623,0.054553915950444,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,70000,70100,281,1,217,217,0.21,0.00243357785471816,0.6,0,0.0547351527606546,0.18388050359466,0.0354092072203597,0.0513501314895014,0.193358272149456,0.686635944700461,0.05,0.686635944700461,0.05,0.775,1.65002887550532,0.05,30,0.285,NaN,0.0782498005181024,0.0560409771402558,0.193358272149456,0.0418201090849952,0.0407933968904045,0.0563584677978014,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,100000,100100,401,1,231,231,0.095,0.000130044527490114,0.65,0,0.0659608648627546,0.172038079362333,0.0319286240091913,0.0457444345455701,0.174222961325646,0.74025974025974,0.05,0.753246753246753,0.05,0.76,1.71895143962183,0.05,26,0.26,NaN,0.0856312208238909,0.0685064689557938,0.174222961325646,0.0369917523522029,0.0360792325234123,0.0494581644366432,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,10000,10050,41,1,47,47,0.02,0.114042626763147,0.23,0,13.6800612366826,28.5930191588294,0.114465931783441,0.161155170759294,28.5930191588294,0.0212765957446809,0.05,0.0638297872340425,0.05,0.01,185.185185185185,0.05,122,0.155,NaN,14.0035931322585,13.6920254276195,28.5930191588294,0.128388262086837,0.125626036908914,0.162752844720722,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,30000,30050,121,1,67,67,0.06,0.000367027119860949,0.5,0,0.304098038222482,0.587697513094374,0.0684084856591223,0.103717132891349,0.603001150695365,0.805970149253731,0.05,0.805970149253731,0.05,0.545,3.27278677794142,0.05,6,0.24,NaN,0.348212947350312,0.311701738414837,0.603001150695365,0.0782982895101793,0.0738433595866992,0.107297273765827,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,50000,50050,201,1,134,134,0.06,0.000625085986432977,0.72,0,0.176102109980538,0.528462817783685,0.0594349274469865,0.0880724294424339,0.528462817783685,0.619402985074627,0.05,0.686567164179104,0.05,0.085,34.5423143350604,0.05,22,0.38,NaN,0.257572244330378,0.181662575964577,0.528462817783685,0.0704638498389103,0.0688695980829663,0.0919816338418624,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,70000,70050,281,1,176,176,0.1,0.000170750375601118,0.73,0,0.160049406339545,0.439980822196467,0.0499686749089391,0.06868092134931,0.442829688026016,0.829545454545455,0.05,0.840909090909091,0.05,0.18,17.0940170940171,0.05,38,0.325,NaN,0.208799755805494,0.165616481515261,0.442829688026016,0.0614967453340948,0.0603657714465424,0.0809863364375512,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,100000,100050,401,1,210,210,0.06,3.98722405922359e-05,0.74,0,0.142920319594776,0.311655237601013,0.0507493289248643,0.0680536085955887,0.319720885298983,0.595238095238095,0.05,0.619047619047619,0.05,0.245,11.0253583241455,0.05,42,0.295,NaN,0.16388956455999,0.146741610124271,0.319720885298983,0.0597551433623692,0.0574056904133355,0.0783289798150327,0
