problem,run,target_FE,actual_FE,gen,bmem_count,chain_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,feasible_rate
DASCMOP4_BC,1,10000,10132,48,19,2,19,5,20,0,0.697346877413524,0.780962899770844,0.0534251230185626,0
DASCMOP4_BC,1,30000,30152,139,42,7,42,5,20,0,0.0423862583586926,0.0776667154531951,0.0055782990962967,0
DASCMOP4_BC,1,50000,50172,230,29,4,29,5,20,0,0.457184590806329,0.727047033736677,0.0192104894471879,0
DASCMOP4_BC,1,70000,70192,321,29,3,29,5,20,0,0.333822041457216,0.399376884334493,0.0319803555026784,0
DASCMOP4_BC,1,100000,100112,457,29,4,29,5,20,0,0.107745332942896,0.137466454207164,0.00809502526256682,0
