problem,seed,baseline,cganIGDAUC,baselineIGDAUC,IGDAUCImprovement,finalIGDImprovement,wallTimeRatio
LIRCMOP5_BC,1,fallback_only,0.785708746312171,0.70496894395128,-0.114529587513958,-0.164380035926471,10.959821986593
LIRCMOP5_BC,2,fallback_only,0.473097176816505,0.573323401358283,0.17481621071864,0.610463903740282,6.8496503960849
LIRCMOP5_BC,3,fallback_only,0.828419923944668,0.754200148176299,-0.0984085934586942,-0.190304841010657,20.4393705772455
LIRCMOP5_BC,1,pair_only,0.785708746312171,0.70705284852411,-0.111244722303637,-0.321372645727455,6.85656261342831
LIRCMOP5_BC,2,pair_only,0.473097176816505,0.445715044152234,-0.0614341674653444,0.0369797094111942,4.25215673293507
LIRCMOP5_BC,3,pair_only,0.828419923944668,0.815332515410561,-0.016051621009517,0.0443687641945783,12.6515871400526
LIRCMOP6_BC,1,fallback_only,0.703685413416818,0.735177716252443,0.0428363130974046,-0.160204333327331,9.20498859488057
LIRCMOP6_BC,2,fallback_only,0.509587177867911,0.504912523666127,-0.00925834472839327,-0.269772198726632,8.64071881220735
LIRCMOP6_BC,3,fallback_only,0.74000773529408,0.593005687747054,-0.247893149398812,-0.0631133074504449,10.8462985569192
LIRCMOP6_BC,1,pair_only,0.703685413416818,0.697294043904954,-0.00916596028279745,0.276493625813702,5.81837774834602
LIRCMOP6_BC,2,pair_only,0.509587177867911,0.525351234560772,0.0300066996245666,-0.264071531400415,4.48623165133163
LIRCMOP6_BC,3,pair_only,0.74000773529408,0.86044792225046,0.139973825076333,-0.086556307588001,10.0651770998995
LIRCMOP7_BC,1,fallback_only,0.339765295375423,0.334686332647483,-0.0151752917060081,0.0879097017706228,13.5949404616968
LIRCMOP7_BC,2,fallback_only,0.297406023623658,0.302251607683489,0.0160316237752016,0.0369464454741959,23.142506916383
LIRCMOP7_BC,3,fallback_only,0.281523745825501,0.357443409419728,0.21239631671339,0.0282763640650698,10.7140884271605
LIRCMOP7_BC,1,pair_only,0.339765295375423,0.330024341885637,-0.029515863690933,-0.129571143790608,9.57610010601849
LIRCMOP7_BC,2,pair_only,0.297406023623658,0.281022450647638,-0.0582998722638091,-0.337239306402962,9.46095044661742
LIRCMOP7_BC,3,pair_only,0.281523745825501,0.309255315521062,0.0896720874428178,-0.243631881630255,18.9582136174376
LIRCMOP8_BC,1,fallback_only,0.418140358508731,0.438736669593843,0.0469445854712328,0.0897749608916097,16.1055792412616
LIRCMOP8_BC,2,fallback_only,0.377171633873616,0.434238325242293,0.131417905908779,-0.0474869425496828,13.5623784886245
LIRCMOP8_BC,3,fallback_only,0.486939531008091,0.493459878614016,0.013213531410575,-0.0621552251450652,5.12669069654966
LIRCMOP8_BC,1,pair_only,0.418140358508731,0.380892332714801,-0.0977914822502332,-0.128294195408502,9.83556021945245
LIRCMOP8_BC,2,pair_only,0.377171633873616,0.410603950912593,0.0814222974831881,-0.215157714286543,9.00248442520278
LIRCMOP8_BC,3,pair_only,0.486939531008091,0.437248692982576,-0.113644337474314,-0.230663350945409,3.70991712944417
