problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
DASCMOP4_BC,2,true_train,0,NaN,NaN,NaN,26,0,0,0,1
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,1,26,0.00502602990539418,0.0991913037214721,0.129937697667019,0
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,2,26,0.00483783653670761,0.0848665867272575,0.133964355455707,0
DASCMOP4_BC,2,perturb,0.005,NaN,NaN,3,26,0.00507773781054449,0.101775775840314,0.126527241087198,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,1,26,0.0103494040159525,0.350642654388075,0.518448550584756,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,2,26,0.00975944510168105,0.328388902731961,0.435931282717715,0
DASCMOP4_BC,2,perturb,0.01,NaN,NaN,3,26,0.0101491486243575,0.365302070808021,0.4820700852953,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,1,26,0.0191287854712376,1.0303025977661,1.29508084985362,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,2,26,0.0200349612578315,1.03694040303035,1.42721478842089,0
DASCMOP4_BC,2,perturb,0.02,NaN,NaN,3,26,0.0200160633495269,1.04057748684378,1.34603357685014,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,1,26,0.0521851095929194,1.82627457972876,2.22876382191394,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,2,26,0.0499944541070954,2.03515780872208,2.33791882056492,0
DASCMOP4_BC,2,perturb,0.05,NaN,NaN,3,26,0.0500003812521755,1.90081188929403,2.31403916440668,0
DASCMOP4_BC,2,overfit,0,100,100,1,26,0.0805298067705899,0.785292468492093,0.795166614857757,0
DASCMOP4_BC,2,overfit,0,100,500,2,26,0.0751455096913454,0.638647466793063,0.64833851721372,0
DASCMOP4_BC,2,overfit,0,300,100,3,26,0.0854195124968099,0.365683126387799,0.369001755064687,0
DASCMOP4_BC,2,overfit,0,300,500,4,26,0.0763575399323354,0.813258826572899,0.81512371659888,0
DASCMOP4_BC,2,overfit,0,1000,100,5,26,0.0770152028654226,0.383280102028134,0.421888626243177,0
DASCMOP4_BC,2,overfit,0,1000,500,6,26,0.0754096446042644,0.36127528339217,0.828669664528961,0
