problem,sigma,armCount,decisionWithinRefRMSMedian,objectiveWithinRefRMSMedian,decisionWithinRefRatioMedian,objectiveWithinRefRatioMedian,rawBoundaryMarginMedian,rawInfeasibleRateMedian,candidateValidRateMedian,referenceMatchRateMedian,uniqueRateMedian,assignedCoverageMedian,entropyMedian,fullQuotaRate,guidedCountMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedUsefulPerQuotaMedian
LIRCMOP5_BC,1,2,0.517450959325483,0.360143394638421,0.905332567228403,0.944325039623793,1.51846624712777,0.116,0.993,0.025,1,0.6,0.735800363355282,1,20,0.8,0.792428939416298,0.025
LIRCMOP5_BC,0.5,2,0.314607900375158,0.16273665697671,0.789983866071211,0.853293868856724,0.186199382124515,0.283,1,0.026,1,0.62,0.741973391653205,1,20,0.7,0.451042095479666,0.05
LIRCMOP7_BC,1,2,0.849395303771699,0.406585189739466,0.969234964843219,0.979816015300335,5.30481524864983,0.054,0.883,0.03,1,0.7,0.848895277975113,1,20,0.75,0.527602565364792,0
LIRCMOP7_BC,0.5,2,0.521806041854032,0.198129627337218,0.941862867232075,0.967884975905598,0.495488369476714,0.248,0.983,0.024,1,0.68,0.864005375772565,1,20,0.525,0.425241413407602,0.05
LIRCMOP8_BC,1,2,0.547446509232358,0.258430450140593,0.968488906708968,0.981441282361109,1.26079334980884,0.109,0.995,0.017,1,0.66,0.833005437082331,1,20,0.85,0.803547134311436,0.05
LIRCMOP8_BC,0.5,2,0.334231618962843,0.141324879095324,0.94265679187991,0.974683124494642,0.176005045930363,0.301,1,0.02,1,0.58,0.814949298751613,1,20,0.65,0.327032179415609,0.05
LIRCMOP10_BC,1,2,1.36734954967943,2.60218382692373,0.904654622002949,0.952163224383518,4.34235169072524,0.07,0.793,0.051,1,0.92,0.916476752985128,1,20,0.975,2.53855136473045,0
LIRCMOP10_BC,0.5,2,0.962497132849227,1.9694679367859,0.760139032019519,0.876812266392197,4.36641899278343,0.069,0.789,0.04,1,0.87,0.872943364227378,1,20,1,2.43766315917798,0
LIRCMOP12_BC,1,2,0.870038726123938,3.54509608379427,0.793317678622252,0.930531311141297,14.293915110419,0,0.29,0.018,1,0.78,0.797944278451659,1,20,0.975,3.4527967300059,0
LIRCMOP12_BC,0.5,2,0.525973993227702,1.85032001284865,0.556409708215188,0.781320275045369,12.8146449522366,0,0.304,0.012,1,0.47,0.691271987541838,1,20,1,3.79694143237221,0
LIRCMOP14_BC,1,2,0.606351274120059,0.886959539057901,0.909508145532833,0.910098664418224,526.341882435807,0.082,0.981,0.043,1,0.844444444444444,0.883894949006979,1,20,1,99.0063968110083,0.025
LIRCMOP14_BC,0.5,2,0.34398428228594,0.32920473747225,0.766507744861437,0.758786116571644,19.982057231386,0.344,1,0.045,1,0.655555555555556,0.77683066257657,1,20,0.65,7.01816832816814,0.025
