problem,run,poolFE,useFE,decisionThicknessRatio,objectiveThicknessRatio,decisionWithinRatioDelta,objectiveWithinRatioDelta,rawBoundaryMarginRatio,rawInfeasibleRateDelta,candidateValidRateDelta,referenceMatchRateDelta,uniqueRateDelta,assignedCoverageDelta,entropyDelta,guidedCountDelta,guidedFeasibleRateDelta,guidedBoundaryMarginRatio,guidedUsefulPerQuotaDelta,pairedRawDecisionRMS,pairedRawObjectiveRMS
LIRCMOP5_BC,1,3400,3500,0.560491958148567,0.416075209994294,-0.0976360805717409,-0.143253512009954,0.12533472407529,0.174,0.012,0.01,0,-0.0399999999999999,-0.023259668915159,0,-0.1,0.339884491819838,0.05,0.269856108740637,0.274293088529918
LIRCMOP5_BC,2,4400,4500,0.648386937259391,0.479178668048509,-0.133061321742642,-0.0388088295241843,0.121503818568082,0.16,0.002,-0.008,0,0.08,0.0356057255110037,0,-0.1,0.602692163377001,0,0.291296535867483,0.373658144938884
LIRCMOP7_BC,1,2800,2900,0.60914300897094,0.489044665636218,-0.0282024712947223,-0.0105172934230872,0.0643895827313301,0.24,0.054,-0.004,0,-0.04,0.00790678640188358,0,-0.35,0.619720927381858,0,0.374067515093442,0.592031341154041
LIRCMOP7_BC,2,2800,2900,0.618396851424744,0.482445111008578,-0.0265417239275663,-0.0133447853663861,0.100464433426054,0.148,0.146,-0.008,0,0,0.0223134091930222,0,-0.1,0.826930315455392,0.1,0.414459438699036,0.187169502529877
LIRCMOP8_BC,1,3000,3100,0.633435268845785,0.732095822849742,-0.0239040128573814,-0.00895470543855792,0.272933777594611,0.112,0.00800000000000001,0.004,0,-0.1,-0.0183508289220436,0,-0.1,1.24230306614396,0.05,0.314195091960482,0.217741244564014
LIRCMOP8_BC,2,3400,3500,0.589866032082292,0.370065762582171,-0.027760216800734,-0.00456161029437596,0.0615951044218363,0.272,0.002,0.002,0,-0.0599999999999999,-0.0177614477393921,0,-0.3,0.106772398741109,-0.05,0.297387953067175,0.26895718066782
LIRCMOP10_BC,1,4000,4100,0.74063549214246,0.872838335544379,-0.120685989086385,-0.0249492781753621,1.0183206993731,-0.002,0.002,-0.016,0,-0.02,-0.00783401095238212,0,0.05,0.959570468580554,0,0.629378202675567,2.51617617161908
LIRCMOP10_BC,2,5000,5100,0.652419948966443,0.607315308799461,-0.168345190880475,-0.125752637807278,0.994865545735449,0,-0.01,-0.006,0,-0.08,-0.0792327665631173,0,0,0.970315579263909,0,0.478088686547709,1.62664111821366
LIRCMOP12_BC,1,6000,6100,0.616668988507714,0.550738838207774,-0.211526022104531,-0.12968952513722,0.874349015616762,0,-0.06,-0.012,0,-0.22,-0.105749151407237,0,0,1.06727683075045,0,0.430213379989155,1.92602199633715
LIRCMOP12_BC,2,8000,8100,0.5916143370317,0.497623231503793,-0.262289918709598,-0.168732547054638,0.919099238027388,0,0.088,0,0,-0.4,-0.107595430412404,0,0.05,1.12613347247607,0,0.505927885164612,2.35760996693501
LIRCMOP14_BC,1,3200,3300,0.571196683179515,0.378805222700216,-0.134115952857002,-0.124132882769613,0.0217979093144527,0.34,0.012,0.008,0,-0.222222222222222,-0.128155631427729,0,-0.5,0.0471796122219834,0,0.319918441377208,0.691936228788811
LIRCMOP14_BC,2,3600,3700,0.563482122569897,0.363412682317413,-0.15188484848579,-0.178492212923546,0.043978383557352,0.184,0.026,-0.004,0,-0.155555555555556,-0.0859729414330884,0,-0.2,0.117415891984211,0,0.333453884734636,0.758059712664143
