problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,10000,10208,46,42,1,0.14,42,0,0.00587091547796404,0.0211299441928949,42,20,3,0.00219860754855258,76.1904761904762,0.754488982225484,1.01608852643926,0,2,18,20,0,0.476190476190476,0.20064845604651,0.218006615185637,0,0.218704566777928,NaN,0.7,0.0637850506078116,0,0.200819094405407,0.218773430278789,0,400,42,484,484,186,298,82,14,96,14,6936,0,42,42,42,42,42,42,42,42,42,0,20
DASCMOP1_BC,1,30000,30106,137,75,1,0.25,75,0,0.00579373705649303,0.0112380657223283,75,20,3,0.00392608490812961,42.6666666666667,0.342449196012917,0.654878032406529,0,20,0,20,6,0.266666666666667,0.0749925108957404,0.132802504639167,0,0.132802504639167,NaN,0.5,0.000174948600741576,0.08,0.0783707617918537,0.133736040227978,0.3,400,75,550,550,212,338,113,25,100,25,5236,0,75,75,75,75,75,75,75,75,75,0,20
DASCMOP1_BC,1,50000,50126,228,87,1,0.29,87,0,0.00146969675382066,0.00444291600646505,87,20,3,0.00455425849343035,36.7816091954023,0.380612964661395,0.589973978258578,0,20,0,20,0,0.229885057471264,0.0260070651084057,0.0390602228889124,0,0.039987253967663,NaN,0.75,0.0451724218147118,0,0.033618692937301,0.0440686500213709,0,400,81,562,562,212,350,179,31,100,31,8110,0,93,93,93,93,87,87,87,87,87,0,20
DASCMOP1_BC,1,70000,70146,319,86,1,0.29,86,0,0.00118750699484872,0.00404153126677231,86,20,3,0.00450191069465529,37.2093023255814,0.398015238420372,0.534336369955798,0,20,0,20,5,0.232558139534884,0.077373534120563,0.174555139072819,0,0.174555139072819,NaN,0.05,-0.063706984566175,0.137931034482759,0.0788497452489269,0.176216477350768,0.25,400,90,580,580,228,352,190,31,100,31,9211,0,93,93,93,93,86,86,86,86,86,0,20
DASCMOP1_BC,1,100000,100066,455,78,1,0.26,78,0,0.000772309179206952,0.00302140841123127,78,20,3,0.0040831283044548,41.025641025641,0.340771123402859,0.515568606057661,0,20,0,20,0,0.256410256410256,0.0162632465440323,0.0277695019739494,0,0.0299611515099498,NaN,0,-0.0197197083881128,0,0.0244755935580556,0.0337790586101477,0,400,78,556,556,215,341,176,31,100,31,8186,0,93,93,93,93,78,78,78,78,78,0,20
DASCMOP2_BC,1,10000,10214,46,36,1,0.12,36,0,0.00218034202815819,0.00723896441689996,36,20,3,0.00188452075590221,88.8888888888889,0.571112450302329,0.912435400883131,0,0,20,20,18,0.555555555555556,0.0228681409309067,0.025172528249712,0,0.028844887053725,NaN,0.75,0.0482260356282624,1,0.0255135855026426,0.0290389686625844,0.9,400,33,466,466,187,279,56,14,92,14,4641,0,42,42,42,42,36,36,36,36,36,0,20
DASCMOP2_BC,1,30000,30014,136,42,1,0.14,42,0,0.00134854111275155,0.0255667623995978,42,20,3,0.00219860754855258,76.1904761904762,0.277181431836096,0.942678897013085,0,17,3,20,8,0.476190476190476,0.0271662138337039,0.0601340647648066,0,0.0601340647648066,NaN,0.55,0.0237043357016136,0.214285714285714,0.0295872142208741,0.0610274912057502,0.4,400,34,468,468,183,285,134,20,100,20,9349,10,60,60,60,60,42,42,42,42,42,0,20
DASCMOP2_BC,1,50000,50034,227,114,1,0.38,114,0,0.0035757902045684,0.011871895551348,114,20,3,0.00596764906035701,28.0701754385965,0.711334208993608,1.02206151907288,0,8,12,20,9,0.175438596491228,0.0115514979689338,0.0220747449683597,0,0.037936116594233,NaN,0.7,0.139039191329865,0.368421052631579,0.0187806984782987,0.0480905269483929,0.45,400,117,634,634,256,378,221,40,100,40,11627,0,120,120,120,120,114,114,114,114,114,0,20
DASCMOP2_BC,1,70000,70054,318,126,1,0.42,126,0,0.00207837849988109,0.0099054056080604,126,20,3,0.00659582264565775,25.3968253968254,0.767532597466323,1.03064366230528,0,7,13,20,4,0.158730158730159,0.205952835983211,0.26619948111745,0,0.282320328595924,NaN,0.5,-0.00295347045005578,0.142857142857143,0.216935173973478,0.282923998794143,0.2,400,129,658,658,271,387,231,48,100,48,11758,0,144,144,144,144,126,126,126,126,126,0,20
DASCMOP2_BC,1,100000,100194,455,132,1,0.44,132,0,0.00143347095534009,0.00615613729443907,132,20,3,0.00690990943830812,24.2424242424242,0.754115018373836,1.04993393764007,0,6,14,20,5,0.151515151515152,0.233103431781831,1.39370426755409,0,1.40166051985787,NaN,0.75,0.127699528465197,0.181818181818182,0.239533264136791,1.40315966557447,0.25,400,138,676,676,280,396,238,50,100,50,11650,0,150,150,150,150,132,132,132,132,132,0,20
