problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,26294,22270,19440,7038,7038,230,6808,911,0.0595254260333881,0.0630100356869905,0.0380171297816794,0.96874111963626,0,1,0.0434782608695652,0.561251468860165,0.0583137485311398,0.237261477091325,0.167596994597734,1,1,100,898,864,864,0.253258168568585,0.240267683864347,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP1_BC,DASCMOP_BC,2,1002,24525,21283,19001,6998,6998,216,6782,918,0.0644428551557644,0.0678376301401418,0.0411465461508823,0.970848813946842,0,1,0.0555555555555556,0.67826599823061,0.0507225007372457,0.180959242512507,0.180959242512507,1,1,99,916,875,875,0.257648671748458,0.246707296511632,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP1_BC,DASCMOP_BC,3,1003,25571,21721,19300,7043,7043,165,6878,919,0.0662825059118549,0.0710561899156917,0.0410723869787556,0.978702257560699,0,1,0.0909090909090909,0.512939808083745,0.0613550450712416,0.166112281586227,0.166112281586227,1,1,99,919,887,887,0.253386504786572,0.235770964185848,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP1_BC,DASCMOP_BC,4,1004,26313,23033,19719,7188,7188,257,6931,919,0.0708426916000105,0.074122802979626,0.0433221532907346,0.965358931552588,0,1,0.0311284046692607,0.759197806954263,0.0639157408743327,0.187999307353885,0.187999307353885,1,1,95,862,845,845,0.239934092606216,0.220100367216392,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP1_BC,DASCMOP_BC,5,1005,25498,21284,19383,7152,7152,132,7020,916,0.0770169048342746,0.0838995973257538,0.0445742456827994,0.982941834451902,0,1,0.0757575757575758,0.556552706552706,0.0626780626780627,0.173995995557687,0.173995995557687,1,1,92,903,854,854,0.253923656428829,0.232885921249587,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP2_BC,DASCMOP_BC,1,1001,32293,29667,19673,7109,7109,574,6535,917,0.0393907905340033,0.0411982658694836,0.0143286885311665,0.921367280911521,0.0174216027874564,1,0.0261324041811847,0.522417750573833,0.142769701606733,0.109790678912442,0.0910057832857,1,1,99,716,712,712,0.209676986764406,0.202591118275583,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP2_BC,DASCMOP_BC,2,1002,32138,29254,20010,7216,7216,660,6556,917,0.0374511485687904,0.0387595302347515,0.0230955690316853,0.911308203991131,0.0136363636363636,1,0.0303030303030303,0.62385600976205,0.129652226967663,0.132776940113641,0.132776940113641,1,1,100,662,658,658,0.174161423060273,0.168530477106679,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP2_BC,DASCMOP_BC,3,1003,32523,29359,20354,7273,7273,717,6556,919,0.0335669001056075,0.0345491237799041,0.0213630893304478,0.905403547366974,0.00697350069735007,1,0.0404463040446304,0.646735814521049,0.110280658938377,0.149088788247456,0.149088788247456,1,1,100,699,695,695,0.186627892420234,0.180501712784853,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP2_BC,DASCMOP_BC,4,1004,33407,30544,20761,7284,7284,740,6544,916,0.0334012465297074,0.0345006141328446,0.019258072009651,0.901976935749588,0.0135135135135135,1,0.0351351351351351,0.65739608801956,0.136308068459658,0.153687689825517,0.141522177541682,1,1,100,650,646,646,0.156158318652732,0.146751880300369,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
DASCMOP2_BC,DASCMOP_BC,5,1005,32820,29611,20319,7244,7244,687,6557,915,0.0379189555075065,0.0393366251362337,0.0237204164121878,0.908061844284925,0.0174672489082969,1,0.0305676855895196,0.586091200244014,0.0867774897056581,0.185088941663949,0.185088941663949,1,1,100,760,756,756,0.184028146013052,0.168891033005017,0,0,0,beta,probe3_only,"Finder ablation: three probes only, no local refine",beta,181.488044583333
