problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,3,10000,10000,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE010000_region_boundary.png
LIRCMOP5_BC,3,30000,30184,137,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE030000_region_boundary.png
LIRCMOP5_BC,3,50000,50148,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE050000_region_boundary.png
LIRCMOP5_BC,3,70000,70046,315,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE070000_region_boundary.png
LIRCMOP5_BC,3,100000,100018,459,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE100000_region_boundary.png
LIRCMOP6_BC,3,10000,10156,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE010000_region_boundary.png
LIRCMOP6_BC,3,30000,30156,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE030000_region_boundary.png
LIRCMOP6_BC,3,50000,50078,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE050000_region_boundary.png
LIRCMOP6_BC,3,70000,70088,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE070000_region_boundary.png
LIRCMOP6_BC,3,100000,100062,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE100000_region_boundary.png
LIRCMOP7_BC,3,10000,10080,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE010000_region_boundary.png
LIRCMOP7_BC,3,30000,30070,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE030000_region_boundary.png
LIRCMOP7_BC,3,50000,50034,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE050000_region_boundary.png
LIRCMOP7_BC,3,70000,70044,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE070000_region_boundary.png
LIRCMOP7_BC,3,100000,100174,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE100000_region_boundary.png
LIRCMOP8_BC,3,10000,10090,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE010000_region_boundary.png
LIRCMOP8_BC,3,30000,30092,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE030000_region_boundary.png
LIRCMOP8_BC,3,50000,50136,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE050000_region_boundary.png
LIRCMOP8_BC,3,70000,70132,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE070000_region_boundary.png
LIRCMOP8_BC,3,100000,100032,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE100000_region_boundary.png
LIRCMOP9_BC,3,10000,10102,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE010000_region_boundary.png
LIRCMOP9_BC,3,30000,30118,145,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE030000_region_boundary.png
LIRCMOP9_BC,3,50000,50094,237,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/ablation_z_condition_wgan_20260627_195918/query_boundary_populated/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE050000_region_boundary.png
