addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm
1,0.850335310618813,0.853684659604163,0.00334934898534978,0.0132689522974327,0.0132689522974327,-0.000731557867882133,0.0415465849964849,1.16125896094107,0.700794507197708,1.16125896094107
2,0.853684659604163,0.862682746897251,0.00899808729308882,-0.296477476769547,-0.296477476769547,0.0045292424466051,0.0375294070445596,1.17931339220745,1.45198031167807,1.17931339220745
3,0.862682746897251,0.860323828071495,-0.00235891882575656,0.483688991112782,0.483688991112782,-0.00755150974998958,0.0379455396994633,1.30010365326407,1.00973630115561,1.30010365326407
4,0.860323828071495,0.862208867026001,0.00188503895450598,0.334361527164242,0.334361527164242,-0.0105054199217384,0.051325119444641,1.95199335139204,1.50095624895191,1.95199335139204
5,0.862208867026001,0.858976481832667,-0.0032323851933338,0.152515135623764,0.152515135623764,-0.00883993399101073,0.0499192768494165,1.66341515349246,1.71142541351523,1.66341515349246
20,0.840729618143891,0.854063353719707,0.0133337355758159,0.256312638253165,0.256312638253165,-0.0112777631332972,0.0564463257346734,2.43473544267894,2.40167242393243,2.43473544267894
40,0.938522051888506,0.91929420951386,-0.0192278423746458,0.579760804424495,0.579760804424495,-0.0242732377458919,0.0436423469168947,1.27414755697347,2.89421906361655,1.27414755697347
60,0.903654354670161,0.963025839343434,0.0593714846732735,-0.759870686229879,-0.759870686229879,0.0454802375680719,0.0572148447159785,2.87368577172932,2.11325745749311,2.87368577172932
80,0.884376929951452,0.871547623967589,-0.0128293059838627,0.726476557471617,0.726476557471617,-0.0160220998834025,0.034993351018399,1.19878591597043,1.99593434939082,1.19878591597043
100,0.871510061807915,0.887907695107246,0.0163976332993309,-0.262656991826668,-0.262656991826668,0.00561077140572106,0.0458752485357556,1.84186308798423,1.53293768312024,1.84186308798423
120,0.886106824980409,0.89044485303554,0.00433802805513162,-0.201838912773816,-0.201838912773816,0.00246132781301103,0.0364522882171884,0.909138382015404,1.73320703692316,0.909138382015404
140,0.870716865758502,0.874285580188706,0.00356871443020412,-0.135873722685432,-0.135873722685432,-0.00142412746741961,0.0440487094589208,1.33054289206423,1.49868988199811,1.33054289206423
160,0.868885620731375,0.907117933703792,0.0382323129724166,-0.774182891983979,-0.774182891983979,0.0252015719549133,0.0558993842073199,2.15023862524509,1.5539014321401,2.15023862524509
