addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm
1,0.487163580721623,0.49169667892886,0.00453309820723685,0.154897765983016,0.154897765983016,-0.0054124401814576,0.0489330775077528,1.21053837219588,0.892932706381139,1.21053837219588
2,0.49169667892886,0.486277772644672,-0.00541890628418856,0.622686904155699,0.622686904155699,-0.0133746848298162,0.0465222038451415,1.078957501361,0.904715891373685,1.078957501361
3,0.486277772644672,0.483603990705989,-0.0026737819386824,0.541980451334482,0.541980451334482,-0.0121302973901089,0.0499398328103304,1.42204046477648,0.83449926246456,1.42204046477648
4,0.483603990705989,0.482679742293967,-0.000924248412022544,0.32306953409233,0.32306953409233,-0.00425234806180098,0.0336978146434584,0.70579615323223,0.624216697125396,0.70579615323223
5,0.482679742293967,0.479719580548571,-0.00296016174539565,0.571093871086029,0.571093871086029,-0.011881832128519,0.047446162117907,1.19754359062004,0.84020578688888,1.19754359062004
20,0.474359942581767,0.472357868762056,-0.0020020738197114,0.417747296599995,0.417747296599995,-0.00767005144134343,0.0431402200992977,0.964810680574675,0.767068943952141,0.964810680574675
40,0.475953953986549,0.481735344655134,0.00578139066858513,0.124535462306867,0.124535462306867,-0.000808030776050627,0.0458936593613629,1.20089666096572,0.591124339295448,1.20089666096572
60,0.492481850217621,0.48952897862115,-0.0029528715964704,0.398605664184568,0.398605664184568,-0.00630620596662911,0.0344894480691726,0.775334940204075,0.796634287404925,0.775334940204075
80,0.482415502560193,0.484263579767519,0.00184807720732622,-0.00952569259197639,-0.00952569259197639,-0.00109672158515722,0.0352086980988107,0.875949829156234,0.685100812146615,0.875949829156234
100,0.476803653571592,0.485140110400103,0.00833645682851059,0.0920090078124176,0.0920090078124176,-0.0013561081400096,0.0533028120588936,1.31523693362552,0.808260333898154,1.31523693362552
120,0.481524358775821,0.480810123252878,-0.000714235522943141,0.385011187581973,0.385011187581973,-0.00577612747809784,0.0410382533632087,1.05923741159898,0.664367893006449,1.05923741159898
140,0.490400747916849,0.49241735044236,0.00201660252551106,0.157265488316047,0.157265488316047,-0.00419674790012177,0.0435849980744332,1.10248142107589,0.677462396803135,1.10248142107589
160,0.49435099073025,0.500203131553815,0.00585214082356555,0.328192131866884,0.328192131866884,-0.00690864818992149,0.0565137581234005,1.72387149312771,0.641785504603233,1.72387149312771
180,0.482292786536335,0.47485983760808,-0.00743294892825486,0.779306693899362,0.779306693899362,-0.0166295100073384,0.0500452167869537,1.3766238249192,0.827451220507298,1.3766238249192
200,0.480593249972104,0.484871354068781,0.00427810409667667,0.0858527800965375,0.0858527800965375,-0.00129945784514876,0.0425324085233777,1.00777822120827,0.715080838611376,1.00777822120827
220,0.49228336578547,0.487716445686849,-0.0045669200986212,0.653970793501112,0.653970793501112,-0.0108552066992286,0.0400078273529059,1.08101214974533,0.864994492984192,1.08101214974533
240,0.483755956697329,0.484282629950912,0.000526673253583465,0.224142559834576,0.224142559834576,-0.00273463554750443,0.0342654126883475,0.922817231861454,0.425433227780374,0.922817231861454
260,0.475170598757587,0.480309717586927,0.00513911882933943,0.0559594015306321,0.0559594015306321,-0.000668023679797641,0.0480548382716906,1.0844851626326,0.636261127055264,1.0844851626326
280,0.486270425602774,0.483608092287636,-0.00266233331513832,0.434215116964863,0.434215116964863,-0.00928752046354859,0.0456033469218454,1.1431429488457,1.03400237753725,1.1431429488457
300,0.490330273159606,0.484139237720307,-0.00619103543929889,0.566040309141749,0.566040309141749,-0.0133204804919785,0.047495322715676,1.03380180533509,0.921528466028066,1.03380180533509
320,0.477257332167951,0.472721005434397,-0.00453632673355397,0.70172969485709,0.70172969485709,-0.0127977168544493,0.0474464582416028,1.46533201311927,0.686710767165915,1.46533201311927
340,0.48719782225478,0.474320201896721,-0.0128776203580596,0.800114319475119,0.800114319475119,-0.0199501141345241,0.0469638889822871,1.24203453922755,0.83244767246005,1.24203453922755
360,0.479664442286304,0.479969410221647,0.000304967935343126,0.484739604048421,0.484739604048421,-0.00676178890458506,0.0419583811459175,1.29094266286943,0.8339561056631,1.29094266286943
380,0.487255862896787,0.488343796742928,0.0010879338461407,0.329249919589851,0.329249919589851,-0.00702941147037072,0.0456179733195399,1.4397204728655,0.648829173166264,1.4397204728655
400,0.477097065649631,0.475845202634122,-0.00125186301550895,0.455301323300293,0.455301323300293,-0.00899462833371001,0.0484510147061306,1.26186807912223,0.814058197767932,1.26186807912223
420,0.491050025791944,0.489309572231625,-0.00174045356031854,0.478518134518445,0.478518134518445,-0.00995548861610971,0.0492390324864539,1.28135894382596,0.769964195059772,1.28135894382596
440,0.479284385536105,0.475368641615882,-0.00391574392022315,0.388212155445787,0.388212155445787,-0.00740235001709428,0.034257756603939,0.873843217266901,0.708530538404007,0.873843217266901
460,0.475796275998089,0.481787523921583,0.00599124792349343,-0.0679646917968152,-0.0679646917968152,0.000373440612038545,0.0375983456604483,1.08384653703489,0.606680195018266,1.08384653703489
