addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm
1,0.501820460325642,0.453309347789828,-0.0485111125358147,0.265120192750515,0.943236132766642,-0.0515440229583021,0.0374723069177805,1.20298273273587,1.9063283662135,1.20298270075512
2,0.453309347789828,0.414443828150013,-0.0388655196398149,0.33026381535354,0.990202791921534,-0.0420820259744727,0.033181318106032,1.0811135469545,1.88392208800635,1.08111357312797
3,0.414443828150013,0.378341042684759,-0.0361027854652535,0.35626032024545,0.914519340528231,-0.0382704116716062,0.037239305081615,1.31814366596488,1.77487674900089,1.31814369695856
4,0.378341042684759,0.34415096473913,-0.0341900779456292,0.566801029949101,0.976220079289608,-0.0384658254121232,0.0394747222018243,1.22943167065384,1.41877695532142,1.22943165298016
5,0.34415096473913,0.314059721470995,-0.0300912432681353,0.574099308757033,0.964510900437979,-0.0324958602664983,0.038765163280047,1.209140644499,1.23613515599581,1.20914064876471
20,0.178728714656527,0.181713091185332,0.00298437652880471,0.31820639029065,0.957803528458167,-0.031759537449777,0.0362524595645995,1.07796933675972,1.58296168180773,1.07796934422042
40,0.145869563811131,0.132322460530021,-0.0135471032811099,0.460510562218693,0.991455321846445,-0.0729831545541241,0.0407260191482951,1.32517599735798,2.669699956318,1.32517595958895
60,0.133593950904355,0.128503997543852,-0.00508995336050325,0.0273082363879257,0.976958500691198,-0.0902894185223956,0.0625721576527026,2.28444713821129,2.21145818209642,2.2844470985002
80,0.126941575596019,0.103208905598621,-0.0237326699973977,0.094259065081566,0.990864493159675,-0.0754367462461342,0.0370332413998187,1.53332338690671,3.31392677018124,1.53332343243151
100,0.139417936818377,0.0990580179149628,-0.040359918903414,0.474557566393948,0.990255198568955,-0.0994535397420567,0.0556663735252345,1.77954801933222,2.58411119644926,1.77954804871771
120,0.0984750343329632,0.0935849330717323,-0.00489010126123093,-0.180592647215242,0.978894720004378,-0.0555710899973011,0.0292696084782788,1.06607807518967,2.98665764939601,1.06607805737878
140,0.107510505584245,0.115558087714937,0.00804758213069214,0.142114203931405,0.992015417753957,-0.0982886602230855,0.0485877093393566,1.47484089996354,3.24239774928075,1.47484091183902
160,0.112793097300572,0.111959666638124,-0.000833430662448079,0.41231802058796,0.989636362670765,-0.102363217044625,0.0513086088518531,1.71409017312336,3.3893818105492,1.71409015436462
180,0.114312738417398,0.102780284352079,-0.0115324540653191,0.41148649686019,0.99249237107151,-0.103388199349209,0.0491193191246149,1.63603595752785,3.47225232273717,1.63603595083951
200,0.106862026776899,0.0884427180016858,-0.0184193087752131,-0.126068972607679,0.992927078422132,-0.0770575033777952,0.0365725038972791,1.20076089263649,3.32734228422442,1.20076093200225
