addedUpdates,distanceBefore,distanceAfter,distanceChange,fullVsAdversarialCosine,fullVsUsedCosine,adamDirectionalDerivative,adamStepNorm,adversarialGradientNorm,distanceGradientNorm,usedGradientNorm
1,0.487163580721623,0.478120630079384,-0.00904295064223959,0.154897765983016,0.821935241332653,-0.0216335939977788,0.0536567887154328,1.21053837219588,0.892932706381139,1.21053834705082
2,0.478120630079384,0.469670938702702,-0.0084496913766815,0.0676013530009061,0.776624808386303,-0.0150215608215137,0.0569176764532574,1.3013264670017,0.576229920969139,1.30132644323524
3,0.469670938702702,0.467269205678274,-0.00240173302442859,0.00393002516183205,0.665047401153437,-0.0110974009865116,0.0550380355027577,1.20730679708775,0.472486490201679,1.207306764695
4,0.467269205678274,0.462953119640522,-0.00431608603775169,0.282451278390783,0.886421755872288,-0.0118159328863986,0.0413237496926567,0.918720075484662,0.507645331733335,0.918720077833862
5,0.462953119640522,0.462986674252992,3.35546124705099e-05,0.000421136071377837,0.37474212619567,-0.00424201764067151,0.0405842734599083,0.867276096886901,0.527577371642897,0.867276096280391
20,0.449768894862473,0.449310949945589,-0.000457944916883279,0.6092649936342,0.755015574328267,-0.00950274007013673,0.0478087009765556,1.25482971817581,0.66043571565204,1.25482973407884
40,0.443956236263104,0.443881248170794,-7.49880923106572e-05,-0.254007423596709,0.483909934014386,-0.00540090830635264,0.0480904375518688,1.16884845478654,0.431092368849481,1.16884844814524
60,0.43987579097309,0.444046350767667,0.00417055979457731,0.093325411176572,0.593235943618583,-0.00774286115667546,0.04715536343484,1.54166505317528,0.433421643462197,1.5416650386281
80,0.441807117335144,0.438102928838933,-0.0037041884962104,0.470264220063445,0.779479125606092,-0.00952620664475774,0.0367980494950956,1.24825193599223,0.618582558715944,1.24825189618409
100,0.437225967016995,0.436426526474305,-0.000799440542689656,0.374327494627787,0.60590097632717,-0.00608446814325859,0.0367913742655823,1.13374932833989,0.714739972736025,1.13374934239461
120,0.435433062348039,0.436550227765214,0.00111716541717527,0.142103063075516,0.5911968872424,-0.00627817742396278,0.0400941929069427,1.17688139926992,0.571438307203956,1.17688140756853
140,0.43324030481265,0.432640810991802,-0.000599493820847452,0.158931667517289,0.61236891060234,-0.00383730040854116,0.0306300655539749,0.923644438922963,0.451196352273281,0.923644402647795
160,0.432706839716375,0.434885739092328,0.00217889937595372,-0.246373994552217,0.566484763950528,-0.00512524894920998,0.043493337040333,1.24419849740987,0.456569965807381,1.24419850708119
180,0.434601443798796,0.431500601577826,-0.00310084222096996,0.652990680476339,0.735085046137541,-0.00790184115888617,0.0345645942066123,1.13728761618585,0.681702570661317,1.13728759539355
200,0.43256290528814,0.432987054727462,0.000424149439322119,0.122657174220397,0.770676909180248,-0.0083486484253714,0.0389846292974516,1.187357038801,0.649691729886337,1.18735701098363
220,0.440296060881768,0.431064217976835,-0.00923184290493295,0.673694880979578,0.917729458453237,-0.0198790349013039,0.0437616145430293,1.53021300894368,0.868199499605649,1.53021304640812
240,0.430611164643824,0.432837043095701,0.00222587845187722,0.532076682565383,0.5337669175139,-0.00498602626725582,0.0440408109727559,1.44144883191166,0.427795855353372,1.44144882143429
260,0.43069832525737,0.431880269356525,0.00118194409915467,-0.205821073182545,0.71620989101653,-0.00813776230894823,0.0458819928199604,1.35918158850835,0.445331621955116,1.3591815405966
280,0.430444684226904,0.428743318650679,-0.00170136557622491,0.38956357973209,0.836939069840728,-0.00754552106057381,0.034149123841698,1.05727168634472,0.769858808897145,1.05727166249492
300,0.442011043090322,0.430484767183641,-0.0115262759066813,0.532264674323439,0.919673441068262,-0.0198336358464986,0.0380123977230993,1.21870346029186,0.915678218590269,1.2187034988488
