problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,3,10000,10000,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE010000_region_boundary.png
LIRCMOP5_BC,3,30000,30210,137,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE030000_region_boundary.png
LIRCMOP5_BC,3,50000,50220,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE050000_region_boundary.png
LIRCMOP5_BC,3,70000,70040,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE070000_region_boundary.png
LIRCMOP5_BC,3,100000,100160,465,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP5_BC_run3/figures/LIRCMOP5_BC_run3_FE100000_region_boundary.png
LIRCMOP6_BC,3,10000,10160,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE010000_region_boundary.png
LIRCMOP6_BC,3,30000,30140,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE030000_region_boundary.png
LIRCMOP6_BC,3,50000,50150,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE050000_region_boundary.png
LIRCMOP6_BC,3,70000,70160,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE070000_region_boundary.png
LIRCMOP6_BC,3,100000,100080,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP6_BC_run3/figures/LIRCMOP6_BC_run3_FE100000_region_boundary.png
LIRCMOP7_BC,3,10000,10080,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE010000_region_boundary.png
LIRCMOP7_BC,3,30000,30090,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE030000_region_boundary.png
LIRCMOP7_BC,3,50000,50100,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE050000_region_boundary.png
LIRCMOP7_BC,3,70000,70110,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE070000_region_boundary.png
LIRCMOP7_BC,3,100000,100010,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP7_BC_run3/figures/LIRCMOP7_BC_run3_FE100000_region_boundary.png
LIRCMOP8_BC,3,10000,10090,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE010000_region_boundary.png
LIRCMOP8_BC,3,30000,30100,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE030000_region_boundary.png
LIRCMOP8_BC,3,50000,50110,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE050000_region_boundary.png
LIRCMOP8_BC,3,70000,70120,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE070000_region_boundary.png
LIRCMOP8_BC,3,100000,100020,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP8_BC_run3/figures/LIRCMOP8_BC_run3_FE100000_region_boundary.png
LIRCMOP9_BC,3,10000,10040,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE010000_region_boundary.png
LIRCMOP9_BC,3,30000,30180,140,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE030000_region_boundary.png
LIRCMOP9_BC,3,50000,50090,228,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE050000_region_boundary.png
LIRCMOP9_BC,3,70000,70040,315,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE070000_region_boundary.png
LIRCMOP9_BC,3,100000,100140,446,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP9_BC_run3/figures/LIRCMOP9_BC_run3_FE100000_region_boundary.png
LIRCMOP10_BC,3,10000,10100,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE010000_region_boundary.png
LIRCMOP10_BC,3,30000,30100,139,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE030000_region_boundary.png
LIRCMOP10_BC,3,50000,50110,226,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE050000_region_boundary.png
LIRCMOP10_BC,3,70000,70120,313,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE070000_region_boundary.png
LIRCMOP10_BC,3,100000,100020,443,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_runs1_3_plotrun3_10workers_20260627_185214/LIRCMOP10_BC_run3/figures/LIRCMOP10_BC_run3_FE100000_region_boundary.png
