problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,3,3,10000,10000,49,random_all_w,8,0,0,0,NaN,NaN,NaN,NaN,NaN,399,1
LIRCMOP5_BC,3,3,30000,30210,137,random_all_w,56,44,46,30,0.566666666666667,4.49746966671975,41.9532557395021,0.2,0.966666666666667,347,53
LIRCMOP5_BC,3,3,50000,50220,224,random_all_w,93,74,62,30,0.266666666666667,7.84257800179141,30.5126169354928,0.266666666666667,1,215,185
LIRCMOP5_BC,3,3,70000,70040,318,random_all_w,17,18,12,0,NaN,NaN,NaN,NaN,NaN,285,115
LIRCMOP5_BC,3,3,100000,100160,465,random_all_w,26,17,8,0,NaN,NaN,NaN,NaN,NaN,283,117
LIRCMOP6_BC,3,3,10000,10160,48,random_all_w,129,115,116,30,1,11.0392192904937,22.9721883262646,0,1,350,50
LIRCMOP6_BC,3,3,30000,30140,135,random_all_w,35,47,31,30,0.866666666666667,26.9813875646466,69.2322653091176,0.166666666666667,1,347,53
LIRCMOP6_BC,3,3,50000,50150,222,random_all_w,169,165,149,30,0.3,3.38615512866038,18.9853193146543,0.166666666666667,1,208,192
LIRCMOP6_BC,3,3,70000,70160,309,random_all_w,79,81,68,30,0.133333333333333,14.4635700500809,48.1217177143915,0.0333333333333333,1,233,167
LIRCMOP6_BC,3,3,100000,100080,440,random_all_w,58,37,13,30,0.2,0.988908294283614,2.43522680479097,0.5,1,256,144
LIRCMOP7_BC,3,3,10000,10080,47,random_all_w,139,122,113,30,0.633333333333333,0.527223201614847,4.55919936757714,0.633333333333333,1,354,46
LIRCMOP7_BC,3,3,30000,30090,134,random_all_w,75,78,70,30,0.533333333333333,1.93467793525602,11.5268178241953,0.333333333333333,1,353,47
LIRCMOP7_BC,3,3,50000,50100,221,random_all_w,74,71,64,30,0.2,2.5963220861498,14.767877821219,0.166666666666667,1,288,112
LIRCMOP7_BC,3,3,70000,70110,308,random_all_w,178,165,161,30,0.0666666666666667,3.60283448979189,19.6886069683689,0.2,1,182,218
LIRCMOP7_BC,3,3,100000,100010,438,random_all_w,152,154,120,30,0.133333333333333,1.51066522926703,12.0012371950215,0.466666666666667,1,155,245
LIRCMOP8_BC,3,3,10000,10090,46,random_all_w,96,118,90,30,0.766666666666667,2.36794020341706,8.24820806088552,0.0333333333333333,1,331,69
LIRCMOP8_BC,3,3,30000,30100,133,random_all_w,100,90,89,30,0.133333333333333,2.35692609882323,17.0230454554807,0.266666666666667,1,266,134
LIRCMOP8_BC,3,3,50000,50110,220,random_all_w,74,63,55,30,0.433333333333333,2.35172017908109,15.4631441606772,0.3,1,294,106
LIRCMOP8_BC,3,3,70000,70120,307,random_all_w,146,114,102,30,0.2,2.07081915836231,13.7482792434018,0.3,1,157,243
LIRCMOP8_BC,3,3,100000,100020,437,random_all_w,191,166,173,30,0.2,0.967096209583614,5.79800401495121,0.533333333333333,1,142,258
LIRCMOP9_BC,3,3,10000,10040,48,random_all_w,5,13,5,0,NaN,NaN,NaN,NaN,NaN,243,157
LIRCMOP9_BC,3,3,30000,30180,140,random_all_w,60,58,18,30,0.733333333333333,11.4055254749424,47.5414643605528,0.233333333333333,1,294,106
LIRCMOP9_BC,3,3,50000,50090,228,random_all_w,41,56,14,30,0.833333333333333,18.9004346174095,52.1395254440694,0.2,1,243,157
LIRCMOP9_BC,3,3,70000,70040,315,random_all_w,40,50,16,30,0.6,17.7732036802009,193.175248050558,0.2,0.966666666666667,209,191
LIRCMOP9_BC,3,3,100000,100140,446,random_all_w,62,52,33,30,0.533333333333333,18.9241569762044,85.9769306777858,0.266666666666667,1,207,193
LIRCMOP10_BC,3,3,10000,10100,48,random_all_w,24,27,15,0,NaN,NaN,NaN,NaN,NaN,284,116
LIRCMOP10_BC,3,3,30000,30100,139,random_all_w,55,58,18,30,0.3,2.76144803654496,28.7639931310546,0.266666666666667,1,268,132
LIRCMOP10_BC,3,3,50000,50110,226,random_all_w,75,60,31,30,0.366666666666667,13.0613405222996,53.9448164746218,0.3,1,267,133
LIRCMOP10_BC,3,3,70000,70120,313,random_all_w,74,73,34,30,0.2,2.63111377778856,10.7385797590357,0.333333333333333,1,246,154
LIRCMOP10_BC,3,3,100000,100020,443,random_all_w,92,97,56,30,0.133333333333333,2.2691493349524,15.8766790093831,0.266666666666667,1,249,151
