addedUpdates,trainingSeconds,endpointRMSE,loggedPostRMSE,preEndpointRMSE,directionError,nearestTrainingObjective,labelAccuracy,offlineFullFE,offlineCalObjRows,offlineCalConRows,problem,seed,moving
0,0,0.119268310785096,NaN,NaN,12.126221087064,0.0794606883356993,0.53,200,400,200,LIRCMOP7_BC,3,0
20,3.41240054166667,0.119234640130705,0.119234640131218,0.1192683108062,9.19485173763475,0.0692048780111942,0.51,200,400,200,LIRCMOP7_BC,3,0
200,18.3931330833333,0.122434159334175,0.122434159732854,0.120328647928251,10.0429493829132,0.0968279678914817,0.535,200,400,200,LIRCMOP7_BC,3,0
1000,71.7038075,0.113760983871587,0.113760983857849,0.124763690453899,6.41826962346382,0.0783420645502673,0.47,200,400,200,LIRCMOP7_BC,3,0
2000,136.51228475,0.123905972058311,0.123905971630347,0.122493497511039,8.36127605997638,0.117390516305363,0.525,200,400,200,LIRCMOP7_BC,3,0
