problem,run,targetFE,actualFE,gen,variant,condition_mode,boundaryTargetMode,snapshot_file,train_count,query_count,condition_dim,condition_unique_count,condition_duplicate_count,condition_nn_dist50,condition_nn_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_pair_dec_dist50,train_pair_dec_dist90,advWeight,reconstructionWeight,huberDelta,iter,checkpoint_epoch,chunk_epoch,trainMode,miniBatch,g_updates,d_updates,runtime_sec,train_x_rec50,train_x_rec90,train_x_recmax,train_y_rec50_raw,train_y_rec90_raw,train_y_recmax_raw,train_y_rec50_norm,train_y_rec90_norm,train_y_recmax_norm,status,error_message
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,20,20,10,epoch,32,40,0,1.03002108333333,1.31660573147333,1.41846396766911,1.43260235692184,15.1996971286886,15.2955386466017,15.3472804247023,0.230734171836708,0.23412273299721,0.23492325406814,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,50,50,30,epoch,32,100,0,1.27338695833333,0.656894983558517,0.757487192802298,0.769963931479696,2.71597675589116,2.87913399381803,3.14855030557298,0.0435570404984028,0.0452978531813489,0.0501432856846298,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,1,1,1,epoch,32,2,0,0.529306,1.56437783363845,1.683980479363,1.68619395087384,22.871187433314,23.0884953507582,23.1863899133721,0.34955685382196,0.350643718035455,0.351426431606578,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,2,2,1,epoch,32,4,0,0.622626541666667,1.55227749943412,1.67044648684129,1.67396011931396,22.5245896896765,22.7225215226637,22.8122315297112,0.344050078508813,0.344826841536865,0.345498247008217,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,5,5,3,epoch,32,10,0,0.727554333333333,1.51739438604882,1.63148918248563,1.63852097087343,21.4901018423839,21.6120475247583,21.697136005577,0.327475438181569,0.328058146682585,0.32831899209884,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,10,10,5,epoch,32,20,0,0.842834083333333,1.45696593392151,1.56510246784981,1.57542897586472,19.5093647175267,19.5930329094744,19.6470255530311,0.296367672615648,0.298369295110616,0.299027501053918,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,20,20,10,epoch,32,40,0,0.983927208333333,1.31660573147333,1.41846396766911,1.43260235692184,15.1996971286886,15.2955386466017,15.3472804247023,0.230734171836708,0.23412273299721,0.23492325406814,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,50,50,30,epoch,32,100,0,1.22397654166667,0.656894983558517,0.757487192802298,0.769963931479696,2.71597675589116,2.87913399381803,3.14855030557298,0.0435570404984028,0.0452978531813489,0.0501432856846298,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,100,100,50,epoch,32,200,0,1.61049125,0.28875796408955,0.472847215382155,0.553505787658428,0.465227755969066,1.9921542359362,2.81936981045459,0.00714413645138916,0.0291400597386836,0.0576644142295761,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch200,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,200,200,100,epoch,32,400,0,2.10133079166667,0.277211340770371,0.38128014362956,0.526643120548353,0.505539149540355,1.14935784142366,2.74306703555773,0.00768707208308153,0.0171298967512998,0.0561454436634763,ok,
