problem,run,target_FE,actual_FE,gen,bmem_count,chain_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate
LIRCMOP10_BC,3,10000,10079,48,13,5,13,13,13,2,0.00248221233312021,0.0057003876238193,0,0.0330880778565828,0.0283721537721678,0.0772972313143242,1,0.00509476931994914,0.00615798854385798,0.153846153846154
LIRCMOP10_BC,3,30000,30100,143,11,3,11,11,11,5,0.000664781056479196,0.00920055013965242,0,0.0239402021310539,0.0154295798322951,0.0501561335790409,1,0.00201733369572664,0.0112752400055851,0.454545454545455
LIRCMOP10_BC,3,50000,50093,235,19,5,19,19,19,19,7.30438059921055e-05,0.000350479133096328,0,0.0119894620021041,0.0107083369787036,0.0142093830900618,1,0.000168476379304447,0.0013082958834211,1
LIRCMOP10_BC,3,70000,70046,326,29,6,29,20,20,18,8.73971396185338e-05,0.000179305061626184,0,0.0494268028640337,0.0108669036256364,0.015394961059107,1,0.000150115719793353,0.0278925810332194,0.9
LIRCMOP10_BC,3,100000,100186,463,48,8,48,20,20,19,9.8206197351911e-06,0.000357790863628994,0,0.0447336498312969,0.0111834715998875,0.020557004332541,1,0.000276606117180094,0.00114014907823505,0.95
