problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,validationEndpoint,validationRelation,latentSensitivity,validationUniqueRate,validationDuplicateRate,qualityScore
LIRCMOP5_BC,10,1,3400,3500,5.62504666666667,35,3,30,350,92,0.184,20,1,0,1,0,107.13719867012,0,1,1,5.06032043472305,0,0,0,0,1.81469787426888,0.268774772490043,0.193263335697553,1,0,0.450810867002633
LIRCMOP5_BC,10,2,4400,4500,6.40251933333333,38,3,30,380,337,0.674,20,1,0,1,0,111.697225554041,0,1,1,50.0369206851086,0,0,0,0,1.63493032377844,0.37840080347207,0.21423526841879,1,0,0.45
LIRCMOP5_BC,10,3,3400,3500,6.61712733333333,35,3,30,350,147,0.294,20,1,0,1,0,109.555099121394,0,1,1,4.92760858890886,0,0,0,0,1.62442883323679,0.251237253660075,0.201710759970838,1,0,0.45
LIRCMOP5_BC,10,4,4600,4700,19.5909039583333,68,5,50,680,62,0.124,20,1,0,1,0,125.657684224353,0,1,1,2.99255678693447,0,0,0,0,1.55043927511633,0.213074285607732,0.210049768004903,1,0,0.569042947138307
LIRCMOP5_BC,10,5,3200,3300,8.09726275,42,3,30,420,137,0.274,20,1,0,1,0,131.567845123347,0,1,1,6.83816813935434,0,0,0,0,1.49482687925302,0.400542103311229,0.234365843177256,1,0,0.569853092046191
LIRCMOP5_BC,25,1,3400,3500,3.8529565,35,3,75,875,106,0.212,20,1,0,1,0,98.8270823728664,0,1,1,5.0875449432292,0,0,0,0,1.76285198350461,0.266678443312966,0.193255217964429,1,0,0.465535153245764
LIRCMOP5_BC,25,2,4400,4500,4.21984404166667,38,3,75,950,343,0.686,20,1,0,1,0,105.221890647788,0,1,1,46.5200156890611,0,0,0,0,1.56563347423977,0.371106007391885,0.223410176303244,1,0,0.473414892498814
LIRCMOP5_BC,25,3,3400,3500,4.01607804166667,35,3,75,875,164,0.328,20,1,0,1,0,99.1031745298929,0,1,1,4.47411509661323,0,0,0,0,1.56558559510884,0.252287546794775,0.194073051123351,1,0,0.483059024153009
LIRCMOP5_BC,25,4,4000,4100,4.04116516666667,35,3,75,875,160,0.32,20,1,0,1,0,120.692321176208,0,1,1,13.3389077839958,0,0,0,0,1.74817585416921,0.630812677609672,0.188890910922635,1,0,0.457961056838634
LIRCMOP5_BC,25,5,3200,3300,5.27402791666667,44,3,75,1100,87,0.174,20,1,0,1,0,118.289498174303,0,1,1,33.0623337673333,0,0,0,0,1.7169057562498,0.212692043844369,0.199694010983134,1,0,0.470307776525433
LIRCMOP5_BC,50,1,3400,3500,17.37915975,35,3,150,1750,132,0.264,20,1,0,1,0,76.9052762656673,0,1,1,4.76349883767328,0,0,0,0,1.58722838644896,0.266041308201186,0.200100981001938,1,0,0.516167897700796
LIRCMOP5_BC,50,2,4400,4500,16.4242665416667,38,3,150,1900,354,0.708,20,1,0,1,0,90.5517829278199,0,1,1,45.174458550687,0,0,0,0,1.43001299697866,0.367023700141121,0.229201184119902,1,0,0.504308543691052
LIRCMOP5_BC,50,3,3600,3700,29.8909839583333,48,3,150,2400,93,0.186,10,0.5,10,1,0,99.4565345069174,0,1,1,0.991561993283779,0,0,0,0,1.45257085263231,0.220114666311725,0.185216775557841,1,0,0.439572051136951
LIRCMOP5_BC,50,4,4400,4500,51.0631491666667,59,4,200,2950,93,0.186,20,1,0,1,0,99.7273069628086,0,1,1,7.05693333118349,0,0,0,0,1.24948635453542,0.36843815649598,0.195095196236884,1,0,0.563853727299725
LIRCMOP5_BC,50,5,3200,3300,26.44307225,43,3,150,2150,260,0.52,20,1,0,1,0,84.4463817382233,0,1,1,5.01805586973365,0,0,0,0,1.49919369544402,0.419964232505751,0.185907862126557,1,0,0.650238720186898
LIRCMOP5_BC,100,1,3800,3900,80.4673078333333,57,4,400,5700,370,0.74,20,1,0,1,0,18.8343358841963,0,1,1,1.21631306092658,0,0,0,0,0.764570194170615,0.185732073819573,0.182074047747888,1,0,0.730378240000265
LIRCMOP5_BC,100,2,4400,4500,29.7473339166667,38,3,300,3800,401,0.802,20,1,0,1,0,53.4011043153957,0,1,1,23.8946268597087,0,0,0,0,1.05561521550643,0.358465992367821,0.252778630455491,1,0,0.642333948587678
LIRCMOP5_BC,100,3,3600,3700,62.8364184583333,49,4,400,4900,255,0.51,20,1,0,1,0,67.1185708047483,0,1,1,4.00631905328611,0,0,0,0,1.0848570885076,0.190185744872499,0.183154887815019,1,0,0.55591742887381
LIRCMOP5_BC,100,4,4400,4500,107.991478208333,58,4,400,5800,218,0.436,20,1,0,1,0,34.4210039879115,0,1,1,1.28812811595556,0,0,0,0,0.8926523489145,0.196919619769127,0.164904731641355,1,0,0.734935174351456
LIRCMOP5_BC,100,5,3200,3300,37.9771080833333,43,3,300,4300,335,0.67,20,1,0,1,0,59.5474124854434,0,1,1,2.47104422570394,0,0,0,0,1.10613600777278,0.462995203949436,0.206793367356928,1,0,0.699959648896614
LIRCMOP5_BC,200,1,3600,3700,76.938292625,46,3,600,9200,499,0.998,20,1,0,0.954,0.046,1.39252127462556,0,1,0.5,0.0918127758132681,0.0020870894217533,0.15,0,0,0.324491615665515,0.335067148884267,0.146008462615878,1,0,0.730677055957498
LIRCMOP5_BC,200,2,4400,4500,42.5978733333333,38,3,600,7600,467,0.934,20,1,0,1,0,11.3124082283854,0,1,1,6.64828857875346,0,0,0,0,0.473482260780906,0.355238357560037,0.260748205147426,1,0,0.775749431102921
LIRCMOP5_BC,200,3,3600,3700,91.7767295,52,4,800,10400,499,0.998,20,1,0,0.936,0.064,0.977083126897514,0,1,0.8,0.114371828437097,0,0.05,0.05,0.05,0.158743037677832,0.200939520179846,0.160751271540675,1,0,0.779372620572251
LIRCMOP5_BC,200,4,4400,4500,151.628904041667,57,4,800,11400,498,0.996,20,1,0,0.99,0.01,1.13840229347906,0,1,1,0.301993906552,0,0,0,0,0.308734319830318,0.521263953743462,0.15488113943522,1,0,0.801644028310911
LIRCMOP5_BC,200,5,3000,3100,34.752392625,32,2,400,6400,451,0.902,20,1,0,1,0,12.6665678034153,0,1,1,1.18237484164702,0,0,0,0,0.831056820484521,0.502877610516761,0.211692329355624,1,0,0.777548407713082
LIRCMOP5_BC,400,1,3400,3500,135.675046541667,35,3,1200,14000,500,1,20,1,0,0.782,0.218,0.415650157780088,0,1,0.6,0.110933875646243,0,0.05,0,0,0.203880162445776,0.224166931643666,0.122132713347024,1,0,0.781333733465958
LIRCMOP5_BC,400,2,4600,4700,264.702345916667,52,4,1600,20800,490,0.98,20,1,0,0.804,0.196,1.5744121422291,0,1,0.85,5.19924139923586,0,0.05,0,0,0.268412397948855,0.46349998676831,0.24529418877738,1,0,0.814816193866148
LIRCMOP5_BC,400,3,3400,3500,134.353917208333,35,3,1200,14000,498,0.996,20,1,0,0.934,0.066,0.682559626517373,0,1,0.5,0.0878106769602689,0.00441182481737681,0.2,0,0,0.235649959235086,0.25264381050376,0.145561235981397,1,0,0.736128268528527
LIRCMOP5_BC,400,4,4000,4100,136.511371708333,35,3,1200,14000,499,0.998,20,1,0,0.944,0.056,1.36802347545544,0,1,0.85,0.556069181009668,0,0.1,0,0,0.354030556268727,0.563668096518603,0.15534551944701,1,0,0.785052535613397
LIRCMOP5_BC,400,5,3000,3100,99.9640804583333,32,2,800,12800,500,1,20,1,0,0.97,0.03,1.14756989771945,0,1,0.8,0.38516990589413,0,0.25,0.15,0.15,0.389926691968159,0.484565148621173,0.163580658370837,1,0,0.774808942347384
LIRCMOP5_BC,800,1,3400,3500,178.561677916667,35,3,2400,28000,500,1,20,1,0,0.706,0.294,0.152527636777859,0,1,0.4,0.0513598935680327,0.0305234751475288,0.2,0,0,0.148557180092097,0.150501798177852,0.0951768597392871,1,0,0.7688
LIRCMOP5_BC,800,2,4600,4700,365.296006041667,51,4,3200,40800,500,1,20,1,0,0.786,0.214,0.527299196366707,0,1,0.85,9.82374537770797,0,0.05,0,0,0.206764784606934,0.348803915502453,0.19996609029936,1,0,0.804829181531717
LIRCMOP5_BC,800,3,3600,3700,312.876385875,48,3,2400,38400,500,1,20,1,0,0.702,0.298,0.139099612545904,0,1,0.45,0.0527654822012681,0.00889209146811632,0.2,0,0,0.128463825211999,0.175236352558861,0.177123567890948,1,0,0.7771
LIRCMOP5_BC,800,4,4000,4100,180.036938,35,3,2400,28000,497,0.994,20,1,0,0.892,0.108,0.916380430425385,0,1,0.7,0.519949882756868,0,0.05,0,0,0.297091107400341,0.493490904734581,0.187935958536023,1,0,0.774092244196896
LIRCMOP5_BC,800,5,3000,3100,130.314432041667,32,2,1600,25600,499,0.998,20,1,0,0.978,0.022,0.796788701537853,0,1,0.9,0.24194693341798,0,0.2,0.2,0.2,0.31790319177046,0.451535466717668,0.112422239364734,1,0,0.7894
LIRCMOP7_BC,10,1,2800,2900,5.251506125,32,2,20,320,117,0.234,20,1,0,1,0,105.708337057797,0,1,1,3.49209612363398,0,0,0,0,1.73541789402203,0.377892499279674,0.226862322795403,1,0,0.47645398835756
LIRCMOP7_BC,10,2,2800,2900,5.127763375,29,2,20,290,271,0.542,20,1,0,1,0,48.8551719924636,0,1,1,8.55852903521878,0,0,0,0,1.51238808512233,0.321991834097676,0.190810085107779,1,0,0.505516429652426
LIRCMOP7_BC,10,3,2600,2700,4.96615525,25,2,20,250,459,0.918,20,1,0,1,0,101.630493589929,0,1,1,8.01052116170796,0,0,0,0,1.73798154188012,0.454176314900559,0.239705188417892,1,0,0.472555874191135
LIRCMOP7_BC,10,4,2600,2700,4.501032125,27,2,20,270,276,0.552,20,1,0,1,0,83.1638039766234,0,1,1,7.63676589597756,0,0,0,0,2.12785232505648,0.603208507955187,0.261657319715049,1,0,0.45
LIRCMOP7_BC,10,5,2600,2700,4.78907429166667,32,2,20,320,110,0.22,20,1,0,1,0,86.9615100388198,0,1,1,4.35583883038639,0,0,0,0,1.85843219616811,0.250721523103511,0.182513174674531,1,0,0.457805322447387
LIRCMOP7_BC,25,1,2800,2900,2.60120970833333,32,2,50,800,132,0.264,20,1,0,1,0,100.976675393809,0,1,1,4.22434122540373,0,0,0,0,1.67264640246063,0.374594166921179,0.228146894950974,1,0,0.458986522073761
LIRCMOP7_BC,25,2,2800,2900,2.830068875,29,2,50,725,279,0.558,20,1,0,1,0,44.7589851912637,0,1,1,7.31654329267037,0,0,0,0,1.44931900441799,0.321516111431941,0.196873809441533,1,0,0.539290999027239
