variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,problem,family,run,seed,status,error_message,N,D,maxFE,trainGap,nGen,zDim,perRef,nearTau,ganIter,probeRawN,stageProbeN,ganDPretrainIter,ganDSteps,ganGSteps,archiveGap,target_text,runtime,IGD,HV,Feasible_rate,finalFE,finalPopCount,finalFeasibleCount,finalFeasibleRateManual,finalBestCount,final_AF_size,final_AI_size,final_Gap_obj_med,final_Train_AF_count,final_archive_filter_candidate_count,final_archive_filter_keep_count,final_archive_filter_keep_ratio,final_archive_pair_direction_candidate_count,final_archive_pair_direction_keep_count,final_archive_pair_direction_keep_ratio,final_BoundaryHit_all,final_ObjInterfaceScore,final_RefCov,final_DuplicateRate,final_GAN_to_AF_Dist90,final_AF_Cover_epsilon,final_AF_CoverEpsilon,final_RawGANFeasibleRate,final_InjectedCount,final_GAN_to_AF_ObjNN_mean,final_GAN_to_AF_ObjNN_median,final_GAN_to_AF_ObjNN_p90,final_GAN_to_AF_DecNN_mean,final_GAN_to_AF_DecNN_median,final_GAN_to_AF_DecNN_p90,final_RawGANVarClipRate,core_metrics_file,stage_metrics_file,snapshot_count,snapshot_folder,snapshot_manifest_file
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP1_BC,DASCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,569.816529875,0.00391669777475829,0.211643208786731,1,100180,100,100,1,100,209,209,NaN,NaN,249,248,0.995983935742972,248,223,0.899193548387097,0.65,0.0201456317678007,0.18,0,0.14798329071497,0.411483253588517,0.05,0.2,4,0.0815453898093208,0.0636487891604666,0.14798329071497,0.0304870753983242,0.0287060924424899,0.0445285101821375,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tpbc0d122d_02f9_4d07_8355_11bc2880497d/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tpbc0d122d_02f9_4d07_8355_11bc2880497d/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP2_BC,DASCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,572.186787291666,0.00525496218516189,0.354046145859423,1,100180,100,100,1,100,347,347,NaN,NaN,388,387,0.997422680412371,387,371,0.958656330749354,0.55,0.0185232372592716,0.18,0,0.282289921343998,0.357348703170029,0.05,0.45,9,0.121074734953159,0.100679246392344,0.282289921343998,0.0434665337706576,0.0410656888325802,0.0587531859112682,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tp4f89ceb6_80ce_4917_bb6a_5781720f3543/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tp4f89ceb6_80ce_4917_bb6a_5781720f3543/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP4_BC,DASCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,419.931730624999,0.00323190059002757,0.202091420777485,1,100020,100,100,1,100,91,91,NaN,NaN,129,126,0.976744186046512,126,98,0.777777777777778,0,0,0.16,0,4.68034175928586,0,0.05,0,0,2.92481502345108,2.17437924845321,4.68034175928586,0.0056234796200461,0.00491942992836662,0.00715679850029724,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tpbb483779_2c50_4164_8e66_3721001422d0/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tpbb483779_2c50_4164_8e66_3721001422d0/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,DASCMOP5_BC,DASCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,499.255993208334,0.00611424283063136,0.348560091768925,1,100140,100,100,1,100,96,96,NaN,NaN,141,138,0.978723404255319,138,107,0.77536231884058,0,0,0.07,0,57.7825239430996,0,0.05,0,0,53.8849704721915,53.2079364003563,57.7825239430996,0.0674272417573199,0.0674785397382247,0.0706419153208199,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tp03fb5a86_dd6f_4dcc_a1e6_9e500fb3b69a/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tp03fb5a86_dd6f_4dcc_a1e6_9e500fb3b69a/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP5_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,491.362522916667,0.0184565091856068,0.284202319757894,1,100180,100,100,1,100,1,1,NaN,NaN,61,61,1,61,1,0.0163934426229508,1,0,0.17,0,27.4546417482141,0,0.05,1,20,18.5464333593979,17.7855512666374,27.4546417482141,0.0101724159251471,0.00998166091619401,0.0110723675981616,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP5_BC_run1_tp1e34e76c_4676_4e7f_b715_191781f5ab43/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP5_BC_run1_tp1e34e76c_4676_4e7f_b715_191781f5ab43/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP5_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP6_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,494.029657208334,0.0410457074429906,0.182490311583922,1,100000,100,100,1,100,2,2,NaN,NaN,62,61,0.983870967741935,61,2,0.0327868852459016,1,0.0735879144528492,0.2,0,133.066821748576,0,0.05,0.95,19,102.732464815468,103.793533171375,133.066821748576,0.0107260483712489,0.0107657307411054,0.0115826817490812,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP6_BC_run1_tp2d71172a_a0ab_42a3_933e_d94c696394eb/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP6_BC_run1_tp2d71172a_a0ab_42a3_933e_d94c696394eb/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP7_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,555.91619,0.0109701256596375,0.292225215411987,1,100160,100,100,1,100,264,264,NaN,NaN,313,302,0.964856230031949,302,273,0.903973509933775,0.35,0.00131199121979608,0.17,0,0.297710825208903,0.0909090909090909,0.05,0.1,2,0.176309257084827,0.163787714743407,0.297710825208903,0.0371496075922626,0.0381994338425945,0.0446571621128203,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP7_BC_run1_tp1977ac66_e4a4_463d_9a0f_c77c73383bf2/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP7_BC_run1_tp1977ac66_e4a4_463d_9a0f_c77c73383bf2/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP7_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP7_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP8_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,556.6991705,0.00862743351179502,0.293249411422101,1,100120,100,100,1,100,294,294,NaN,NaN,327,321,0.981651376146789,321,301,0.937694704049844,0.85,0.00143398743005704,0.18,0,0.132683322916655,0.377551020408163,0.05,0.1,2,0.0908977621093022,0.0846215436410521,0.132683322916655,0.029218954037423,0.0255756784979844,0.0404281856200845,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP8_BC_run1_tpe3c3d46b_355f_40a6_84e0_1b263a220ce1/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP8_BC_run1_tpe3c3d46b_355f_40a6_84e0_1b263a220ce1/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP8_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP8_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP9_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,245.395672541667,0.206286553425903,0.442027831905051,1,100160,100,100,1,100,15,15,NaN,NaN,75,66,0.88,66,15,0.227272727272727,1,2.07088277680137e-28,0.02,0,23.9777720405355,0.333333333333333,0.05,0.95,19,16.4364407196751,23.051552569887,23.9777720405355,0.351639839142754,0.497186340702915,0.501615119518112,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP9_BC_run1_tpf13ac87b_4522_4d71_b5ff_0ee80c19fe2e/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP9_BC_run1_tpf13ac87b_4522_4d71_b5ff_0ee80c19fe2e/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/archive_snapshot_manifest.csv
A1_pair_cd,global_af_nd,ai_dominates_af,pair_cd_conditioned,LIRCMOP10_BC,LIRCMOP_BC,1,1,ok,,100,30,100000,10,20,8,5,0.2,256,0,200,400,2,2,1,10000;20000;30000;40000;50000;60000;70000;80000;90000;100000,169.359352333333,0.020358283618854,0.69741189615705,1,100020,100,100,1,100,1,1,NaN,NaN,61,54,0.885245901639344,54,1,0.0185185185185185,1,0,0.17,0,66622439.5296151,0,0.05,1,20,54773016.3851691,53453347.6761459,66622439.5296151,0.0306352140156617,0.0302899796181459,0.03125358312207,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP10_BC_run1_tp92ab6903_d962_440b_9670_7917c6c6aa24/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_LIRCMOP10_BC_run1_tp92ab6903_d962_440b_9670_7917c6c6aa24/stage_metrics.csv,10,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP10_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP10_BC_run1/archive_snapshot_manifest.csv
