problem,seed,moving,addedUpdates,criticGap,realMean,fakeMean
LIRCMOP7_BC,1,0,0,0.467751502990723,-9.30334854125977,-9.77110004425049
LIRCMOP7_BC,1,0,20,0.505946159362793,-9.79219627380371,-10.2981424331665
LIRCMOP7_BC,1,0,200,0.43914794921875,-10.7697505950928,-11.2088985443115
LIRCMOP7_BC,1,0,1000,0.510578155517578,-11.0487842559814,-11.559362411499
LIRCMOP7_BC,1,0,2000,0.524050712585449,-11.2061710357666,-11.7302217483521
LIRCMOP7_BC,1,1,0,0.467751502990723,-9.30334854125977,-9.77110004425049
LIRCMOP7_BC,1,1,20,0.504627227783203,-9.79035758972168,-10.2949848175049
LIRCMOP7_BC,1,1,200,0.431375503540039,-11.5045108795166,-11.9358863830566
LIRCMOP7_BC,1,1,1000,0.359651565551758,-14.2360048294067,-14.5956563949585
LIRCMOP7_BC,1,1,2000,0.426629066467285,-14.236496925354,-14.6631259918213
LIRCMOP7_BC,2,0,0,0.559441566467285,-8.56819343566895,-9.12763500213623
LIRCMOP7_BC,2,0,20,0.421306610107422,-8.88441276550293,-9.30571937561035
LIRCMOP7_BC,2,0,200,0.445775032043457,-10.1325311660767,-10.5783061981201
LIRCMOP7_BC,2,0,1000,0.512856483459473,-10.3983058929443,-10.9111623764038
LIRCMOP7_BC,2,0,2000,0.564099311828613,-9.83719158172607,-10.4012908935547
LIRCMOP7_BC,2,1,0,0.559441566467285,-8.56819343566895,-9.12763500213623
LIRCMOP7_BC,2,1,20,0.453462600708008,-8.67305374145508,-9.12651634216309
LIRCMOP7_BC,2,1,200,0.475738525390625,-11.215726852417,-11.6914653778076
LIRCMOP7_BC,2,1,1000,0.413599014282227,-11.0402517318726,-11.4538507461548
LIRCMOP7_BC,2,1,2000,0.491933822631836,-10.569317817688,-11.0612516403198
LIRCMOP7_BC,3,0,0,0.502071738243103,0.757184863090515,0.255113154649734
LIRCMOP7_BC,3,0,20,0.461844086647034,0.701266825199127,0.239422723650932
LIRCMOP7_BC,3,0,200,0.559565246105194,0.745417237281799,0.185851991176605
LIRCMOP7_BC,3,0,1000,0.48470151424408,1.38142585754395,0.896724343299866
LIRCMOP7_BC,3,0,2000,0.598881959915161,2.13926649093628,1.54038453102112
LIRCMOP7_BC,3,1,0,0.502071738243103,0.757184863090515,0.255113154649734
LIRCMOP7_BC,3,1,20,0.483819961547852,0.831085503101349,0.347265541553497
LIRCMOP7_BC,3,1,200,0.527515769004822,1.27403438091278,0.746518611907959
LIRCMOP7_BC,3,1,1000,0.440214931964874,0.560251533985138,0.120036609470844
LIRCMOP7_BC,3,1,2000,0.487011820077896,0.909387350082397,0.422375530004501
LIRCMOP8_BC,1,0,0,0.194535732269287,-3.31071591377258,-3.50525164604187
LIRCMOP8_BC,1,0,20,0.184941291809082,-3.47729563713074,-3.66223692893982
LIRCMOP8_BC,1,0,200,0.292742252349854,-3.37058901786804,-3.6633312702179
LIRCMOP8_BC,1,0,1000,0.273569107055664,-3.23679900169373,-3.51036810874939
LIRCMOP8_BC,1,0,2000,0.301740646362305,-3.27499508857727,-3.57673573493958
LIRCMOP8_BC,1,1,0,0.194535732269287,-3.31071591377258,-3.50525164604187
LIRCMOP8_BC,1,1,20,0.172481775283813,-3.64412498474121,-3.81660676002502
LIRCMOP8_BC,1,1,200,0.243512153625488,-3.94999313354492,-4.19350528717041
LIRCMOP8_BC,1,1,1000,0.172573328018188,-3.7534921169281,-3.92606544494629
LIRCMOP8_BC,1,1,2000,0.199329853057861,-4.6853928565979,-4.88472270965576
LIRCMOP8_BC,2,0,0,0.290166974067688,0.478010058403015,0.187843084335327
LIRCMOP8_BC,2,0,20,0.317919552326202,0.391180247068405,0.0732606947422028
LIRCMOP8_BC,2,0,200,0.333594143390656,-0.413970947265625,-0.747565090656281
LIRCMOP8_BC,2,0,1000,0.246776461601257,-0.54540604352951,-0.792182505130768
LIRCMOP8_BC,2,0,2000,0.282820701599121,-1.4414929151535,-1.72431361675262
LIRCMOP8_BC,2,1,0,0.290166974067688,0.478010058403015,0.187843084335327
LIRCMOP8_BC,2,1,20,0.308257520198822,0.980605900287628,0.672348380088806
LIRCMOP8_BC,2,1,200,0.247355222702026,0.201606228947639,-0.0457489937543869
LIRCMOP8_BC,2,1,1000,0.277840942144394,-0.474207252264023,-0.752048194408417
LIRCMOP8_BC,2,1,2000,0.304641962051392,-1.08397352695465,-1.38861548900604
LIRCMOP8_BC,3,0,0,0.3114333152771,-5.36622953414917,-5.67766284942627
LIRCMOP8_BC,3,0,20,0.297990798950195,-5.61279916763306,-5.91078996658325
LIRCMOP8_BC,3,0,200,0.346687793731689,-6.12556934356689,-6.47225713729858
LIRCMOP8_BC,3,0,1000,0.376951694488525,-5.75053787231445,-6.12748956680298
LIRCMOP8_BC,3,0,2000,0.400052070617676,-5.21772384643555,-5.61777591705322
LIRCMOP8_BC,3,1,0,0.3114333152771,-5.36622953414917,-5.67766284942627
LIRCMOP8_BC,3,1,20,0.335506916046143,-5.2735071182251,-5.60901403427124
LIRCMOP8_BC,3,1,200,0.377684593200684,-6.36983299255371,-6.74751758575439
LIRCMOP8_BC,3,1,1000,0.329817771911621,-6.43112659454346,-6.76094436645508
LIRCMOP8_BC,3,1,2000,0.325387954711914,-6.21283292770386,-6.53822088241577
