problem,seed,arm,finalIGD,finalHV,lateIGDAUC,lateHVAUC,wallSeconds,maxFE,sourceHash
LIRCMOP5_BC,11,original,0.0211700636810748,0.282843816608982,0.112492845314621,0.255275985148984,696.533964,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,11,fallback_only,0.0232967961744993,0.282138235109484,0.0417749799990825,0.275837424800428,87.5908080416667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,11,pair_only,0.0212242005141997,0.282726065137492,0.0388233159198581,0.275971917339799,137.650906916667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,12,original,0.0228873615417997,0.282331722815683,0.140860525679669,0.247881750915721,544.62463825,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,12,fallback_only,0.0146319132659931,0.287565346464717,0.0644086590849357,0.262100170152032,83.8645427083333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,12,pair_only,0.0155362198691163,0.286267751465144,0.0763674122053588,0.26671668095989,110.731820041667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,13,original,0.0188269465210006,0.283806203844459,0.0409949954141964,0.276464225503787,645.44627625,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,13,fallback_only,0.0208931908504248,0.282862371138787,0.207754664633556,0.231834393650128,51.322262125,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,13,pair_only,0.014652120136691,0.286176260511414,0.0339068997117794,0.279035664040558,88.3430040416667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,14,original,0.0502987068895588,0.271408416029378,0.871865060494586,0.067791175052177,731.57517325,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,14,fallback_only,0.0157526700442061,0.286839559470055,0.116732851392761,0.255448648968999,63.0678369583333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,14,pair_only,0.0249929247662845,0.281422165907513,0.660540497998532,0.121907680309751,100.920947583333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,15,original,0.0243436981131242,0.281990374409529,0.0485926956791513,0.274868058077623,413.3001865,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,15,fallback_only,0.020718373865235,0.283148849892589,0.0511414982081281,0.273763421237822,51.45369725,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,15,pair_only,0.0258282690933357,0.281061274494842,0.0568569758407799,0.271691702033155,112.579850583333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,11,original,0.0220693898008446,0.186719054150672,0.145086329286817,0.138234256713065,937.757568333333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,11,fallback_only,0.0131882212365525,0.191653698835636,0.0816978433903427,0.162019667314661,84.2174115,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,11,pair_only,0.0185848286777226,0.189258063015478,0.117934154587138,0.149003176110793,155.89837775,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,12,original,0.0114478723281782,0.194598396338338,0.0922343526597635,0.174994255762686,485.3738045,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,12,fallback_only,0.0134859543147604,0.193578108941369,0.134504215455898,0.163321114676445,58.6559927083333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,12,pair_only,0.0163013684752027,0.193334498536178,0.11435149446098,0.169183308229006,86.845226125,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP6_BC,13,original,0.0159790085927834,0.191698501417422,0.0348227652321486,0.182579253944469,549.672820208333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
