FE,IGD,HV,guidedSelected,problem,seed,prefixFE,mode
50000,0.0791380824412716,0.260086534125296,0,LIRCMOP7_BC,1,50000,de
50200,0.0788441731624905,0.260189848002519,0,LIRCMOP7_BC,1,50000,de
50400,0.0789466815092062,0.260166596806767,0,LIRCMOP7_BC,1,50000,de
50600,0.0790012624840641,0.260149617943993,0,LIRCMOP7_BC,1,50000,de
50800,0.0790012624840641,0.260147128669518,0,LIRCMOP7_BC,1,50000,de
51000,0.0789988621880229,0.260148817708441,0,LIRCMOP7_BC,1,50000,de
51200,0.0789118811048604,0.260156479385764,0,LIRCMOP7_BC,1,50000,de
51400,0.0799699079491092,0.260358656002889,0,LIRCMOP7_BC,1,50000,de
51600,0.0799733724575395,0.260353843822303,0,LIRCMOP7_BC,1,50000,de
51800,0.0799733724575395,0.260353843822303,0,LIRCMOP7_BC,1,50000,de
52000,0.0729592270105168,0.262452460260419,0,LIRCMOP7_BC,1,50000,de
52200,0.072959823480864,0.262445964923617,0,LIRCMOP7_BC,1,50000,de
52400,0.072947814463078,0.262448696016698,0,LIRCMOP7_BC,1,50000,de
52600,0.0728224889146355,0.262481759800102,0,LIRCMOP7_BC,1,50000,de
52800,0.0715449955469226,0.26246812315858,0,LIRCMOP7_BC,1,50000,de
53000,0.0715449955469226,0.26246812315858,0,LIRCMOP7_BC,1,50000,de
53200,0.0716711969615621,0.262424333926417,0,LIRCMOP7_BC,1,50000,de
53400,0.0716920048272196,0.262423532077338,0,LIRCMOP7_BC,1,50000,de
53600,0.071662079428461,0.262440685325901,0,LIRCMOP7_BC,1,50000,de
53800,0.071662079428461,0.262440685325901,0,LIRCMOP7_BC,1,50000,de
54000,0.0716265235357259,0.262452387080251,0,LIRCMOP7_BC,1,50000,de
54200,0.0716265235357259,0.262452387080251,0,LIRCMOP7_BC,1,50000,de
54400,0.0715960471193003,0.262465012462532,0,LIRCMOP7_BC,1,50000,de
54600,0.0716252418187145,0.262455069868631,0,LIRCMOP7_BC,1,50000,de
54800,0.0716093527560337,0.262466601661109,0,LIRCMOP7_BC,1,50000,de
55000,0.0716093527560337,0.262466601661109,0,LIRCMOP7_BC,1,50000,de
50000,0.0791380824412716,0.260086534125296,0,LIRCMOP7_BC,1,50000,midpoint
50200,0.0837274025175418,0.261144364933878,20,LIRCMOP7_BC,1,50000,midpoint
50400,0.0833881127427721,0.261238928777595,0,LIRCMOP7_BC,1,50000,midpoint
50600,0.0833876284525275,0.261239767262391,0,LIRCMOP7_BC,1,50000,midpoint
50800,0.0833876284525275,0.261239767262391,0,LIRCMOP7_BC,1,50000,midpoint
51000,0.0833675201059786,0.261258859576791,0,LIRCMOP7_BC,1,50000,midpoint
51200,0.0708124878754141,0.26262163737829,0,LIRCMOP7_BC,1,50000,midpoint
51400,0.0708124878754141,0.26262163737829,0,LIRCMOP7_BC,1,50000,midpoint
51600,0.0708124878754141,0.26262163737829,0,LIRCMOP7_BC,1,50000,midpoint
51800,0.0708124878754141,0.262642609696236,0,LIRCMOP7_BC,1,50000,midpoint
52000,0.070785088683875,0.262636972584903,0,LIRCMOP7_BC,1,50000,midpoint
52200,0.0707771396090958,0.262638110592498,0,LIRCMOP7_BC,1,50000,midpoint
52400,0.0706377561054801,0.262716680363551,0,LIRCMOP7_BC,1,50000,midpoint
52600,0.0706377561054801,0.262965839833105,0,LIRCMOP7_BC,1,50000,midpoint
52800,0.0704062123939445,0.263034028481068,0,LIRCMOP7_BC,1,50000,midpoint
53000,0.0703992415787274,0.263034832372253,0,LIRCMOP7_BC,1,50000,midpoint
53200,0.0704279473769709,0.263018700996302,0,LIRCMOP7_BC,1,50000,midpoint
53400,0.0704246873352784,0.263023580955724,0,LIRCMOP7_BC,1,50000,midpoint
53600,0.0704616081616319,0.263020317725581,0,LIRCMOP7_BC,1,50000,midpoint
53800,0.0705386815310417,0.263104077518465,0,LIRCMOP7_BC,1,50000,midpoint
54000,0.0699902888205498,0.263232572506501,0,LIRCMOP7_BC,1,50000,midpoint
54200,0.0700318487063331,0.263201961312424,0,LIRCMOP7_BC,1,50000,midpoint
54400,0.0700318487063331,0.263201961312424,0,LIRCMOP7_BC,1,50000,midpoint
54600,0.0700202156085572,0.263207818293967,0,LIRCMOP7_BC,1,50000,midpoint
