problem,arm,n,finalIGDMean,finalIGDSD,lateIGDAUCMean,finalHVMean,pairedLateIGDAUCGeomean,pairedFinalIGDGeomean,lateIGDAUCWins
ALL,fallback_only,12,0.01233344186760945,0.00733340348683599,0.023085921989816245,0.2663180547650249,0.7938418603646628,1.0264676227491076,10
ALL,original,12,0.011330401898527024,0.0033773065339124525,0.033546996683410275,0.2669338981211149,1.0,1.0,0
ALL,pair_only,12,0.010492167354208026,0.004389982435866911,0.029066734770254773,0.26759271061300083,0.7983602066423634,0.8941241366376473,9
ALL,stable_no_side,12,0.01224357023415166,0.0048506392744714025,0.03773368021424727,0.26629493473263516,0.9309716607347719,1.047766716503468,8
ALL,stable_side,12,0.012327312222567293,0.004717858304833777,0.03971314625765418,0.2662610260227644,1.1226990918621198,1.0678349629425696,7
LIRCMOP5_BC,fallback_only,3,0.020488734592769935,0.012121053482117283,0.045812294086038534,0.284512115439217,0.7582995965051484,1.2280982541080712,2
LIRCMOP5_BC,original,3,0.015073531346130266,0.0018792809624284972,0.07338949759448947,0.28694218721533266,1.0,1.0,0
LIRCMOP5_BC,pair_only,3,0.014085509175275901,0.0012259961417989498,0.05910772289801597,0.28720573656642867,0.9250460505752978,0.9368778497052552,2
LIRCMOP5_BC,stable_no_side,3,0.0176341351547429,0.0008633290391008946,0.06992964879369233,0.285021964812863,1.1151518529801108,1.174900325463713,1
LIRCMOP5_BC,stable_side,3,0.018996570393717466,0.0038062357809226593,0.065090717285043,0.2846335409941417,0.8698188398421974,1.2484580529297804,3
LIRCMOP6_BC,fallback_only,3,0.011901532724307133,0.0017010472595857904,0.022702890372789334,0.193698926225397,0.6666091485325667,0.8610995906014115,3
LIRCMOP6_BC,original,3,0.0137410011904326,0.0008145554517736592,0.03332115781345037,0.19309082142043,1.0,1.0,0
LIRCMOP6_BC,pair_only,3,0.014266114926697633,0.004777878713324386,0.04025408492421237,0.19322664006481233,1.0104319522076592,1.0021004338939496,1
LIRCMOP6_BC,stable_no_side,3,0.015298684357229433,0.004173305306807799,0.0636825233597991,0.19247301970316033,1.4031346072884867,1.0849860724321883,1
LIRCMOP6_BC,stable_side,3,0.012724051903537132,0.0009115128357814995,0.059256985813655,0.193408427243765,1.4598702918380437,0.9254789117844168,1
LIRCMOP7_BC,fallback_only,3,0.008987896940064783,0.00040742270413076097,0.015321430426210104,0.29322684863543236,0.8593322481455206,1.0541999377843967,3
LIRCMOP7_BC,original,3,0.008524913749144948,0.0003620899900619731,0.01809699819826875,0.2936775296087187,1.0,1.0,0
LIRCMOP7_BC,pair_only,3,0.00691312690093621,0.00041613559765273415,0.009736765898226408,0.29502388733157664,0.5649931250673749,0.8104541989591889,3
LIRCMOP7_BC,stable_no_side,3,0.008007223373052933,0.0003357731824847288,0.00889248499304247,0.2939257220049553,0.530004874470939,0.9392848312723535,3
LIRCMOP7_BC,stable_side,3,0.008612581957873637,0.0006064553051253968,0.016888679335894087,0.293541969168854,0.8279068024906779,1.0092486450193463,2
LIRCMOP8_BC,fallback_only,3,0.007955603213295954,0.0004729837932847101,0.00850707307422701,0.29383432876005333,0.9142453920349495,0.995798661007257,2
LIRCMOP8_BC,original,3,0.00798216130840028,0.00022926279977455853,0.00938033312743251,0.2940250542399783,1.0,1.0,0
LIRCMOP8_BC,pair_only,3,0.0067039184139223605,0.0001364623432713316,0.007168365360564347,0.2949145784891857,0.7692755685324008,0.8399792866240152,3
LIRCMOP8_BC,stable_no_side,3,0.008034238051581374,0.00021854694857614018,0.008430063710455193,0.29375903240956197,0.9058006617027482,1.0065512617389154,3
LIRCMOP8_BC,stable_side,3,0.008976044635140935,0.0014946639899965255,0.01761620259602463,0.293460166684297,1.5112243879434395,1.1150077556898457,1
