problem,arm,n,finalIGDMean,finalIGDSD,lateIGDAUCMean,finalHVMean,pairedLateIGDAUCGeomean,pairedFinalIGDGeomean,lateIGDAUCWins
ALL,fallback_only,20,0.013224281371471153,0.004574921720498421,0.05363511552489697,0.2655812885351764,0.8760665061505409,0.9612795687449593,12
ALL,original,20,0.015129573008808907,0.010122601792837879,0.09231408808754875,0.2647859722334781,1.0,1.0,0
ALL,pair_only,20,0.012888936387404008,0.006380400252630584,0.07585773153146051,0.2661517982686982,0.8537643221044336,0.8803526410530444,12
ALL,stable_no_side,20,0.013083952997894303,0.0054437137782793335,0.07641203496280806,0.2658517551378834,1.0954972825068106,0.9339597627496392,10
LIRCMOP5_BC,fallback_only,5,0.01905858884007166,0.0036948480347216385,0.09636253066369266,0.2845108724151264,0.6557563482232224,0.7305570815350538,3
LIRCMOP5_BC,original,5,0.02750535534931162,0.012906485947340398,0.24296122451644475,0.28047610674160617,1.0,1.0,0
LIRCMOP5_BC,pair_only,5,0.02044674687592544,0.0051943219836324255,0.17329902033526162,0.28353070350328097,0.6721424653871828,0.7748001200881852,4
LIRCMOP5_BC,stable_no_side,5,0.01996115603229192,0.0047846715469079155,0.16879362575797147,0.2838314062881146,0.9060516224412178,0.7616509260084381,3
LIRCMOP6_BC,fallback_only,5,0.012773656550877619,0.0007990435270958537,0.05819704983139884,0.193204542571921,0.5512970296671925,0.8073477769136426,4
LIRCMOP6_BC,original,5,0.01615016551459588,0.003839261832940349,0.08716291203043768,0.1915204568930218,1.0,1.0,0
LIRCMOP6_BC,pair_only,5,0.01563248692941034,0.0020388123866022776,0.0892095597839668,0.192138398879331,0.9812734285227221,0.9829692202480775,3
LIRCMOP6_BC,stable_no_side,5,0.0145650661752985,0.002892182334133917,0.08298292208509186,0.1927656158443784,0.9189064064396107,0.9090279643123387,3
LIRCMOP7_BC,fallback_only,5,0.011129910496241837,0.0034014936553937295,0.02943664679021349,0.2918314460639194,1.2819295199324643,1.2279888849017322,2
LIRCMOP7_BC,original,5,0.00874782351299354,0.00030814745010570904,0.018683432834848503,0.2933821274178144,1.0,1.0,0
LIRCMOP7_BC,pair_only,5,0.008643707993996295,0.0036041062061190738,0.020116582225635823,0.2940750141660746,0.8836862375570719,0.9363241199143433,3
LIRCMOP7_BC,stable_no_side,5,0.009585327739213497,0.0016565552678385546,0.030062455549374593,0.2930545921071972,1.5782270915364438,1.0838824431796785,1
LIRCMOP8_BC,fallback_only,5,0.009934969598693496,0.0034272912518341376,0.030544234814282895,0.2927782930897388,1.271030587610944,1.1789342987466729,3
LIRCMOP8_BC,original,5,0.008114947658334589,0.00037374649085670326,0.020448782968464082,0.29376519788147,1.0,1.0,0
LIRCMOP8_BC,pair_only,5,0.006832803750283956,0.00024494331198685173,0.020805763780977815,0.2948630765261064,0.9115962787024123,0.8423079048064239,2
LIRCMOP8_BC,stable_no_side,5,0.008224262044773297,0.00027636371269946266,0.023809136458794296,0.2937554063118434,1.0961033434539058,1.0139050007771606,3
