problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP5_BC,1,cgan,first_true_use,5400,5400,0,2.60118658312184,0,100,61,47,18,15,3,18,0.15,7,0,7,20,45,0.343107224869072,0.589369839315055,2,1020,5100,105.810839541667,5400,15,20,20,0.065017755348151,1,5200,12,952.380952380952,1000,0.0728988863544216,5200,20,0.45,8,18,20,NaN,424,0.888576123270756
LIRCMOP5_BC,1,cgan,FE010000,10000,10000,0,1.24484510884437,0,100,43,25,50,31,19,50,0.31,8,2,10,55,152,0.155827458422769,0.258991324212318,24,1460,7300,157.897419708333,10000,31,11.0344827586207,20,0.0408016717588593,23,9800,33,10.1587301587302,20,0.0407055361514576,9800,20,0.05,0,0,480,NaN,504,0.101200040600388
LIRCMOP5_BC,1,cgan,FE030000,30000,30000,0,1.22895273735836,0,100,44,9,500,72,428,500,0.72,22,4,25,152,436,0.127828354251998,0.255875273130184,124,3460,17300,332.296291583333,30000,72,4.60431654676259,20,0.06537013181863,123,29800,68,4.92307692307692,20,0.0677349771414534,29800,20,0.25,0,0,2480,NaN,1400,-0.248629371105553
LIRCMOP5_BC,1,cgan,FE050000,50000,50000,0,0.084567717613793,0.262278305847622,100,82,76,7,4,3,7,0.04,0,0,0,110,27,0.108350565259602,0.257393282734479,176,4500,22500,430.173186666667,44600,8,20,20,0.0487841776073386,176,44600,8,20,20,0.0487841776073386,49800,20,0.15,0,0,4480,NaN,414,0
LIRCMOP5_BC,1,cgan,FE070000,70000,70000,0,0.0379442873779096,0.277045221071434,100,76,53,6,3,3,6,0.03,0,0,0,123,36,0.127248369503925,0.149865593801592,176,4500,22500,430.173186666667,44600,8,20,20,0.0487841776073386,176,44600,8,20,20,0.0487841776073386,69800,20,0.35,0,0,6480,NaN,412,0
LIRCMOP5_BC,1,cgan,FE100000,100000,100000,0,0.0203058932659386,0.283450150511487,100,87,49,19,6,13,19,0.06,0,11,11,142,25,0.0862930153108111,0.139592791337509,181,4600,23000,442.002898166667,99800,10,18.6666666666667,20,0.0361587976260029,181,99800,10,18.6666666666667,20,0.0361587976260029,99800,20,0.3,0,0,9480,NaN,454,0
LIRCMOP5_BC,2,cgan,first_true_use,5000,5000,0,1.47616774599645,0,100,74,47,10,10,0,10,0.1,7,4,7,11,22,0.700687727094509,0.889056295080255,2,1020,5100,106.152436833333,5000,10,20,20,0.0991300875025999,1,4800,9,1000,1000,0.0715742465305743,4800,20,0.25,1,14,20,NaN,420,1.68458583100785
LIRCMOP5_BC,2,cgan,FE010000,10000,10000,0,1.24278134283196,0,100,20,12,58,43,15,58,0.43,7,1,7,52,220,0.223613252591286,0.36738952024225,26,1500,7500,160.074103083333,10000,43,7.61904761904762,20,0.0596324640318263,25,9800,39,8.53333333333333,20,0.0599772771517521,9800,20,0.1,0,0,520,NaN,500,0.199793187633506
LIRCMOP5_BC,2,cgan,FE030000,30000,30000,0,0.326169885315924,0.158987751431117,100,49,46,25,11,14,25,0.11,10,0,10,23,60,0.304637986674451,0.768090837183967,119,3360,16800,330.744216666667,30000,11,20,20,0.0476405054280289,118,29800,12,18.9473684210526,20,0.0476127275916973,29800,20,0.15,0,0,2520,NaN,444,0
LIRCMOP5_BC,2,cgan,FE050000,50000,50000,0,0.0661636908973099,0.266780941676547,100,80,77,11,4,7,11,0.04,0,0,0,103,37,0.117434646095251,0.341087817550681,160,4180,20900,400.706043791667,39000,9,18.6666666666667,20,0.0758374149730854,160,39000,9,18.6666666666667,20,0.0758374149730854,49800,20,0.2,0,0,4520,NaN,422,0
LIRCMOP5_BC,2,cgan,FE070000,70000,70000,0,0.0224110068472085,0.283134345517255,100,87,66,24,11,13,24,0.11,0,6,6,126,25,0.100949805667382,0.231575833350897,179,4560,22800,443.614333166667,70000,11,20,20,0.0307453425040478,178,69800,9,18.6666666666667,20,0.0383001834943323,69800,20,0.5,0,0,6520,NaN,454,0
LIRCMOP5_BC,2,cgan,FE100000,100000,100000,0,0.014708496507556,0.287705614981729,100,94,72,15,7,8,15,0.07,0,0,0,122,11,0.10087555890105,0.153965439504257,189,4760,23800,463.727298458333,75800,8,20,20,0.034118588433907,189,75800,8,20,20,0.034118588433907,99800,20,0.65,0,0,9520,NaN,430,0
LIRCMOP5_BC,3,cgan,first_true_use,5000,5000,0,1.37590027092965,0,100,77,63,2,2,0,2,0.02,9,4,9,10,8,0.548245968464287,0.625684715332717,1,1000,5000,100.824638625,4800,9,941.176470588235,1000,0.0875619602801312,1,4800,9,941.176470588235,1000,0.0875619602801312,4800,20,0.35,5,13,20,NaN,420,0.238933409155249
LIRCMOP5_BC,3,cgan,FE010000,10000,10000,0,1.23448974752904,0,100,24,15,47,38,9,47,0.38,8,2,9,49,194,0.227048015884535,0.304437258947968,25,1480,7400,149.566523458333,10000,38,8.88888888888889,20,0.0557449676250136,24,9800,40,8.64864864864865,20,0.057352507030518,9800,20,0.2,2,0,520,NaN,500,0.456396206015807
LIRCMOP5_BC,3,cgan,FE030000,30000,30000,0,1.21384005604355,0,100,43,20,147,68,79,147,0.68,5,1,6,140,226,0.158037560181558,0.285776252858517,123,3440,17200,303.257844708333,30000,68,4.84848484848485,20,0.0585226643652505,122,29800,65,5.03937007874016,20,0.0575550654963926,29800,20,0.15,0,0,2520,NaN,688,0.0190356953378697
LIRCMOP5_BC,3,cgan,FE050000,50000,50000,0,0.78047303116087,0.0475347714566423,100,7,5,198,27,171,198,0.27,6,3,8,58,293,0.0760896244614926,0.279865050720053,222,5420,27100,454.993322083333,50000,27,12.5490196078431,20,0.0679291900422954,221,49800,26,12.5490196078431,20,0.0629460768386743,49800,20,0.2,0,0,4520,NaN,790,-0.306998415751705
LIRCMOP5_BC,3,cgan,FE070000,70000,70000,0,0.0773095338880616,0.265419335761328,100,78,54,14,4,10,14,0.04,0,1,1,126,38,0.152043784174583,0.184852581506456,235,5680,28400,473.337984,52600,11,18.9473684210526,20,0.0406290737198047,235,52600,11,18.9473684210526,20,0.0406290737198047,69800,20,0.3,0,0,6520,NaN,428,0
LIRCMOP5_BC,3,cgan,FE100000,100000,100000,0,0.0219753214076578,0.282744857489209,100,90,44,15,5,10,15,0.05,0,0,0,144,22,0.0962219561425667,0.13464824598813,259,6160,30800,511.422916875,97000,8,20,20,0.0259462006821189,259,97000,8,20,20,0.0259462006821189,99800,20,0.7,0,0,9520,NaN,430,0
LIRCMOP6_BC,1,cgan,first_true_use,5600,5600,0,1.44746873135013,0,100,83,71,4,4,0,4,0.04,6,2,7,13,19,0.659687482275656,0.753155128604589,1,1000,5000,103.881098791667,5400,8,933.333333333333,1000,0.0808132462984666,1,5400,8,933.333333333333,1000,0.0808132462984666,5400,20,0.5,4,11,20,NaN,416,0.422417409067508
LIRCMOP6_BC,1,cgan,FE010000,10000,10000,0,1.34978689688509,0,100,63,29,53,36,17,53,0.36,5,0,5,65,84,0.235291043703361,0.44798813493367,20,1380,6900,152.718461791667,10000,36,9.6969696969697,20,0.0576368324999055,19,9800,29,12.5490196078431,20,0.0563733699752334,9800,20,0.25,0,2,460,NaN,496,0.0564154103187463
LIRCMOP6_BC,1,cgan,FE030000,30000,30000,0,1.34680291442892,0,100,22,3,500,88,412,500,0.88,12,1,13,157,521,0.187825143813147,0.333859218923191,120,3380,16900,328.467888083333,30000,88,3.67816091954023,20,0.0762485582894645,119,29800,86,3.76470588235294,20,0.0768064003110208,29800,20,0,0,0,2460,NaN,1400,0.162300750205369
LIRCMOP6_BC,1,cgan,FE050000,50000,50000,0,0.271495878017453,0.135082639775417,100,85,85,34,12,22,34,0.12,4,3,7,85,30,0.14112383667164,0.260304077862025,217,5320,26600,522.521002166667,50000,12,18.9473684210526,20,0.0428485881177593,216,49800,10,18.8235294117647,20,0.0455335758577878,49800,20,0.05,0,0,4460,NaN,468,0
LIRCMOP6_BC,1,cgan,FE070000,70000,70000,0,0.151453759177139,0.15817837256121,100,90,72,48,13,35,48,0.13,1,0,1,122,18,0.143522348781972,0.346764249925924,293,6840,34200,691.378017166667,70000,13,20,20,0.0329322794375473,292,69800,11,20,20,0.0314170700369915,69800,20,0.45,0,0,6460,NaN,494,0
LIRCMOP6_BC,1,cgan,FE100000,100000,100000,0,0.0134389893320261,0.193093234847253,100,99,75,7,5,2,7,0.05,0,0,0,121,1,0.224754512106216,0.233625632202323,360,8180,40900,798.487418625,88800,8,20,20,0.0365985135531206,360,88800,8,20,20,0.0365985135531206,99800,20,0.1,0,0,8520,NaN,412,0
LIRCMOP6_BC,2,cgan,first_true_use,6600,6600,0,1.4977634970034,0,100,93,61,2,2,0,2,0.02,9,8,10,18,11,0.457151976780902,0.65730654263103,1,1000,5000,98.0739441666667,6400,10,1000,1000,0.10125592464176,1,6400,10,1000,1000,0.10125592464176,6400,20,0.5,4,7,20,NaN,420,1.45539046244243
LIRCMOP6_BC,2,cgan,FE010000,10000,10000,0,1.36005516235155,0,100,50,23,32,27,5,32,0.27,8,1,9,33,95,0.305167702544902,0.445352502387167,9,1160,5800,124.464201416667,10000,27,12.8,20,0.0659960791269086,8,9800,21,16,20,0.065527629194013,9800,20,0.2,0,4,360,NaN,452,-0.0243900878536069
LIRCMOP6_BC,2,cgan,FE030000,30000,30000,0,0.152445027101317,0.130773162447279,100,90,100,1,1,0,1,0.01,0,0,0,54,16,0.056827027797469,0.056827027797469,44,1860,9300,192.762381666667,17000,19,18.2857142857143,20,0.0632902451273471,44,17000,19,18.2857142857143,20,0.0632902451273471,29800,20,0,0,0,1980,NaN,402,0
LIRCMOP6_BC,2,cgan,FE050000,50000,50000,0,0.0688418316245707,0.168330071099492,100,79,76,2,1,1,2,0.01,0,2,2,104,34,0.131898856650538,0.131898856650538,44,1860,9300,192.762381666667,17000,19,18.2857142857143,20,0.0632902451273471,44,17000,19,18.2857142857143,20,0.0632902451273471,49800,20,0.1,0,0,3640,NaN,406,0
LIRCMOP6_BC,2,cgan,FE070000,70000,70000,0,0.0186376482408649,0.190645180450338,100,98,73,14,7,7,14,0.07,0,1,1,123,2,0.0788284481110639,0.146722556612986,96,2900,14500,295.62496675,69200,9,20,20,0.0215331132109493,96,69200,9,20,20,0.0215331132109493,69800,20,0.6,0,0,5640,NaN,430,0.0615324321497643
LIRCMOP6_BC,2,cgan,FE100000,100000,100000,0,0.0116976257879556,0.193970025749487,100,99,72,2,2,0,2,0.02,1,0,1,132,1,0.202471555558811,0.203073653538651,96,2900,14500,295.62496675,69200,9,20,20,0.0215331132109493,96,69200,9,20,20,0.0215331132109493,99800,20,0.5,0,0,5840,NaN,404,0
LIRCMOP6_BC,3,cgan,first_true_use,5600,5600,0,1.54933913888991,0,100,88,77,5,4,1,5,0.04,5,4,5,19,8,0.537598586828426,0.877075791190181,1,1000,5000,74.6197647083333,5400,8,933.333333333333,1000,0.096962206743533,1,5400,8,933.333333333333,1000,0.096962206743533,5400,20,0.75,6,8,20,NaN,420,0
LIRCMOP6_BC,3,cgan,FE010000,10000,10000,0,1.35414378917971,0,100,59,36,60,45,15,60,0.45,7,1,8,73,99,0.216098534374506,0.389480948847811,20,1380,6900,108.845821916667,10000,45,7.71084337349398,20,0.0578540968056244,19,9800,43,8.2051282051282,20,0.062114012461075,9800,20,0.15,1,4,460,NaN,514,0.179392029108551
LIRCMOP6_BC,3,cgan,FE030000,30000,30000,0,1.34847063045983,0,100,58,23,500,71,429,500,0.71,9,2,11,150,407,0.162627823248322,0.314007441809521,119,3360,16800,255.160727791667,30000,71,4.70588235294118,20,0.0719053241678681,118,29800,70,4.81203007518797,20,0.0691323121359001,29800,20,0.2,0,0,2460,NaN,1400,-0.229257350267898
LIRCMOP6_BC,3,cgan,FE050000,50000,50000,0,0.17764770653772,0.135788290485704,100,39,39,6,3,3,6,0.03,3,0,3,21,75,0.174108063508076,0.189675336701066,184,4660,23300,348.119293833333,43000,28,11.8518518518519,20,0.0895580919257692,184,43000,28,11.8518518518519,20,0.0895580919257692,49800,20,0.15,0,0,4460,NaN,410,0
LIRCMOP6_BC,3,cgan,FE070000,70000,70000,0,0.0253562221557042,0.188026403337748,100,97,93,16,8,8,16,0.08,0,3,3,111,3,0.0973856091818407,0.175608332254264,208,5140,25700,385.552163833333,70000,8,18.1818181818182,20,0.0241159940417536,207,69800,9,20,20,0.0259007886147628,69800,20,0.4,0,0,6460,NaN,438,-0.00243087215673114
