problem,mode,runs,IGDAUCMean,IGDAUCStd,finalIGDMean,finalIGDStd,finalHVMean,finalHVStd,quotaOccupancyMean,quotaOccupancyStd,postModelQuotaOccupancyMean,postModelQuotaOccupancyStd,nativeBandRateMean,nativeBandRateStd,projectionMedianMean,projectionMedianStd,uniqueGuidedUpdateRateMean,uniqueGuidedUpdateRateStd,trainingSecondsMean,trainingSecondsStd,wallSecondsMean,wallSecondsStd
LIRCMOP5_BC,cgan,3,0.671119732212261,0.169076082508064,0.0189965703937175,0.00380623578092268,0.284633540994142,0.00268376386828783,0.952571810287241,0.00231402913502856,1,0,NaN,NaN,NaN,NaN,0.0767784751031214,0.033030904892875,472.384371166667,35.5104693051834,571.274334194444,23.0087356803736
LIRCMOP6_BC,cgan,3,0.703447375630544,0.168234482853874,0.0127240519035371,0.000911512835781523,0.193408427243765,0.000487573122261679,0.774215096860387,0.164406029653137,0.818970865482493,0.169651553348569,NaN,NaN,NaN,NaN,0.107609243560223,0.0841628631071049,512.394934625,258.499264617638,609.513001958333,274.805361455091
LIRCMOP7_BC,cgan,3,0.306587164041185,0.022045300054279,0.00861258195787363,0.000606455305125398,0.293541969168854,0.000175272506270093,0.962591850367401,0.00306117280892174,1,0,NaN,NaN,NaN,NaN,0.280871276352302,0.0458947186865359,810.098434,266.313737665463,933.394381347222,302.643805349302
LIRCMOP8_BC,cgan,3,0.441449009615022,0.0375672264418871,0.00897604463514093,0.00149466398999651,0.293460166684297,0.000690040032112757,0.954575818303273,0.00306117280892174,1,0,NaN,NaN,NaN,NaN,0.322816775201602,0.0215069087246295,804.323722569444,266.373225035906,926.160013277778,307.382135187143
