problem,mode,stage,GroupCount,mean_actualFE,mean_IGD,mean_HV,mean_activePairs,mean_eligiblePairs,mean_archivePairs,mean_p1Feasible,mean_p2Feasible,mean_gapMedian,mean_trainingEvents,mean_generatorUpdates,mean_lastTrainingEndpointRMSE,mean_selectedFeasibleRate,mean_cumulativeGuided
LIRCMOP5_BC,cgan,FE010000,3,10000,1.24070539973512,0,37.3333333333333,51.6666666666667,51.6666666666667,100,29,0.202162908966197,25,1480,0.0520597011385664,0.116666666666667,506.666666666667
LIRCMOP5_BC,cgan,FE030000,3,30000,0.922987559572611,0.0529959171437057,50.3333333333333,224,224,100,45.3333333333333,0.196834633702669,122,3420,0.0571777672039698,0.183333333333333,2506.66666666667
LIRCMOP5_BC,cgan,FE050000,3,50000,0.310401479890658,0.192198006326937,11.6666666666667,72,72,100,56.3333333333333,0.100624945272115,186,4700,0.0641835942075731,0.183333333333333,4506.66666666667
LIRCMOP5_BC,cgan,FE070000,3,70000,0.0458882760377266,0.275199634116672,6,14.6666666666667,14.6666666666667,100,80.3333333333333,0.126747319781963,196.666666666667,4913.33333333333,0.040052864610397,0.383333333333333,6506.66666666667
LIRCMOP5_BC,cgan,FE100000,3,100000,0.0189965703937175,0.284633540994142,6,16.3333333333333,16.3333333333333,100,90.3333333333333,0.0944635101181426,209.666666666667,5173.33333333333,0.0320745289140096,0.55,9506.66666666667
LIRCMOP5_BC,cgan,first_true_use,3,5133.33333333333,1.81775153334931,0,9,10,10,100,70.6666666666667,0.530680306809289,1.66666666666667,1013.33333333333,0.083903267710294,0.35,20
LIRCMOP6_BC,cgan,FE010000,3,10000,1.35466194947212,0,36,48.3333333333333,48.3333333333333,100,57.3333333333333,0.25218576020759,16.3333333333333,1306.66666666667,0.0604956694774795,0.2,426.666666666667
LIRCMOP6_BC,cgan,FE030000,3,30000,0.949239523996689,0.043591054149093,53.3333333333333,333.666666666667,333.666666666667,100,56.6666666666667,0.135759998286313,94.3333333333333,2866.66666666667,0.0704813758615599,0.0666666666666667,2300
LIRCMOP6_BC,cgan,FE050000,3,50000,0.172661805393248,0.146400333786871,5.33333333333333,14,14,100,67.6666666666667,0.149043585610085,148.333333333333,3946.66666666667,0.0652323083902919,0.1,4186.66666666667
LIRCMOP6_BC,cgan,FE070000,3,70000,0.0651492098579027,0.178949985449765,9.33333333333333,26,26,100,95,0.106578802024959,199,4960,0.0261937955634167,0.483333333333333,6186.66666666667
LIRCMOP6_BC,cgan,FE100000,3,100000,0.0127240519035371,0.193408427243765,3.33333333333333,5.66666666666667,5.66666666666667,100,99,0.210390235583049,239.333333333333,5766.66666666667,0.0270979104911189,0.266666666666667,7726.66666666667
LIRCMOP6_BC,cgan,first_true_use,3,5933.33333333333,1.49819045574781,0,3.33333333333333,3.66666666666667,3.66666666666667,100,88,0.551479348628328,1,1000,0.0930104592279199,0.583333333333333,20
LIRCMOP7_BC,cgan,FE010000,3,10000,0.181444086440423,0.228522918541714,38.3333333333333,50,50,100,26.3333333333333,0.181070121912414,26.6666666666667,1513.33333333333,0.0473276374961901,0.0666666666666667,606.666666666667
LIRCMOP7_BC,cgan,FE030000,3,30000,0.103112251666424,0.252816114042645,62.6666666666667,434.333333333333,434.333333333333,100,42.6666666666667,0.131350787800092,126,3500,0.0543618909535446,0.0666666666666667,2606.66666666667
LIRCMOP7_BC,cgan,FE050000,3,50000,0.0390758705501017,0.280007963566326,82.3333333333333,500,500,100,17,0.119701526899515,226,5500,0.0685410707998595,0.0833333333333333,4606.66666666667
LIRCMOP7_BC,cgan,FE070000,3,70000,0.0136666866077993,0.291221098473508,87,500,500,100,0.333333333333333,0.122481759253933,325.333333333333,7486.66666666667,0.0918448602655547,0.05,6606.66666666667
LIRCMOP7_BC,cgan,FE100000,3,100000,0.00861258195787364,0.293541969168854,96.3333333333333,500,500,100,1,0.111244943677315,473.666666666667,10453.3333333333,0.103190254936563,0.0333333333333333,9606.66666666667
LIRCMOP7_BC,cgan,first_true_use,3,4133.33333333333,2.17596516592651,0,5,5.66666666666667,5.66666666666667,100,79,0.600618970312524,1,1000,0.111943241557853,0.466666666666667,20
LIRCMOP8_BC,cgan,FE010000,3,10000,1.32373603125804,0.0497735017959423,37.3333333333333,49,49,100,50,0.265822540208076,23.6666666666667,1453.33333333333,0.0640941667045776,0.166666666666667,526.666666666667
LIRCMOP8_BC,cgan,FE030000,3,30000,0.101980902422794,0.257052089565467,70.3333333333333,320.333333333333,320.333333333333,100,19.6666666666667,0.12096689257073,123.333333333333,3446.66666666667,0.0469175546225631,0,2526.66666666667
LIRCMOP8_BC,cgan,FE050000,3,50000,0.0317688572663559,0.283413469113402,86.6666666666667,500,500,100,2.33333333333333,0.121334295648211,223.333333333333,5446.66666666667,0.0644788752739383,0.166666666666667,4526.66666666667
LIRCMOP8_BC,cgan,FE070000,3,70000,0.0212426460253556,0.286156165843634,87.6666666666667,500,500,100,0.666666666666667,0.131201336508084,322.666666666667,7433.33333333333,0.0701490772142517,0.15,6526.66666666667
LIRCMOP8_BC,cgan,FE100000,3,100000,0.00897604463514094,0.293460166684297,90.3333333333333,500,500,100,0,0.105649125454793,471.333333333333,10406.6666666667,0.0795842666171683,0.116666666666667,9526.66666666667
LIRCMOP8_BC,cgan,first_true_use,3,4933.33333333333,1.87617212622285,0,2,2,2,100,80.3333333333333,0.415167978946599,1,1000,0.10601086852703,0.333333333333333,20
