problem,seed,mode,guideQuota,guideFull,firstModelFE,firstGuidedFE,trainingEvents,postModelQuotaOccupancy,quotaOccupancy,fallbackRate,positiveUseRate,modelServiceRate,queryRate,nativeBandRate,projectionMedian,coarseIntervalProposals,certifiedIntervalProposals,nativeCertifiedBandRate,pendingPassRate,fullEvaluationRate,uniqueGuidedUpdateRate,logShrinkPerGuideFE,netGapReduction,survivedP1,survivedP2,retainedP1After1,retainedP1After5,retainedP1After10,penalizedGapAUC,pairCoverageAUC,IGDAUC,HVAUC,finalIGD,finalHV,trainingSeconds,wallSeconds,searchFE,CalObjRows,CalConRows
LIRCMOP5_BC,1,cgan,9980,9480,5200,5281,181,1,0.949899799599198,0.0501002004008016,0.949899799599198,0.951807228915663,0.951807228915663,NaN,NaN,NaN,NaN,NaN,0.04,1,0.094831223628692,0.0322069530679762,6.85607773278828,0.0110759493670886,0.0291139240506329,95,62,35,4.49760311351751,0.00731462925851703,0.681704429430738,0.173840477730828,0.0203058932659386,0.283450150511487,442.002898166667,550.924647708333,100000,200000,100000
LIRCMOP5_BC,2,cgan,9980,9520,4800,4881,189,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.038655462184874,0.0154352101761265,12.2581351239675,0.0092436974789916,0.0184873949579832,75,50,31,4.89886897992776,0.00152304609218437,0.496999972277525,0.201316723689196,0.014708496507556,0.287705614981729,463.727298458333,566.656624833333,100000,200000,100000
LIRCMOP5_BC,3,cgan,9980,9520,4800,4881,259,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0968487394957983,0.0378757301168111,-8.90211530601737,0.00955882352941177,0.0141806722689076,78,52,31,3.97346846957941,0.0102605210420842,0.83465479492852,0.127153280242246,0.0219753214076578,0.282744857489209,511.422916875,596.241730041667,100000,200000,100000
LIRCMOP6_BC,1,cgan,9980,8520,5400,5481,360,0.900634249471459,0.853707414829659,0.146292585170341,0.853707414829659,0.855421686746988,0.855421686746988,NaN,NaN,NaN,NaN,NaN,0.04,1,0.111854460093897,0.0535091489416473,11.7776369810674,0.00915492957746479,0.0208920187793427,69,52,45,4.35161538009696,0.00346693386773547,0.778255267671975,0.103541359961249,0.0134389893320261,0.193093234847253,798.487418625,916.047790458333,100000,200000,100000
LIRCMOP6_BC,2,cgan,9980,5840,6400,6481,96,0.623931623931624,0.585170340681363,0.414829659318637,0.585170340681363,0.586345381526104,0.586345381526104,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0214041095890411,0.00664787315214918,2.53332769636278,0.00530821917808219,0.0251712328767123,29,26,17,5.17728137723186,0.00114228456913828,0.510783403565297,0.137608473774086,0.0116976257879556,0.193970025749487,295.62496675,385.215302458333,100000,200000,100000
LIRCMOP6_BC,3,cgan,9980,8820,5400,5481,262,0.932346723044397,0.88376753507014,0.11623246492986,0.88376753507014,0.885542168674699,0.885542168674699,NaN,NaN,NaN,NaN,NaN,0.04,1,0.189569160997732,0.0984999373664536,12.0982075880717,0.00918367346938776,0.0196145124716553,73,57,40,4.01312094019921,0.00743486973947896,0.821303455654361,0.0978903676479424,0.0130355405906297,0.193162021134555,443.0724185,527.275912958333,100000,200000,100000
LIRCMOP7_BC,1,cgan,9980,9580,4200,4281,474,1,0.959919839679359,0.0400801603206413,0.959919839679359,0.961847389558233,0.961847389558233,NaN,NaN,NaN,NaN,NaN,0.04,1,0.328496868475992,0.113922202686531,15.3137761347853,0.0104384133611691,0.0304801670146138,92,77,60,1.32477960341886,0.0172745490981964,0.318002122810454,0.257497660286207,0.00836986639270363,0.293584845927233,971.30530475,1116.63537425,100000,200000,100000
LIRCMOP7_BC,2,cgan,9980,9640,3600,3681,476,1,0.965931863727455,0.0340681362725451,0.965931863727455,0.967871485943775,0.967871485943775,NaN,NaN,NaN,NaN,NaN,0.04,1,0.236929460580913,0.114856375425269,-4.4165046411903,0.0107883817427386,0.0191908713692946,96,74,59,2.01734099916071,0.0187975951903808,0.320584234681992,0.250788241405038,0.00930280255602395,0.293349236775912,956.281826916667,1099.47589654167,100000,200000,100000
LIRCMOP7_BC,3,cgan,9980,9600,4000,4081,471,1,0.961923847695391,0.0380761523046092,0.961923847695391,0.963855421686747,0.963855421686747,NaN,NaN,NaN,NaN,NaN,0.04,1,0.2771875,0.107404140833562,-9.74756905526336,0.00979166666666667,0.0351041666666667,90,73,56,1.41910822801434,0.0323647294589178,0.281175134631109,0.263333241319714,0.00816507692489333,0.293691824803417,502.708170333334,584.07187325,100000,200000,100000
LIRCMOP8_BC,1,cgan,9980,9500,5000,5081,473,1,0.95190380761523,0.0480961923847695,0.95190380761523,0.953815261044177,0.953815261044177,NaN,NaN,NaN,NaN,NaN,0.04,1,0.321894736842105,0.125355784418036,27.330245807688,0.0144210526315789,0.0361052631578947,130,104,75,1.75133069694494,0.0172645290581162,0.435382946450946,0.238062195101062,0.0107017651816308,0.292671612740269,975.531584499999,1122.642722,100000,200000,100000
LIRCMOP8_BC,2,cgan,9980,9520,4800,4881,473,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.301785714285714,0.124586321536114,-20.7420724275112,0.0156512605042017,0.0353991596638655,138,112,96,1.43818352593969,0.0332064128256513,0.407283940965959,0.249398540402871,0.00809228245864822,0.293755487838204,940.012801041665,1083.90632641667,100000,200000,100000
LIRCMOP8_BC,3,cgan,9980,9560,4400,4481,468,1,0.957915831663327,0.0420841683366733,0.957915831663327,0.959839357429719,0.959839357429719,NaN,NaN,NaN,NaN,NaN,0.04,1,0.344769874476987,0.182566423647118,20.6325288293323,0.0187238493723849,0.0570083682008368,164,122,99,1.84701836852919,0.0120340681362725,0.481680141428162,0.23096653541724,0.00813408626514379,0.293953399474418,497.426782166666,571.930991416667,100000,200000,100000
