problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_y,13,27,1,0.09,27,0,0.00669257702510345,0.0233916909961876,27,20,4,0.00140398315220217,100,1.00384213939298,1.343793047838,0,4,16,20,19,0.740740740740741,0.00914018641912964,0.0220654421049255,0,0.0224981022406516,NaN,0.65,0.0590870198388283,1,0.0167422824496937,0.0227114603946554,0.0207970600088847,0.0239905647331598,0.95,400,30,460,460,175,285,43,9,50,9,7227,0,27,27,27,27,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,14,24,1,0.08,24,0,0.00845046406814016,0.0253257499097684,24,20,4,0.00124798502417971,100,1.18305827539072,1.39393684259296,0,4,16,20,0,0.833333333333333,0.182421846805196,0.201652401520216,0,0.201652401520216,NaN,0.75,0.0985198517692011,0,0.184400131665043,0.201652401520216,0.189964924737949,0.203776609360814,0,400,27,454,454,172,282,47,9,56,9,6885,0,27,27,27,27,24,24,24,24,24,0,20
DASCMOP1_BC,1,ref_y,15,33,1,0.11,33,0,0.00710598647036133,0.0132342680117141,33,20,4,0.0017159794082471,96.969696969697,0.894870028921225,1.35791469843635,0,0,20,20,0,0.606060606060606,0.283637092872083,0.297268012947363,0,0.298212933164968,NaN,0.65,0.0304059599175742,0,0.284787145388945,0.298502280932994,NaN,0.298502280932994,0,400,24,448,448,149,299,45,13,79,13,6659,0,39,39,39,39,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,16,27,1,0.09,27,0,0.00401078878917342,0.0153693000081788,27,20,4,0.00140398315220217,100,1.00384213939298,1.3317152585815,0,3,17,20,0,0.740740740740741,0.0790754774535865,0.0849789617974012,0,0.0849942460740451,NaN,0.85,0.0608945872314742,0,0.0792633497586331,0.0850284974614855,0.0815748378015449,0.0852142812499479,0,400,33,466,466,169,297,54,10,75,10,8292,0,30,30,30,30,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,17,30,1,0.1,30,0,0.00715955826192064,0.0213184508051256,30,20,4,0.00155998128022464,100,1.05143308988455,1.37142300249508,0,2,18,20,0,0.666666666666667,0.614914962100192,0.635362679326965,0,0.636288485591857,NaN,0.6,0.0796126355405898,0,0.615682204045632,0.636583397160198,0.622186955225673,0.637118387102046,0,400,27,454,454,160,294,49,11,72,11,6567,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,18,36,1,0.12,36,0,0.00354314792527098,0.00663757639152124,36,20,4,0.00187197753626956,88.8888888888889,0.894870028921225,1.34890916239719,0,0,20,20,3,0.555555555555556,0.0527900181429921,0.0573223190767609,0,0.0597103085657938,NaN,0.75,0.104626211100592,0.25,0.0548455298046389,0.0598231791807401,NaN,0.0598231791807401,0.15,400,30,460,460,167,293,55,13,84,13,6973,0,39,39,39,39,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,19,33,1,0.11,33,0,0.00466632477367925,0.0094946847119929,33,20,4,0.0017159794082471,96.969696969697,0.898486805489069,1.35791469843635,0,0,20,20,0,0.606060606060606,0.307601378411194,0.311990362725543,0,0.313586826387058,NaN,0.75,0.0461690425880801,0,0.308689151574754,0.313669458291501,NaN,0.313669458291501,0,400,36,472,472,174,298,61,12,81,12,7858,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,20,33,1,0.11,33,0,0.00577005977641017,0.0198401634487149,33,20,4,0.0017159794082471,96.969696969697,0.822031280225827,1.21893340236374,0,1,19,20,20,0.606060606060606,0.0247101616054911,0.0282476336814358,0,0.0288940950488404,NaN,0.45,-0.00979822390474838,1,0.0250081694664644,0.0288940950488404,0.0272395668848451,0.028903252625231,1,400,33,466,466,171,295,52,11,86,11,6464,0,33,33,33,33,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,21,30,1,0.1,30,0,0.00523851913283356,0.0105205658211089,30,20,4,0.00155998128022464,100,0.898486805489069,1.23992376083075,0,2,18,20,0,0.666666666666667,0.383048669118082,0.384548532235095,0,0.386587830904926,NaN,0.3,-0.0565525968892375,0,0.385410426610425,0.387087529944764,0.387037351588147,0.386973085110747,0,400,33,466,466,165,301,56,11,89,11,6878,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,22,36,1,0.12,36,0,0.00722892538455454,0.0215221366284882,36,20,4,0.00187197753626956,88.8888888888889,0.896326633190342,1.28165502492069,0,1,19,20,0,0.555555555555556,0.112154648465241,0.117090870841507,0,0.119813023636136,NaN,0.4,-0.0247959105556038,0,0.115001336618464,0.119813023636136,0.112372136940953,0.119881627071733,0,400,30,460,460,162,298,57,12,84,12,7664,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,23,24,1,0.08,24,0,0.00334748390849271,0.0083586557177586,24,20,4,0.00124798502417971,100,0.829731954970325,1.34890916239719,0,2,18,20,20,0.833333333333333,0.0225627870640363,0.0257359630329133,0,0.0267692201599844,NaN,0.75,0.142087192528166,1,0.0232915610098892,0.0267338654696831,0.0246787558803745,0.0267658476233894,1,400,36,472,472,168,304,64,11,91,11,8100,0,33,33,33,33,24,24,24,24,24,0,20
DASCMOP1_BC,1,ref_y,24,33,1,0.11,33,0,0.00522498499826288,0.0151447863829694,33,20,4,0.0017159794082471,96.969696969697,0.840477000900992,1.2801335471344,0,1,19,20,0,0.606060606060606,0.375227590625477,0.385714085163966,0,0.386348288763574,NaN,0.85,0.0542946173541894,0,0.375854871900063,0.386997171174387,0.38680783164996,0.386365385707826,0,400,24,448,448,156,292,53,12,86,12,6383,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,25,30,1,0.1,30,0,0.0040383118578334,0.00599552600403426,30,20,4,0.00155998128022464,100,0.607572070206945,1.30592440285795,0,1,19,20,0,0.666666666666667,0.293397773887585,0.303669038543859,0,0.303922933684692,NaN,0.8,0.0528873697023209,0,0.293679879587527,0.304247465079498,0.307105415637458,0.300976372884573,0,400,33,466,466,168,298,55,11,76,11,6664,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,26,30,1,0.1,30,0,0.00395147781386904,0.00761932754066731,30,20,4,0.00155998128022464,100,0.829731954970325,1.23411677940556,0,1,19,20,0,0.666666666666667,0.0231430829217914,0.0242448057327543,0,0.0256879472350556,NaN,0.55,0.0152625893960555,0,0.0232640016830611,0.0257587784153255,0.0265902066892838,0.0253172179186131,0,400,30,460,460,169,291,56,11,75,11,6540,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,27,27,1,0.09,27,0,0.00323523278815249,0.00457795807241495,27,20,4,0.00140398315220217,100,0.915505983666912,1.34436317090113,0,1,19,20,0,0.740740740740741,0.277251637840816,0.289998037638403,0,0.290045243875631,NaN,0.55,0.00431870753606367,0,0.277936343258911,0.290045243875631,0.251714412167956,0.290125765155573,0,400,30,460,460,159,301,56,11,78,11,6842,0,33,33,33,33,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,28,30,1,0.1,30,0,0.00348530129766182,0.00596534872043224,30,20,4,0.00155998128022464,100,0.829731954970325,1.23411677940556,0,0,20,20,0,0.666666666666667,0.346455879325441,0.354725226109399,0,0.355857790561672,NaN,0.55,0.0017330178271987,0,0.348157066636401,0.355872505209579,NaN,0.355872505209579,0,400,27,454,454,154,300,53,11,90,11,6264,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,29,28,1,0.1,28,0,0.00271600475549512,0.00580067962523706,28,20,4,0.00145598252820966,100,0.743957926273739,1.28003373260221,0,0,20,20,0,0.714285714285714,0.0178920260789015,0.0250155190411577,0,0.0266472310203969,NaN,0.6,0.00154582833059541,0,0.0181174022491064,0.0266472310203969,NaN,0.0266472310203969,0,400,30,460,460,162,298,56,11,85,11,6748,0,33,33,33,33,28,28,28,28,28,0,20
DASCMOP1_BC,1,ref_y,30,33,1,0.11,33,0,0.00259157152766131,0.0116402495690824,33,20,4,0.0017159794082471,96.969696969697,0.859706704103255,1.33305940306486,0,0,20,20,0,0.606060606060606,0.221738528826769,0.234700377692068,0,0.235708034402177,NaN,0.7,0.105806729070699,0,0.222299147811478,0.235768294081392,NaN,0.235768294081392,0,400,28,456,456,159,297,55,12,89,12,6372,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,31,33,1,0.11,33,0,0.00402889511170562,0.0126457083855143,33,20,4,0.0017159794082471,96.969696969697,0.743957926273739,1.13991844068049,0,0,20,20,0,0.606060606060606,0.143279412353096,0.148437467774326,0,0.150968167223465,NaN,0.7,0.0437594442330497,0,0.144668792425589,0.150968167223465,NaN,0.150968167223465,0,400,33,466,466,172,294,60,12,98,12,6169,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,32,30,1,0.1,30,0,0.00290448836008652,0.00673092760656892,30,20,4,0.00155998128022464,100,0.691840175224807,1.33754418365703,0,0,20,20,20,0.666666666666667,0.00733678543529686,0.0104125465102619,0,0.013010794321053,NaN,0.75,0.0436552448885978,1,0.0103687676919021,0.0131621796531841,NaN,0.0131621796531841,1,400,33,466,466,166,300,60,12,100,12,6651,0,36,36,36,36,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,33,30,1,0.1,30,0,0.00274379707853759,0.0071685713360565,30,20,4,0.00155998128022464,100,0.503834381149513,1.21828996132425,0,0,20,20,20,0.666666666666667,0.0373644337134639,0.0390356240152386,0,0.0395767728327592,NaN,0.65,0.00387325672304506,1,0.0382475461690771,0.0397754824174926,NaN,0.0397754824174926,1,400,30,460,460,167,293,58,12,98,12,5762,0,36,36,36,36,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,34,30,1,0.1,30,0,0.00292565601313326,0.0074735504428831,30,20,4,0.00155998128022464,100,0.433027275597806,1.4033442630496,0,0,20,20,0,0.666666666666667,0.104970300646606,0.110179936049778,0,0.110673140219843,NaN,0.55,0.00159236498899756,0,0.105191035542665,0.110916522956837,NaN,0.110916522956837,0,400,30,460,460,154,306,58,12,100,12,6200,0,36,36,36,36,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,35,30,1,0.1,30,0,0.00327381528777624,0.00747397632420005,30,20,4,0.00155998128022464,100,0.594742584046176,1.2526272944168,0,0,20,20,2,0.666666666666667,0.0508107570540718,0.0553750644779546,0,0.0564174269975965,NaN,0.85,0.137537929977691,0.2,0.0511477726796371,0.0564204373259881,NaN,0.0564204373259881,0.1,400,30,460,460,163,297,58,12,100,12,5573,0,36,36,36,36,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,36,30,1,0.1,30,0,0.00222642515660281,0.00669360230833152,30,20,4,0.00155998128022464,100,0.100911788715454,1.2526272944168,0,0,20,20,0,0.666666666666667,0.101273862364056,0.11134108748784,0,0.111634378081982,NaN,0.7,0.160576370215446,0,0.102363909054709,0.111634378081982,NaN,0.111634378081982,0,400,30,460,460,164,296,58,12,100,12,5839,0,36,36,36,36,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,37,27,1,0.1,27,0,0.00217747215177404,0.00902470544668217,27,20,4,0.00140398315220217,100,0.100911788715454,1.43600532344104,0,1,19,20,0,0.740740740740741,0.145802312126896,0.15700134030676,0,0.157387768096578,NaN,0.7,0.255393226750164,0,0.146179699727999,0.157396315591177,0.141773305737638,0.157557351656806,0,400,30,460,460,163,297,58,11,100,11,5722,0,33,33,33,33,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,38,33,1,0.12,33,0,0.00228677097194218,0.0119596068649188,33,20,4,0.0017159794082471,96.969696969697,0.478266162306336,1.26403476502658,0,1,19,20,0,0.606060606060606,0.181986852688302,0.191081205890909,0,0.191507823921818,NaN,0.7,0.0606992065307922,0,0.182315957940875,0.191532656518201,0.192596603181761,0.190187942365921,0,400,27,454,454,164,290,56,12,100,12,5198,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,39,33,1,0.11,33,0,0.00231617286299796,0.0060271089861986,33,20,4,0.0017159794082471,96.969696969697,0.61988037340975,1.19485817362856,0,0,20,20,5,0.606060606060606,0.00295765416869674,0.00431539221095113,0,0.0120840299607235,NaN,0.55,0.00140757292552968,0.272727272727273,0.00516097543775717,0.0125439753023098,NaN,0.0125439753023098,0.25,400,33,466,466,165,301,62,12,95,12,6128,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,40,33,1,0.11,33,0,0.00193873074886605,0.00648500437824507,33,20,4,0.0017159794082471,96.969696969697,0.881491044887262,1.37068320265815,0,0,20,20,10,0.606060606060606,0.0459584714471863,0.055105678063662,0,0.0592369299340126,NaN,0.55,0.00325036153459879,0.818181818181818,0.048786718760267,0.0592369299340126,NaN,0.0592369299340126,0.5,400,33,466,466,165,301,65,12,93,12,6507,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,41,36,1,0.12,36,0,0.00277358075288453,0.0107798611877148,36,20,4,0.00187197753626956,88.8888888888889,0.521997795342092,1.34890916239719,0,1,19,20,10,0.555555555555556,0.0476166144005404,0.0535685539112118,0,0.0560082645393904,NaN,0.5,-0.0043617019484008,0.916666666666667,0.048542310352871,0.0560082645393904,0.0529113844711215,0.0561952123635037,0.5,400,33,466,466,166,300,65,12,98,12,6522,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,42,36,1,0.12,36,0,0.00274843445470259,0.0116018696898829,36,20,4,0.00187197753626956,88.8888888888889,0.521997795342092,1.320696738135,0,0,20,20,0,0.555555555555556,0.219158273820095,0.228912132432714,0,0.229512711959705,NaN,0.45,-0.00256904562791649,0,0.21927578753384,0.229519272616045,NaN,0.229519272616045,0,400,36,472,472,177,295,70,12,100,12,6346,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,43,36,1,0.12,36,0,0.00336124091075153,0.0136902693125661,36,20,4,0.00187197753626956,88.8888888888889,0.723610236632555,1.21924553185766,0,1,19,20,0,0.555555555555556,0.0742044017578611,0.0775751021348842,0,0.0786080233025036,NaN,0.4,-0.00413899915273752,0,0.0744013696385536,0.0786843777947486,0.0762804570091276,0.0787279677042919,0,400,36,472,472,171,301,70,12,100,12,6329,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,44,30,1,0.1,30,0,0.00221312950105704,0.00610882544453372,30,20,4,0.00155998128022464,100,0.289588975510895,1.3348029502661,0,1,19,20,0,0.666666666666667,0.249382335408048,0.25832766394405,0,0.258760989970029,NaN,0.7,0.113526150391506,0,0.250814515338228,0.259071242155128,0.25214495289092,0.259247272627336,0,400,36,472,472,165,307,70,11,98,11,7336,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,45,33,1,0.11,33,0,0.00241837928795877,0.00659793277938484,33,20,4,0.0017159794082471,96.969696969697,0.478266162306336,1.32633922298744,0,0,20,20,0,0.606060606060606,0.0575459589747801,0.0605485476355924,0,0.0605618782609903,NaN,0.85,0.0695868852981114,0,0.0586031638753991,0.0606267340168395,NaN,0.0606267340168395,0,400,30,460,460,154,306,64,12,100,12,6252,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,46,33,1,0.11,33,0,0.0018919077267293,0.00539950891913136,33,20,4,0.0017159794082471,96.969696969697,0.860971354586335,1.24517825796556,0,0,20,20,14,0.606060606060606,0.0466851409048521,0.0495417532676917,0,0.0501138492793288,NaN,0.75,0.0581082357973666,1,0.0471011209061409,0.0501395801649755,NaN,0.0501395801649755,0.7,400,33,466,466,172,294,68,12,100,12,5696,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,47,36,1,0.12,36,0,0.00257628997214652,0.0100089755765495,36,20,4,0.00187197753626956,88.8888888888889,0.521997795342092,1.34890916239719,0,1,19,20,0,0.555555555555556,0.0287396236204011,0.0305189524376128,0,0.0324809383712361,NaN,0.45,-0.00965910024485744,0,0.0310676422276686,0.0326604771522865,0.0326967337083449,0.0325095948162345,0,400,33,466,466,166,300,69,12,100,12,6488,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,48,33,1,0.11,33,0,0.00235767299152461,0.00625095484708158,33,20,4,0.0017159794082471,96.969696969697,0.61988037340975,1.37068320265815,0,0,20,20,0,0.606060606060606,0.135291933922198,0.142025221911141,0,0.142377440985198,NaN,0.4,-0.0210628924854701,0,0.135634056906098,0.142377440985198,NaN,0.142377440985198,0,400,36,472,472,176,296,73,12,100,12,6541,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,49,33,1,0.11,33,0,0.00201489192494608,0.00598897954838658,33,20,4,0.0017159794082471,96.969696969697,0.478266162306336,1.27622072787406,0,0,20,20,20,0.606060606060606,0.0343108572813274,0.0366964890346509,0,0.0373257097523929,NaN,0.45,-0.0136548672632963,1,0.0357822515899357,0.0372929786514653,NaN,0.0372929786514653,1,400,33,466,466,172,294,67,12,100,12,5911,0,36,36,36,36,33,33,33,33,33,0,20
