problem,seed,mode,sourceHash,finalFE,initialExactReplay,generatorUpdates,trainingEvents,queries,archiveEligibilityVerified,nativeCoordinatesVerified
LIRCMOP5_BC,1,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,6680,285,474,1,1
LIRCMOP5_BC,1,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP5_BC,1,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,447,1,1
LIRCMOP5_BC,2,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,3300,116,476,1,1
LIRCMOP5_BC,2,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP5_BC,2,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,478,1,1
LIRCMOP5_BC,3,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,7060,304,476,1,1
LIRCMOP5_BC,3,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP5_BC,3,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,479,1,1
LIRCMOP6_BC,1,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,5600,231,348,1,1
LIRCMOP6_BC,1,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP6_BC,1,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,362,1,1
LIRCMOP6_BC,2,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,2220,62,298,1,1
LIRCMOP6_BC,2,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP6_BC,2,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,164,1,1
LIRCMOP6_BC,3,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,5100,206,376,1,1
LIRCMOP6_BC,3,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP6_BC,3,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,313,1,1
LIRCMOP7_BC,1,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10440,473,479,1,1
LIRCMOP7_BC,1,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP7_BC,1,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,484,1,1
LIRCMOP7_BC,2,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10320,467,482,1,1
LIRCMOP7_BC,2,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP7_BC,2,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,485,1,1
LIRCMOP7_BC,3,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10400,471,480,1,1
LIRCMOP7_BC,3,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP7_BC,3,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,485,1,1
LIRCMOP8_BC,1,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10420,472,475,1,1
LIRCMOP8_BC,1,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP8_BC,1,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,479,1,1
LIRCMOP8_BC,2,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10300,466,476,1,1
LIRCMOP8_BC,2,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP8_BC,2,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,480,1,1
LIRCMOP8_BC,3,cgan,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,1,10320,467,478,1,1
LIRCMOP8_BC,3,fallback_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,0,1,1
LIRCMOP8_BC,3,pair_only,ab105726c44e4ee325dd174531b3be01823f359bd1c5883497690dd70a25bc5a,100000,0,0,0,480,1,1
