problem,stage,GroupCount,mean_labelAccuracy,mean_directionError,mean_trainingFrameDirectionError,mean_jointRate,mean_rawUseful,mean_survivedP1,mean_knownFraction
LIRCMOP5_BC,FE010000,1,0.616,12.0965918556004,12.0965918556004,0.326,0.022,2,0.376
LIRCMOP5_BC,FE030000,1,0.478,12.0593948656448,12.0593948656448,0.01,0.01,0,0.572
LIRCMOP5_BC,FE050000,1,0.58,16.5882387638788,16.9321216745112,0.06,0,0,0.072
LIRCMOP5_BC,FE070000,1,0.526,12.8366431639216,14.5187954699053,0,0,0,0.078
LIRCMOP5_BC,FE100000,1,0.49,31.124336013174,31.4118744340824,0,0,0,0.062
LIRCMOP5_BC,first_true_use,1,0.506,9.5715728583837,9.5715728583837,0.128,0.242,8,0.102
