arm,GroupCount,mean_firstUseIGD,mean_firstUseHV,mean_survivedP1,mean_rawUseful,mean_labelAccuracy,mean_directionError,mean_trainingSeconds
c1lr1000,4,2.69456098505234,0,3.25,0.05,0.5355,29.3395561458132,21.6676618020833
lr0500,4,2.33388549637504,0,4.25,0.1085,0.565,14.4560813401086,77.0456174479167
lr1000,4,2.30352198526439,0,4.75,0.155,0.588,12.5739161837093,129.154655104167
lr2000,4,2.27305428649099,0,4,0.1145,0.5715,12.8628339828092,187.72120865625
lr4000,4,1.95472665574866,0,5.5,0.14,0.6045,10.2935843041771,262.549626427083
lrzero0200,12,1.92134108675622,0,2.08333333333333,0.1315,0.490833333333333,18.9721354746159,33.2270016284722
lrzero0500,12,2.08599364658246,0,3.83333333333333,0.152333333333333,0.565666666666667,14.5768499522386,69.1571331597222
lrzero1000,12,1.84201982031162,0,3.91666666666667,0.152833333333333,0.553666666666667,15.6297071078713,99.767701579861
lrzero2000,12,1.95613743595733,0,3.16666666666667,0.144333333333333,0.5335,15.7676765429062,142.122718663194
lrzero4000,12,1.85311961905331,0,3.75,0.160833333333333,0.556166666666667,14.3062967649331,280.145535201389
m0_control,1,3.49757453040859,0,0,0,0.5,32.5350708623052,8.630351875
mis1000,4,2.31752319806063,0,3,0.087,0.6975,13.5144036474155,115.808335927083
mis2000,4,2.0299799051726,0,3.5,0.1355,0.687,12.7851623739075,182.444841229167
miszero1000,4,2.29037997374479,0,3.75,0.14,0.6655,14.0819180964449,112.359286177083
miszero2000,4,2.01763219862313,0,3.25,0.1245,0.681,11.1464054819761,141.446069895833
miszero4000,4,2.27658835082787,0,3.75,0.074,0.6495,11.5435922653548,210.11198509375
u0200,4,2.69491337636344,0,0,0,0.5,35.1831116733628,41.5454930833333
u1000,4,1.66680690868926,0,2.5,0.1505,0.4185,27.3594432337397,107.05756734375
u4000,4,2.67142865620861,0,4.75,0.1345,0.559,15.474089375397,209.0035244375
wide1000,4,1.98998326719732,0,4,0.109,0.5625,22.8510125412876,89.4330440937499
zero1000,4,1.96619943081249,0,3,0.1275,0.495,24.3772532960015,128.149967510417
