problem,seed,arm,updates,trainingPairs,trainingSamples,productionFE,firstUseFE,trainingSeconds,wallSeconds,labelAccuracy,feasibleRequestAccuracy,infeasibleRequestAccuracy,directionError,knownDirectionError,unseenDirectionError,referenceHitRate,unseenRequestFraction,rawUseful,rawFeasible,nearestObjectiveDistance,selected,survivedP1,survivedP2,initialIGD,firstUseIGD,firstUseHV,probeRMSE
LIRCMOP5_BC,1,c1lr1000,1000,12,21,5200,5400,21.5508674166667,30.4965167083333,0.398,0.456,0.34,21.0755518788167,19.028528386692,21.3080645694589,0.01,0.898,0.104,0.558,0.549666349276076,20,8,9,2.60388128213599,2.60247171689159,0,0.102432873247004
LIRCMOP5_BC,1,lr0500,500,12,21,5200,5400,76.5086922916667,92.4619412083333,0.644,0.752,0.536,13.9126797224478,11.9899385831599,14.1310757093156,0.032,0.898,0.088,0.608,0.596563469617125,20,3,8,2.60388128213599,2.59721875059019,0,0.100599754609566
LIRCMOP5_BC,1,lr1000,1000,12,21,5200,5400,129.90424825,146.729354916667,0.57,0.62,0.52,11.4738429341827,11.1362559025192,11.5121880090487,0.038,0.898,0.094,0.55,0.703559198769246,20,8,8,2.60388128213599,2.60388128213599,0,0.0957719606136133
LIRCMOP5_BC,1,lr2000,2000,12,21,5200,5400,188.385882875,203.86031375,0.668,0.656,0.68,12.82281769482,11.8743951606441,12.9305449759848,0.04,0.898,0.11,0.488,0.688277297028178,20,5,10,2.60388128213599,2.60388128213599,0,0.091672556443044
LIRCMOP5_BC,1,lr4000,4000,12,21,5200,5400,291.379307,305.783136416667,0.704,0.556,0.852,7.06029526246156,6.80253942530378,7.08957265153739,0.038,0.898,0.124,0.352,0.526222356050957,20,8,15,2.60388128213599,2.60388128213599,0,0.0867864561270131
LIRCMOP5_BC,1,lrzero0200,200,12,21,5200,5400,59.3315257916667,75.903524875,0.35,0.028,0.672,14.3014495880627,12.8425826066432,14.4671560826114,0.008,0.898,0.048,0.178,0.37403934033647,20,3,18,2.60388128213599,1.38047324455494,0,0.0821952270191551
LIRCMOP5_BC,1,lrzero0500,500,12,21,5200,5400,95.9957597083333,112.037807333333,0.63,0.26,1,9.57862088921575,10.3608504140474,9.48977076501439,0.028,0.898,0.13,0.13,0.363583602201484,20,2,18,2.60388128213599,2.60388128213599,0,0.0727097074143386
LIRCMOP5_BC,1,lrzero1000,1000,12,21,5200,5400,117.148429333333,132.227505708333,0.506,0.38,0.632,9.5715728583837,6.87009154149871,9.8784226293439,0.056,0.898,0.242,0.374,0.396707479998946,20,8,18,2.60388128213599,2.60118658312184,0,0.0728988863544216
LIRCMOP5_BC,1,lrzero2000,2000,12,21,5200,5400,147.366388083333,156.354745375,0.618,0.4,0.836,7.88292931164101,7.41808980217412,7.9357284541417,0.04,0.898,0.202,0.282,0.457135669465905,20,6,19,2.60388128213599,1.52243866717513,0,0.0647546528738787
LIRCMOP5_BC,1,lrzero4000,4000,12,21,5200,5400,308.772833083333,323.151140083333,0.686,0.44,0.932,7.37256705335087,6.02818373404699,7.52526983572169,0.04,0.898,0.086,0.254,0.41438164187535,20,4,16,2.60388128213599,2.60388128213599,0,0.0583733935875452
LIRCMOP5_BC,1,mis1000,1000,12,21,5200,5400,116.119578708333,131.742251958333,0.952,1,0.904,11.9715174843876,11.1251651866035,12.067651041597,0.032,0.898,0.08,0.548,0.963566965061368,20,4,13,2.60388128213599,2.60388128213599,0,0.0931696802700044
